hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
msm,7,0,7,0,0,0,0,0
grünen,7,0,7,0,0,0,0,0
kennen,7,0,2,3,1,1,0,0
schwarz,7,1,2,1,3,0,0,0
covid19,6,0,4,0,2,0,0,0
000,6,0,4,0,0,1,0,1
kosten,6,1,3,1,0,0,1,0
vizekanzler,6,0,3,1,1,1,0,0
voll,6,0,4,1,1,0,0,0
gesundheitsminister,6,1,2,0,3,0,0,0
welch,6,2,4,0,0,0,0,0
ard,6,0,5,0,1,0,0,0
hoch,6,1,2,1,1,1,0,0
bieten,6,0,2,2,1,1,0,0
verlieren,6,0,4,0,2,0,0,0
fällen,6,0,2,2,0,1,1,0
kanzlerkandidatin,6,0,6,0,0,0,0,0
viel,6,1,3,0,2,0,0,0
vielleicht,6,1,1,0,3,0,1,0
ne,6,1,1,4,0,0,0,0
bekommen,6,0,5,0,0,1,0,0
folge,6,1,5,0,0,0,0,0
warten,6,0,3,0,3,0,0,0
innen,6,3,0,2,1,0,0,0
man,6,0,2,2,1,0,1,0
bayer,6,0,2,2,1,1,0,0
markus,6,0,0,2,2,0,2,0
baerplag,6,0,5,1,0,0,0,0
strategie,6,0,5,0,1,0,0,0
genau,6,0,4,1,1,0,0,0
minister,6,0,2,1,3,0,0,0
entlarven,6,0,3,3,0,0,0,0
längst,6,0,5,0,0,0,1,0
sorgen,6,1,4,0,1,0,0,0
sitzen,6,1,0,1,1,1,1,1
bundeskanzlerin,6,0,1,4,0,0,1,0
jed,6,0,6,0,0,0,0,0
gleich,6,0,2,2,0,1,0,1
freiheit,6,0,3,0,0,3,0,0
nun,6,0,5,1,0,0,0,0
26,6,2,3,0,1,0,0,0
hören,6,1,4,1,0,0,0,0
eine,6,0,4,1,0,1,0,0
schluss,5,1,4,0,0,0,0,0
absolut,5,0,3,2,0,0,0,0
sichern,5,0,3,0,0,1,1,0
rot,5,0,1,0,2,2,0,0
abschreiben,5,0,4,0,1,0,0,0
sollen,5,1,3,0,1,0,0,0
herrn,5,0,1,4,0,0,0,0
reichen,5,0,4,0,1,0,0,0
genauso,5,0,2,1,0,2,0,0
teilen,5,1,2,2,0,0,0,0
migranten,5,0,5,0,0,0,0,0
tag,5,0,0,0,3,0,2,0
wirken,5,1,1,1,0,0,2,0
beispiel,5,0,2,2,0,1,0,0
punkt,5,1,0,4,0,0,0,0
nur,5,1,3,1,0,0,0,0
nochmal,5,2,2,1,0,0,0,0
wahlkampf,5,0,1,3,0,0,1,0
ob,5,0,5,0,0,0,0,0
bundeswehr,5,1,4,0,0,0,0,0
mpk,5,0,1,3,0,0,1,0
welt,5,0,4,1,0,0,0,0
offenbaren,5,0,3,0,2,0,0,0
2015,5,0,5,0,0,0,0,0
sache,5,0,0,4,0,1,0,0
dauern,5,1,0,0,4,0,0,0
beginnen,5,1,1,0,1,1,1,0
fallen,5,0,3,1,1,0,0,0
tun,5,2,3,0,0,0,0,0
müsste,5,2,1,1,1,0,0,0
teuer,5,0,3,1,1,0,0,0
schaffen,5,0,3,1,0,0,1,0
sozial,5,0,2,2,0,1,0,0
thema,5,0,2,3,0,0,0,0
lässt,5,0,2,0,2,1,0,0
verlogenheit,5,0,5,0,0,0,0,0
anfang,5,0,3,0,2,0,0,0
bahnen,5,1,4,0,0,0,0,0
würzburg,5,0,5,0,0,0,0,0
wahrheit,5,0,3,1,1,0,0,0
bevor,5,0,3,0,2,0,0,0
testen,5,0,0,4,1,0,0,0
respekt,5,0,2,1,1,1,0,0
zdf,5,0,4,0,1,0,0,0
links,5,0,4,0,0,1,0,0
zahlen,5,0,4,0,0,1,0,0
verantwortlich,5,0,5,0,0,0,0,0
schwer,5,0,3,1,0,1,0,0
vergessen,5,0,4,1,0,0,0,0
zukunft,5,0,4,0,1,0,0,0
übernehmen,5,1,0,1,0,2,1,0
bitte,5,0,1,3,1,0,0,0
bundestagswahl,5,1,1,0,3,0,0,0
co2,5,0,3,2,0,0,0,0
ehrlich,5,0,2,2,0,0,1,0
jemals,5,0,2,0,1,1,1,0
erklären,5,0,4,1,0,0,0,0
laufen,5,0,3,2,0,0,0,0
kopf,5,0,3,2,0,0,0,0
damit,5,0,3,1,1,0,0,0
politiker,5,0,5,0,0,0,0,0
kanzlerkandidat,5,0,2,2,1,0,0,0
pol,5,0,5,0,0,0,0,0
leisten,5,0,4,0,1,0,0,0
solidarität,4,0,1,2,1,0,0,0
ausgangssperren,4,0,4,0,0,0,0,0
illegale,4,0,4,0,0,0,0,0
klar,4,1,0,1,1,1,0,0
satz,4,0,1,1,0,1,1,0
klimapolitik,4,1,0,3,0,0,0,0
interview,4,1,0,1,1,1,0,0
schaden,4,0,1,1,2,0,0,0
weder,4,0,3,1,0,0,0,0
irgendwie,4,0,0,3,1,0,0,0
ddr,4,0,4,0,0,0,0,0
bestellen,4,1,1,0,2,0,0,0
rollen,4,0,2,1,0,1,0,0
job,4,0,2,2,0,0,0,0
journalist,4,1,2,0,1,0,0,0
warnen,4,0,1,0,1,2,0,0
kanzleramt,4,0,3,1,0,0,0,0
warum,4,1,1,2,0,0,0,0
sofort,4,1,2,1,0,0,0,0
stiftung,4,0,4,0,0,0,0,0
junge,4,0,0,3,1,0,0,0
retten,4,0,3,1,0,0,0,0
freuen,4,1,2,0,1,0,0,0
kabul,4,0,3,1,0,0,0,0
kabinett,4,0,1,0,1,2,0,0
finanzieren,4,0,4,0,0,0,0,0
dringen,4,0,3,1,0,0,0,0
freiheitsrechte,4,0,4,0,0,0,0,0
sozialismus,4,0,4,0,0,0,0,0
ständig,4,0,0,1,1,2,0,0
chefin,4,1,3,0,0,0,0,0
vorbei,4,0,2,0,0,1,1,0
hoffnung,4,0,3,0,0,0,1,0
kaufen,4,1,3,0,0,0,0,0
aussetzen,4,0,3,0,1,0,0,0
begreifen,4,0,3,1,0,0,0,0
vorbereiten,4,0,2,1,0,0,1,0
idee,4,0,1,0,3,0,0,0
vorbild,4,0,3,0,0,0,0,1
glückwunsch,4,1,2,0,1,0,0,0
fortgesetzt,4,0,4,0,0,0,0,0
gestern,4,0,3,0,1,0,0,0
wasser,4,0,2,2,0,0,0,0
freie,4,0,2,0,2,0,0,0
all,4,1,3,0,0,0,0,0
hart,4,0,1,1,2,0,0,0
schützen,4,0,4,0,0,0,0,0
özdemir,4,1,3,0,0,0,0,0
gesamt,4,0,4,0,0,0,0,0
als,4,0,1,1,1,1,0,0
alt,4,0,0,4,0,0,0,0
nix,4,0,2,2,0,0,0,0
altmaier,4,0,0,1,2,1,0,0
erwarten,4,0,3,1,0,0,0,0
desaster,4,0,3,1,0,0,0,0
linie,4,0,3,0,1,0,0,0
trotzen,4,0,2,1,1,0,0,0
lieben,4,1,0,2,0,1,0,0
test,4,3,0,1,0,0,0,0
lernen,4,0,1,1,1,0,1,0
geschichte,4,0,2,1,0,0,1,0
plötzlich,4,0,2,1,0,1,0,0
minute,4,0,0,0,4,0,0,0
helfen,4,0,1,2,1,0,0,0
politisch,4,0,2,2,0,0,0,0
schon,4,0,1,2,1,0,0,0
2020,4,0,2,1,0,0,1,0
schweigen,4,1,2,1,0,0,0,0
passt,4,0,3,1,0,0,0,0
ministerium,4,0,2,1,1,0,0,0
einsetzen,4,0,2,2,0,0,0,0
zustand,4,0,3,0,0,1,0,0
ergebnis,4,1,2,0,1,0,0,0
erhalten,4,0,3,0,1,0,0,0
melden,4,0,3,0,1,0,0,0
steigen,4,0,1,0,2,0,1,0
spiegeln,4,0,2,0,2,0,0,0
hamburg,4,2,1,1,0,0,0,0
50,4,3,1,0,0,0,0,0
greifen,4,0,3,0,1,0,0,0
seite,4,0,2,2,0,0,0,0
paar,4,1,1,0,2,0,0,0
pandemie,4,0,0,2,2,0,0,0
noch,4,0,4,0,0,0,0,0
