hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
forderung,39,3,13,16,0,2,5
deutsch,39,7,10,9,4,4,5
euro,39,14,5,10,1,7,2
arbeiten,39,11,6,5,4,8,5
lieber,38,17,4,4,1,6,6
tw,38,0,0,0,0,0,38
bringen,38,6,4,6,3,14,5
diese,38,9,5,12,4,6,2
hören,38,5,4,15,1,9,4
problem,38,5,8,8,4,5,8
nehmen,38,1,8,13,3,8,5
gleich,37,7,12,6,0,12,0
europäisch,37,11,10,4,1,6,5
können,37,4,8,13,2,2,8
lieben,37,9,10,5,1,11,1
kommentar,37,5,3,7,1,1,20
antwort,36,3,6,11,2,6,8
jed,36,9,7,8,3,5,4
sichern,36,3,16,6,2,5,4
kampf,36,6,5,11,1,12,1
bürgern,36,11,2,3,7,8,5
unternehmen,36,7,3,12,0,6,8
bekommen,36,8,2,13,4,4,5
politisch,36,5,7,6,3,9,6
weiterhin,35,3,8,8,3,10,3
gewalt,35,3,13,11,3,3,2
laschet,35,9,9,6,3,5,3
maßnahme,35,3,6,8,2,4,12
sache,35,3,6,14,4,5,3
nächst,35,1,12,7,2,6,7
nur,34,5,7,9,2,7,4
halten,34,5,5,8,0,8,8
deutlich,34,6,6,10,0,9,3
abgeordnete,34,5,0,17,2,6,4
scholz,34,6,7,6,1,11,3
mehr,34,7,10,2,0,10,5
nach,34,7,7,7,2,7,4
gerechtigkeit,34,3,4,20,0,7,0
zeichen,34,10,4,7,1,8,4
nicht,33,9,6,6,3,3,6
hoch,33,6,4,7,0,10,6
staat,33,5,6,5,4,3,10
interesse,33,5,8,10,1,3,6
zum,33,6,6,12,1,4,4
diskussion,33,8,8,7,0,4,6
chance,33,5,12,5,1,8,2
mieter,33,2,13,9,1,8,0
enden,32,7,7,3,2,5,8
bitten,32,3,4,10,2,11,2
bundeswehr,32,14,4,6,0,1,7
herr,32,4,4,6,8,4,6
monat,32,7,5,5,2,3,10
teilen,32,5,7,7,0,4,9
idee,31,10,6,2,1,4,8
2021,31,2,7,8,7,4,3
entscheidung,31,8,6,10,0,3,4
erhalten,31,9,4,8,2,6,2
zusammenarbeit,31,7,7,3,0,13,1
hoffen,31,2,4,9,2,7,7
stadt,31,7,8,8,1,5,2
link,31,3,3,18,2,3,2
nachricht,30,8,2,5,2,5,8
morgen,30,5,5,10,1,5,4
info,30,4,3,6,1,6,10
lockdown,30,3,5,9,6,1,6
seite,30,5,5,15,1,3,1
rassismus,30,0,6,19,0,4,1
menschenrechte,30,2,8,7,0,11,2
notwendig,30,6,7,11,0,2,4
15,30,7,6,5,4,5,3
wirtschaft,30,7,6,7,1,5,4
tun,30,1,6,5,2,7,9
debatte,30,3,11,8,0,4,4
treffen,30,3,2,9,2,9,5
neu,30,6,8,6,2,2,6
solidarisch,30,1,4,17,0,7,1
literaturschneeball,29,6,12,3,0,3,5
beitrag,29,3,10,5,1,8,2
digital,29,5,6,5,1,7,5
bieten,29,6,4,12,0,6,1
welt,29,4,5,5,1,10,4
hass,29,2,14,13,0,0,0
bundestagswahl,29,5,7,9,2,3,3
erfolgen,29,11,7,6,1,1,3
gesundheit,28,5,5,10,1,4,3
mut,28,2,6,6,2,6,6
dass,28,5,4,8,1,4,6
nein,28,3,2,11,2,3,7
israel,28,6,2,1,3,8,8
aktion,28,5,8,7,0,5,3
dann,28,4,1,9,3,5,6
leute,27,1,4,6,4,11,1
fall,27,4,3,5,1,5,9
fragen,27,4,8,6,1,5,3
kultur,27,5,2,6,0,13,1
landesliste,27,1,9,3,7,2,5
denken,27,4,9,8,1,1,4
weiß,27,6,2,8,2,4,5
ergebnis,27,5,6,7,3,4,2
bild,27,3,2,5,5,7,5
un,27,4,11,4,2,3,3
wirksam,26,2,10,11,1,0,2
diskutieren,26,4,9,8,1,1,3
veranstaltung,26,1,7,13,2,2,1
europäische,26,9,2,4,1,9,1
laufen,26,4,3,8,0,7,4
klimagerechtigkeit,26,0,0,26,0,0,0
denn,26,1,7,6,0,3,9
projekt,26,8,6,3,0,5,4
global,26,2,12,8,0,4,0
damit,26,7,7,6,3,2,1
lesen,25,3,8,2,4,6,2
schreiben,25,1,4,8,1,7,4
sorgen,25,2,1,7,3,4,8
echt,25,1,10,9,2,2,1
20,25,0,7,7,1,5,5
fraktion,25,2,2,8,5,3,5
liegen,25,7,8,3,0,4,3
weil,25,4,3,7,3,6,2
erreichen,25,6,9,1,2,6,1
freue,25,8,7,4,0,4,2
von,25,6,6,7,2,1,3
habeck,25,1,15,6,3,0,0
nrw,25,10,4,4,1,5,1
um,25,2,5,10,2,5,1
wissen,25,2,8,8,1,3,3
aufgabe,25,4,6,4,2,5,4
hab,25,2,7,7,0,6,3
politische,25,5,8,7,1,2,2
leisten,25,6,7,7,0,4,1
konkret,25,4,5,10,1,5,0
verdienen,25,8,7,3,2,4,1
bedeuten,25,5,3,8,1,6,2
erklären,24,2,5,6,0,10,1
großartig,24,3,7,4,0,6,4
hart,24,3,4,5,1,8,3
bürger,24,1,11,3,4,1,4
ob,24,5,7,6,1,2,3
dringen,24,1,8,9,1,5,0
versuchen,24,2,5,7,2,1,7
verlieren,24,2,4,6,1,6,5
warum,24,2,7,8,1,3,3
retten,24,3,13,4,1,2,1
spielen,24,5,0,8,3,5,3
vorsitzende,24,8,1,5,1,7,2
programm,24,4,5,5,2,7,1
starten,24,10,2,5,0,4,3
10,24,4,6,4,2,3,5
30,23,7,4,6,0,3,3
covid,23,4,1,4,1,12,1
lösung,23,1,8,3,1,5,5
nazi,23,0,1,20,0,2,0
verstehen,23,2,4,8,3,3,3
grund,23,4,7,4,2,4,2
herz,23,4,5,6,1,1,6
öffentlich,23,1,4,8,2,0,8
sicherheit,23,10,5,2,0,6,0
noafd,23,6,0,15,0,1,1
lernen,22,3,4,6,1,7,1
000,22,7,4,6,1,3,1
schöne,22,3,2,5,5,4,3
jung,22,1,4,2,2,5,8
respekt,22,3,8,2,0,9,0
grundgesetz,22,1,11,4,0,2,4
entscheiden,22,2,5,10,2,1,2
leider,22,4,5,4,0,5,4
straße,22,0,5,15,0,1,1
parlament,22,4,3,4,0,2,9
beschäftigte,22,2,2,14,0,4,0
endlich,22,5,4,3,0,6,4
polizei,22,4,4,10,0,3,1
signal,22,8,5,4,0,3,2
kandidat,22,8,3,1,6,3,1
maske,22,1,2,9,2,6,2
spahn,22,1,2,11,3,2,3
kraft,22,4,5,6,1,5,1
richtig,22,8,3,2,0,7,2
geld,22,0,3,9,3,4,3
betroffene,22,3,8,5,0,1,5
persönlich,22,7,3,4,0,5,3
löhne,22,1,1,10,0,10,0
tollen,22,3,5,4,6,4,0
aktuell,22,3,3,8,2,4,2
