,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-04-18,3.683333333333333,1.6166666666666667,2.35,9.816666666666666,9.733333333333333,,2.4833333333333334,0.23864007504226564,0.21874365923009748,0.21697535950649033,0.20908438540376179,0.15953092436866606,,0.1704942795273958
2021-04-19,3.7333333333333334,1.65,2.3833333333333333,9.916666666666666,9.783333333333333,,2.5,0.24035021996980188,0.21842314640958463,0.2174415599726908,0.20973934396169375,0.1599284709384071,,0.17026117929429554
2021-04-20,3.7,1.65,2.3833333333333333,9.816666666666666,9.8,,2.55,0.24044825918548815,0.2189787019651402,0.21843362346475426,0.21020711942946918,0.16053650025708108,,0.17187408252010203
2021-04-21,3.7666666666666666,1.65,2.35,9.966666666666667,10.666666666666666,,2.6,0.24277149150872052,0.2171268501132883,0.21380399383512463,0.21317968040507893,0.1674442174724076,,0.17437408252010203
2021-04-22,3.8,1.6666666666666667,2.3666666666666667,10.15,11.316666666666666,,2.6166666666666667,0.23999371373094275,0.2189450319314701,0.21281193034306112,0.2157110424122474,0.17342541307624468,,0.17574663153970987
2021-04-23,3.783333333333333,1.6166666666666667,2.3333333333333335,10.266666666666667,11.25,,2.5833333333333335,0.23936018546583554,0.21507297805941622,0.2117077205431991,0.21771333074176685,0.17404912593296726,,0.1744600818321075
2021-04-24,3.816666666666667,1.6333333333333333,2.5,10.333333333333334,11.466666666666667,,2.566666666666667,0.24299654910219917,0.2174539304403686,0.21141347926535128,0.2153672896860484,0.17569796728769094,,0.1716981770702027
2021-04-25,3.75,1.6,2.55,10.25,11.25,,2.5166666666666666,0.23762795935860942,0.21398170821814635,0.21465422000609202,0.21371385053260922,0.17335974994947362,,0.16836484373686939
2021-04-26,3.6666666666666665,1.6333333333333333,2.6166666666666667,10.15,10.833333333333334,,2.5166666666666666,0.2351478006284507,0.22509281932925745,0.21298755333942535,0.2147555171992759,0.1698067383983185,,0.16647090434293002
2021-04-27,3.65,1.65,2.6,10.2,10.7,,2.55,0.2344615261186468,0.22467615266259078,0.21020977556164758,0.21717520848004354,0.17023001882159894,,0.16408995196197765
2021-04-28,3.7,1.6833333333333333,2.65,10.333333333333334,10.566666666666666,,2.5833333333333335,0.2344615261186468,0.23134281932925746,0.21079801085576522,0.21880471105294233,0.17038862310391456,,0.1628644617658992
2021-04-29,3.7,1.6333333333333333,2.65,10.433333333333334,10.633333333333333,,2.5833333333333335,0.23505676421388488,0.2236708616572998,0.2105365729472685,0.21921679896503027,0.17159720010196525,,0.16119779509923254
2021-04-30,3.6666666666666665,1.7,2.6166666666666667,10.6,10.583333333333334,,2.566666666666667,0.23291390707102774,0.23319467118110931,0.20498101739171293,0.22405592380415512,0.17033897323398228,,0.15776212258461267
2021-05-01,3.716666666666667,2.0166666666666666,2.6,10.583333333333334,10.7,,2.566666666666667,0.2330677532248739,0.23822112620756433,0.2015087951694907,0.22390533365356496,0.17131299920800824,,0.15513368769811328
2021-05-02,3.6333333333333333,2.033333333333333,2.6666666666666665,10.516666666666667,10.633333333333333,,2.5,0.2338614040185247,0.2406020785885167,0.19995323961393513,0.22618220068453038,0.17169815326963286,,0.15150529854340833
2021-05-03,3.65,2.0,2.683333333333333,10.533333333333333,10.75,,2.533333333333333,0.23594473735185806,0.23504652303296114,0.20217546183615737,0.22574630324863293,0.17225212604582787,,0.1525736746117844
2021-05-04,3.65,2.0166666666666666,2.6333333333333333,10.516666666666667,10.5,,2.4833333333333334,0.23662106585427353,0.2394909674774056,0.19503260469330022,0.22574630324863293,0.16959947339317522,,0.14979589683400663
2021-05-05,3.5833333333333335,1.9666666666666666,2.6,10.65,10.283333333333333,,2.4833333333333334,0.2335907628239705,0.23324096747740558,0.1835742713599669,0.2282006979418336,0.1689113306224553,,0.1480816111197209
2021-05-06,3.6166666666666667,2.1,2.566666666666667,10.75,11.283333333333333,,2.55,0.2318230860562937,0.24349737773381583,0.1844541885442319,0.22932753232338496,0.17695480888332488,,0.1523095522961915
2021-05-07,3.6666666666666665,2.183333333333333,2.6166666666666667,10.733333333333333,11.2,,2.566666666666667,0.23342241265562033,0.24470949894593705,0.18632584629824261,0.22879933009738987,0.17587771137765593,,0.15603504249226993
2021-05-08,3.683333333333333,2.183333333333333,2.6,10.766666666666667,11.1,,2.5833333333333335,0.2351900894232971,0.24470949894593705,0.18447399444639076,0.22774772823874473,0.17573882248876707,,0.157093243550471
2021-05-09,3.683333333333333,2.216666666666667,2.5833333333333335,10.633333333333333,10.666666666666666,,2.5833333333333335,0.2335561024951925,0.24768568942212754,0.18447399444639076,0.22714038360597635,0.16997809016553472,,0.15732472503195247
2021-05-10,3.683333333333333,2.2,2.5,10.433333333333334,9.916666666666666,,2.65,0.2335561024951925,0.24213013386657198,0.18697399444639076,0.2290132059056279,0.16367158995029582,,0.16047287318010064
2021-05-11,3.716666666666667,2.1,2.466666666666667,10.316666666666666,9.916666666666666,,2.7,0.2314727691618592,0.23764834114948513,0.18512214259453894,0.22547863418220168,0.16346734158428278,,0.16695435466158212
2021-05-12,3.683333333333333,2.1,2.466666666666667,10.316666666666666,9.866666666666667,,2.683333333333333,0.22425054693963695,0.23764834114948513,0.18683154430394067,0.22889478325052467,0.1629914177320991,,0.16597396250471938
2021-05-13,3.716666666666667,2.1,2.433333333333333,10.2,9.716666666666667,,2.65,0.2248387822337546,0.23824357924472322,0.18365694112933748,0.22636640347756284,0.1596898304305118,,0.16339820492896182
2021-05-14,3.716666666666667,2.1,2.566666666666667,10.2,9.8,,2.6,0.22136656001153238,0.23824357924472322,0.18571787302897907,0.22620171309548115,0.16129189761397436,,0.16035333313409
2021-05-15,3.75,2.1166666666666667,2.5833333333333335,10.016666666666667,9.766666666666667,,2.55,0.22263970815968054,0.2424102459113899,0.18214644445755052,0.22465571007888988,0.1625678146793651,,0.16174222202297892
