hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
deutlich,135,22,24,24,7,32,26
nur,135,22,17,43,15,13,25
leute,134,9,20,55,10,16,24
co2,134,23,31,14,10,19,37
gesellschaft,133,20,24,35,10,18,26
gesetz,133,20,19,36,2,29,27
liegen,133,19,23,41,3,16,31
rente,133,10,5,69,4,17,28
beispiel,132,20,29,27,4,24,28
antwort,132,23,28,48,11,9,13
schützen,131,17,20,50,12,17,15
nach,131,31,31,25,6,11,27
groß,131,16,20,39,10,26,20
12,131,14,23,32,2,52,8
verhindern,130,23,28,35,2,17,25
konzern,130,4,9,97,2,12,6
triell,130,32,39,13,1,31,14
sagen,130,15,27,49,7,15,17
können,129,22,16,45,8,19,19
arbeiten,128,22,15,37,8,27,19
politisch,128,13,37,26,9,16,27
vorschlag,126,29,34,27,2,7,27
merkel,126,5,21,31,44,11,14
fall,126,14,19,34,5,23,31
massiv,125,10,32,37,7,25,14
gerne,125,36,14,37,6,11,21
steigen,125,12,14,38,12,16,33
linke,124,13,2,83,6,5,15
treffen,123,25,12,50,1,17,18
damit,122,19,21,30,6,27,19
investieren,122,16,24,36,3,18,25
freuen,122,28,21,25,6,27,15
impfen,122,25,17,22,3,17,38
bmf,122,54,26,27,2,3,10
denn,121,6,36,42,4,12,21
50,121,16,31,34,5,19,16
all,121,22,12,32,10,22,23
einkommen,120,0,18,50,5,31,16
teuer,119,5,37,31,10,19,17
auf,118,18,26,39,5,18,12
maske,118,6,22,42,6,20,22
mrd,118,20,28,42,3,13,12
pro,118,12,18,33,7,23,25
mio,116,41,15,23,3,31,3
nutzen,116,18,33,34,2,8,21
als,115,28,20,30,8,16,13
klar,115,32,30,23,7,11,12
anfragen,115,4,39,51,6,3,12
meine,115,9,24,46,12,10,14
fehlen,114,11,23,22,4,22,32
laufen,114,18,25,34,4,15,18
fast,113,9,25,45,8,13,13
europa,113,19,30,14,7,23,20
scheuer,113,1,75,27,0,2,8
lässt,113,9,21,38,4,16,25
entlasten,112,13,8,52,2,14,23
falsch,112,15,18,29,4,16,30
ander,112,15,19,34,8,13,23
markt,112,11,14,35,6,6,40
klima,112,12,50,16,7,11,16
erfolgen,111,25,23,35,3,16,9
verstehen,111,17,28,27,2,16,21
stimmen,111,9,16,43,11,11,21
via,111,15,11,17,21,9,38
denken,110,23,13,30,6,18,20
bezahlen,110,5,15,47,10,21,12
digitalisierung,110,15,29,7,0,16,43
spielen,110,14,14,42,3,25,12
braun,110,17,10,61,3,8,11
erklären,110,12,23,35,6,11,23
soziale,110,6,20,49,0,24,11
dafür,110,15,34,22,5,16,18
demokratie,109,13,31,23,8,18,16
gestern,109,27,19,31,2,14,16
mindestlohn,109,2,12,43,2,47,3
ausgeben,109,8,24,18,10,17,32
abgeordnete,109,5,23,55,3,15,8
zielen,108,19,30,20,4,16,19
aktuell,108,27,15,29,12,7,18
gleich,107,24,11,23,5,27,17
bildung,107,18,17,24,3,13,32
unterstützung,107,26,23,23,3,22,10
gerecht,106,6,25,35,2,28,10
zum,106,17,32,25,3,12,17
transparenz,106,11,35,23,1,26,10
dass,106,8,18,34,2,15,29
groko,105,1,29,38,5,8,24
versagen,105,18,22,25,12,8,20
leerverkaufsverbot,105,40,29,20,1,12,3
steuergeld,105,10,34,23,24,2,12
dringen,103,10,35,21,5,13,19
gute,103,39,11,30,2,14,7
vor,103,21,24,20,3,17,18
tragen,103,24,23,19,4,22,11
am,103,20,19,27,5,19,13
fahren,102,17,17,36,7,8,17
folge,102,9,19,25,6,15,28
lang,101,12,28,29,3,18,11
entscheiden,101,15,25,23,7,12,19
freiheit,101,15,6,12,18,6,44
welt,100,12,17,28,9,21,13
wahlkreis,100,31,21,10,2,27,9
berichten,99,24,19,32,1,6,17
wahlkampf,99,14,27,20,2,23,13
scheinen,98,7,29,27,5,17,13
reform,98,5,40,16,2,10,25
reich,98,2,17,59,3,10,7
zeuge,98,59,7,11,1,10,10
500,98,23,19,29,9,9,9
kämpfen,98,5,15,34,5,34,5
lieferkettengesetz,98,7,18,38,6,25,4
finanzieren,97,6,19,45,6,8,13
vertrauen,97,26,23,19,1,9,19
energie,96,20,29,9,7,25,6
minister,96,15,17,26,7,9,22
beschäftigte,96,2,10,53,1,27,3
idee,96,20,14,17,4,15,26
spahn,96,0,14,55,5,13,9
beschließen,95,14,26,14,0,27,14
ziehen,95,12,23,26,7,12,15
stärken,95,14,25,11,2,21,22
ändern,95,7,27,23,3,17,18
fördern,94,27,17,10,6,17,17
arbeitsplätze,94,20,8,20,7,21,18
erreichen,94,12,25,23,1,21,12
sicherheit,94,35,14,11,4,20,10
digital,93,24,16,19,0,10,24
job,93,7,21,32,3,11,19
rollen,93,11,21,39,1,9,12
ja,93,7,22,29,5,10,20
prozent,92,7,7,41,0,23,14
offenbaren,92,10,20,38,2,14,8
finanzaufsicht,92,12,28,37,0,6,9
verlieren,91,14,14,26,7,13,17
ergebnis,91,19,9,25,6,17,15
the,91,3,10,65,0,7,6
2019,91,19,18,37,2,7,8
führen,90,17,11,29,6,7,20
wählen,90,9,18,25,10,13,15
maßnahme,90,14,25,21,6,11,13
kollege,90,35,6,23,3,15,8
chef,90,12,17,34,1,14,12
diskutieren,90,17,17,20,1,14,21
übernehmen,89,16,11,21,11,15,15
über,89,14,19,23,9,8,16
weiß,88,16,17,19,11,12,13
chance,88,18,19,14,0,10,27
regel,87,9,24,27,3,11,13
debatte,87,7,15,34,1,11,19
schreiben,86,7,18,40,3,10,8
steuerzahler,86,17,17,10,17,10,15
dank,86,31,13,8,2,23,9
