hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
nachricht,39,8,3,2,1,15,10
gestern,39,5,6,10,2,4,12
schreiten,39,11,9,3,1,11,4
us,39,8,1,14,0,14,2
bei,38,10,6,5,1,7,9
grün,38,8,17,1,4,1,7
fahren,38,9,6,5,4,7,7
stimmen,38,4,9,8,2,5,10
letzt,38,7,9,5,2,10,5
staaten,38,5,4,11,0,9,9
meine,38,15,2,7,3,6,5
da,38,8,7,7,1,11,4
fdp,37,1,9,1,7,2,17
einsetzen,37,7,7,12,0,5,6
dass,37,2,8,7,0,13,7
vorschlag,37,5,14,3,0,8,7
lage,37,9,5,4,3,11,5
10,37,6,7,6,2,10,6
kein,36,1,11,10,5,3,6
regime,36,5,4,11,1,5,10
umsetzen,36,11,7,5,1,7,5
seite,36,7,7,6,3,7,6
tb,36,0,0,0,0,0,36
entscheiden,36,6,5,6,1,9,9
ander,35,13,5,2,1,4,10
halten,35,4,7,10,3,8,3
uk,35,4,8,1,1,12,9
monat,35,1,3,9,4,11,7
mehr,35,5,6,11,1,5,7
vertrauen,35,5,7,4,0,9,10
konferenz,35,5,3,1,0,17,9
austausch,35,14,4,0,1,12,4
kriegen,34,8,5,16,4,1,0
können,34,1,7,10,4,8,4
damit,34,6,8,9,1,5,5
konsequenz,34,5,9,6,0,6,8
chance,34,7,21,0,0,3,3
region,34,6,10,2,2,9,5
international,34,7,4,7,1,9,6
bureg,34,0,6,28,0,0,0
teilen,34,6,5,7,3,7,6
ebene,34,3,13,8,1,5,4
impfung,34,3,5,3,6,14,3
beschließen,34,3,6,11,1,9,4
versagen,34,1,6,5,12,5,5
werten,34,4,7,2,0,11,10
30,34,6,7,5,1,9,6
zahlen,33,1,7,11,7,4,3
massiv,33,2,13,6,2,7,3
are,33,12,7,2,2,7,3
nawalny,33,6,6,4,0,3,14
bestellen,33,5,7,4,2,4,11
deal,33,3,11,11,1,6,1
that,33,4,3,0,1,15,10
stärken,32,11,12,2,0,4,3
nur,32,7,7,5,1,7,5
interview,32,11,3,5,0,6,7
nordstream2,32,5,18,1,1,0,7
nachhaltig,32,3,12,8,0,8,1
partner,32,15,1,4,1,5,6
falsch,32,5,6,4,6,6,5
wirtschaft,32,6,7,5,2,2,10
politische,32,9,7,9,0,3,4
problem,32,1,10,2,1,13,5
rollen,32,7,7,6,0,9,3
sorgen,32,6,5,7,0,9,5
eigentlich,32,4,7,7,4,6,4
projekt,32,7,12,1,2,3,7
jed,32,3,7,4,1,13,4
maßnahme,32,5,7,5,2,10,3
haben,31,3,5,7,3,7,6
gewalt,31,3,6,12,0,7,3
dafür,31,5,5,5,2,12,2
sterben,31,3,2,23,1,1,1
scholz,31,4,13,5,0,6,3
zulassen,31,4,8,4,3,5,7
strategie,31,11,5,2,2,4,7
not,31,3,6,4,4,6,8
folge,31,3,3,7,3,10,5
partei,31,6,5,5,6,7,2
frankreich,31,10,6,4,4,4,3
lukaschenko,31,2,6,4,0,7,12
liefern,31,6,4,10,1,5,5
20,31,5,5,6,3,8,4
ratspräsidentschaft,31,2,5,4,0,12,8
brüssel,31,1,5,4,5,3,13
lang,31,5,10,3,0,12,1
unterstützung,31,8,7,6,0,4,6
kritisieren,31,1,9,7,0,8,6
reform,31,3,6,2,4,3,13
2020,30,4,3,12,2,4,5
griechenland,30,2,13,9,1,4,1
btw21,30,4,13,3,2,2,6
grund,30,4,3,8,2,8,5
völlig,30,3,6,5,4,5,7
freuen,30,1,12,4,0,9,4
vor,30,6,2,7,3,5,7
schutz,30,7,7,4,0,10,2
spielen,29,4,2,8,2,8,5
bekommen,29,4,6,1,6,9,3
rechtsstaatlichkeit,29,4,6,0,0,15,4
vorgehen,29,8,7,2,0,10,2
seenotrettung,29,3,3,15,1,5,2
000,29,4,3,12,1,5,4
nach,29,8,5,4,2,5,5
vertrag,29,4,5,7,0,10,3
sozial,29,1,6,12,0,7,3
zum,29,9,4,10,1,2,3
erreichen,29,6,4,6,1,8,4
berlin,29,8,4,6,1,6,4
signal,29,8,5,1,1,11,3
drucken,29,4,9,3,2,7,4
beispiel,29,8,6,5,1,5,4
mitgliedstaaten,29,6,4,3,0,7,9
geld,29,1,7,2,6,3,10
erklären,29,3,6,2,1,10,7
als,29,10,3,6,2,3,5
friede,29,6,4,7,1,9,2
bürgern,28,4,0,2,7,6,9
debatte,28,7,6,3,0,4,8
dose,28,6,3,3,2,6,8
libyen,28,2,1,21,0,4,0
während,28,2,4,10,6,5,1
lösung,28,3,6,5,3,4,7
schnell,28,4,7,1,1,8,7
starke,28,10,8,1,1,4,4
verlieren,28,8,2,3,0,11,4
ziehen,28,5,1,6,2,10,4
versuchen,28,0,5,9,3,6,5
aktuell,28,6,4,5,0,7,6
hand,28,8,5,6,1,5,3
this,28,4,3,2,1,16,2
orban,27,0,13,2,0,2,10
wohlstand,27,9,7,1,0,6,4
von,27,3,5,8,1,4,6
laschet,27,4,18,1,1,2,1
schwer,27,4,4,10,0,5,4
außenpolitik,27,9,5,6,4,0,3
regel,27,5,5,4,0,9,4
überall,27,1,6,3,1,15,1
fast,27,2,9,6,2,4,4
produktion,27,4,8,4,0,8,3
beginnen,27,2,6,3,2,9,5
de,27,6,4,5,0,6,6
zusammenhalt,27,6,10,1,1,8,1
hilfe,27,5,0,6,3,7,6
kämpfen,27,6,8,5,1,4,3
sage,26,15,5,4,1,0,1
seit,26,1,8,7,0,6,4
außengrenzen,26,3,6,16,0,1,0
sagen,26,3,4,8,3,4,4
gute,26,7,3,1,1,10,4
grüne,26,3,9,4,1,2,7
konsequent,26,7,9,2,0,4,4
weder,26,3,7,4,3,3,6
wort,26,2,4,3,4,4,9
voll,26,9,5,1,1,6,4
putin,26,7,4,6,2,0,7
sofort,26,2,7,10,1,4,2
kraft,26,6,5,3,0,9,3
beziehung,26,9,3,1,1,7,5
gesellschaft,26,5,5,4,0,7,5
fehler,26,6,3,2,5,5,5
alle,26,7,2,4,2,9,2
lagern,26,3,2,20,0,0,1
führen,26,2,6,8,2,4,4
einsatz,26,7,3,8,0,6,2
tun,26,4,5,7,2,6,2
scheinen,25,0,7,3,2,10,3
sicher,25,5,2,8,1,4,5
antrag,25,2,5,9,2,3,4
tragen,25,3,6,10,0,4,2
mitglied,25,9,6,1,0,2,7
doch,25,2,8,10,1,3,1
offen,25,3,4,2,0,12,4
sputnikv,25,1,1,10,4,7,2
morgen,25,7,3,6,0,5,4
kosten,25,1,4,4,5,6,5
fragen,25,5,2,8,3,3,4
100,25,6,2,10,2,0,5
gesetz,25,3,9,4,0,6,3
ermöglichen,25,3,7,2,1,6,6
fall,25,7,8,2,2,4,2
zulassung,25,3,6,4,1,4,7
abgeordnete,25,3,4,8,2,4,4
gleich,24,1,6,3,1,12,1
übernehmen,24,8,4,2,2,2,6
transatlantische,24,10,9,2,0,3,0
impfstrategie,24,3,3,1,3,7,7
zeichen,24,6,2,4,0,6,6
schuldenunion,24,15,0,0,7,0,2
planen,24,2,6,7,0,5,4
reichen,24,3,4,9,1,6,1
bevölkerung,24,2,3,4,2,10,3
geflüchtet,24,0,2,15,0,7,0
partnerschaft,24,19,1,1,0,3,0
mio,24,6,4,6,0,7,1
haltung,24,7,4,5,0,5,3
funktionieren,24,3,4,2,2,5,8
denn,24,1,3,11,1,4,4
wasserstoff,24,5,3,10,0,1,5
großbritannien,24,8,2,1,3,7,3
aufgeben,24,5,2,8,0,6,3
laut,23,3,4,8,2,3,3
menschenrechtsverletzungen,23,3,4,11,0,3,2
kollege,23,5,6,3,0,6,3
innerhalb,23,7,1,4,1,2,8
beim,23,6,6,2,2,2,5
bereiten,23,0,8,1,2,7,5
über,23,4,4,5,2,3,5
beitrag,23,2,9,5,0,4,3
respekt,23,2,3,1,0,16,1
impfdosen,23,3,3,7,1,7,2
minister,23,3,5,0,2,8,5
verstehen,23,3,2,2,1,7,8
csu,23,8,6,3,0,4,2
gehören,23,2,3,2,4,10,2
entwicklung,23,7,4,6,1,3,2
diskussion,23,11,2,6,0,1,3
wahl,23,5,5,1,0,5,7
transparenz,23,3,3,4,0,4,9
laufen,23,1,5,4,4,3,6
drohen,23,1,2,4,4,6,6
amazon,23,0,5,17,0,1,0
sache,23,3,2,2,5,5,6
stoppen,23,0,10,8,2,0,3
migration,23,2,3,0,2,9,7
folgen,22,3,3,3,0,7,6
denken,22,4,0,4,1,8,5
ukraine,22,10,3,2,1,3,3
investieren,22,2,15,0,0,5,0
aus,22,4,2,7,0,5,4
sogar,22,2,2,4,2,11,1
retten,22,1,4,15,0,0,2
illegal,22,1,1,13,1,3,3
wiederaufbaufonds,22,4,6,0,5,3,4
dann,22,5,2,4,1,7,3
bürger,22,2,6,3,2,3,6
prüfen,22,3,4,4,0,4,7
öffentlich,22,1,2,9,3,1,6
by,22,4,3,3,2,8,2
richtig,22,3,6,4,2,5,2
herausforderung,22,15,4,1,0,2,0
beschaffung,22,2,0,2,1,4,13
grenzen,22,3,0,11,4,2,2
demokratisch,22,3,6,5,1,1,6
passieren,22,1,4,2,0,8,7
alt,22,1,4,6,0,7,4
pro,22,1,3,6,1,5,6
have,22,7,1,2,1,10,1
berichten,22,2,5,12,0,1,2
dazu,22,5,5,4,0,6,2
herz,22,5,6,2,0,6,3
dank,21,10,3,3,1,2,2
israel,21,0,4,0,6,5,6
verantwortliche,21,3,3,2,0,9,4
dialog,21,6,5,2,1,5,2
blockieren,21,3,4,8,1,2,3
our,21,8,2,2,0,8,1
verhandlung,21,3,3,1,0,10,4
notwendig,21,6,4,3,1,5,2
fehlen,21,2,4,6,0,2,7
langsam,21,1,4,3,1,7,5
längst,21,2,6,4,1,5,3
bild,21,2,2,5,5,3,4
entscheidend,21,3,5,2,0,4,7
system,21,2,2,10,0,5,2
schweigen,21,1,3,7,1,4,5
co,21,0,7,9,2,1,2
wissen,21,3,4,3,2,7,2
impfungen,21,4,0,6,0,6,5
rights,21,3,1,1,0,15,1
platzen,21,4,6,4,1,4,2
european,21,4,3,2,0,8,4
cofoe,21,8,1,0,0,2,10
position,21,6,4,7,1,1,2
moderna,21,1,0,2,1,13,4
but,21,1,0,4,2,8,6
situation,21,1,4,6,1,3,6
bieten,21,1,5,2,0,7,6
digitalisierung,21,1,3,1,0,6,10
sehr,21,8,4,1,1,5,2
man,21,4,5,1,0,6,5
kind,21,0,5,12,1,2,1
dieser,20,2,8,4,1,3,2
bosnien,20,1,2,16,0,1,0
variante,20,0,3,2,1,13,1
kontrolle,20,0,6,9,0,4,1
ja,20,4,1,1,3,8,3
bund,20,5,6,0,0,5,4
aufbauen,20,2,5,4,0,8,1
wirtschaftlich,20,7,1,4,0,4,4
internationale,20,2,7,0,2,7,2
bestellung,20,2,6,2,2,3,5
studie,20,0,10,3,2,4,1
einig,20,4,5,4,1,4,2
versprechen,20,0,11,2,0,2,5
inakzeptabel,20,4,4,7,0,1,4
deutsche,20,6,0,3,3,5,3
konzern,20,0,4,10,0,5,1
künftig,20,3,4,2,0,7,4
europäer,20,9,3,1,0,4,3
ändern,20,1,3,5,1,6,4
breg,20,1,7,3,1,0,8
bauen,20,9,1,4,1,2,3
mitgliedsstaaten,20,3,3,3,1,0,10
regierungserklärung,20,8,6,1,0,1,4
