hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
miete,41,2,7,27,0,4,1
hören,41,3,5,27,1,2,3
sichern,41,4,9,18,0,9,1
politisch,41,7,4,14,1,6,9
klimapolitik,40,1,8,25,0,5,1
entscheiden,40,1,13,14,0,7,5
solidarisch,39,1,1,31,0,6,0
aktuell,39,1,3,29,3,2,1
kampf,39,1,5,27,0,6,0
uhr,39,0,10,20,0,4,5
kindergrundsicherung,39,0,23,11,0,5,0
vorschlag,39,1,13,19,1,2,3
da,38,2,6,22,2,3,3
notwendig,38,1,6,26,0,2,3
staat,38,6,2,11,2,4,13
stadt,38,1,8,20,0,7,2
sein,38,1,7,17,3,4,6
chance,37,2,13,5,0,9,8
konzept,37,1,15,14,0,4,3
maske,37,6,6,16,0,4,5
dafür,37,1,12,14,0,6,4
die,37,0,0,33,0,3,1
verhindern,37,4,7,16,1,6,3
empfänger,37,1,3,11,0,11,11
hier,37,1,10,16,2,5,3
bezahlbar,37,2,9,19,0,5,2
falsch,37,4,3,20,1,8,1
bundestagswahl,37,0,15,16,1,4,1
150,37,0,3,13,0,21,0
reich,36,0,5,28,0,2,1
angebot,36,2,8,20,0,1,5
enden,36,1,6,20,2,6,1
000,36,0,3,26,1,6,0
zum,36,3,3,17,0,10,3
12,36,0,10,15,0,10,1
nächst,36,1,17,8,0,7,3
öffentlich,36,1,8,24,1,0,2
investition,35,4,8,17,0,4,2
lassen,35,4,7,13,1,6,4
entlasten,35,2,8,23,0,1,1
tagen,35,1,10,12,0,11,1
reichen,35,1,5,24,0,5,0
ja,35,2,3,22,1,3,4
lockdown,35,3,1,11,1,2,17
konkret,35,2,8,23,0,2,0
löhne,35,0,3,20,0,12,0
groß,34,2,5,14,3,1,9
klimawandel,34,2,3,24,1,3,1
bekämpfen,34,1,7,21,0,4,1
maßnahme,34,1,5,23,0,2,3
welt,34,2,7,16,1,5,3
verkehrswende,34,0,5,28,0,1,0
bedeuten,33,0,3,17,1,9,3
liegen,33,1,8,13,2,7,2
als,33,5,1,16,2,4,5
bund,33,3,10,12,0,4,4
eu,33,2,4,15,1,8,3
frau,33,1,9,10,4,9,0
gesundheit,33,0,7,18,0,6,2
überwinden,33,0,13,13,0,5,2
btw2021,33,0,3,23,2,3,2
europa,33,1,12,9,0,8,3
käuflich,32,0,0,32,0,0,0
nicht,32,2,5,13,0,6,6
diese,32,2,9,11,0,8,2
hilfe,32,3,7,6,0,6,10
csu,32,1,17,9,0,5,0
treffen,32,0,5,17,2,5,3
erhöhung,32,1,9,13,0,2,7
führen,32,4,2,13,2,6,5
dringen,32,2,8,13,1,3,5
ändern,32,1,5,18,1,4,3
co2preis,32,1,8,23,0,0,0
warum,32,2,3,19,2,3,3
2021,31,1,6,10,3,4,7
leisten,31,0,8,12,0,9,2
voll,31,3,10,13,0,3,2
seite,31,3,2,18,0,5,3
stärken,31,3,10,9,0,8,1
kinderbonus,31,5,3,3,0,20,0
forderung,31,0,4,21,2,3,1
massiv,31,2,5,11,0,6,7
debatte,31,5,8,14,0,3,1
diskutieren,31,1,12,9,1,6,2
wirksam,31,0,13,17,0,0,1
denken,31,2,9,10,0,6,4
halten,31,1,9,12,0,3,6
preisen,31,3,9,12,0,2,5
dass,30,4,8,15,0,2,1
gleich,30,0,7,12,2,8,1
kein,30,4,4,16,0,4,2
global,30,0,5,22,0,1,2
kraft,30,0,4,15,1,6,4
wohnung,30,0,4,16,1,9,0
idee,30,8,4,8,0,4,6
schaden,30,4,6,4,1,2,13
einzig,30,0,4,21,0,4,1
damit,30,2,6,14,1,6,1
zielen,30,1,6,16,1,4,2
steigen,30,1,6,15,2,3,3
drucken,30,1,1,19,4,3,2
unterstützung,30,1,8,9,0,8,4
coronakrise,30,0,5,25,0,0,0
fahren,29,3,4,14,2,3,3
bewegung,29,0,2,23,0,2,2
zahlen,29,2,8,12,0,3,4
umsetzen,29,0,5,15,2,7,0
planen,29,1,7,13,0,7,1
energie,29,0,5,13,0,9,2
milliarde,29,0,1,21,1,6,0
am,29,1,7,19,0,2,0
koalition,29,1,5,15,0,8,0
100,29,0,10,14,0,5,0
zugang,29,6,3,5,0,11,4
alt,29,3,3,13,1,6,3
weiter,29,0,7,18,0,1,3
verdienen,28,0,7,10,0,4,7
wohlstand,28,4,9,3,4,4,4
monat,28,1,6,9,0,2,10
sagen,28,1,5,15,1,4,2
verteilen,28,1,2,13,1,10,1
auf,28,2,6,14,0,4,2
19,28,0,5,17,0,1,5
letzt,28,2,4,19,0,2,1
wissen,28,2,4,15,1,4,2
menschenrechte,28,0,12,13,1,2,0
realität,28,0,2,24,0,2,0
jugendliche,28,3,5,6,0,3,11
dielinke,28,0,0,27,0,0,1
arbeiten,27,0,4,11,0,5,7
regel,27,1,0,21,1,2,2
10,27,1,5,12,3,6,0
teilen,27,5,5,11,2,2,2
abschaffen,27,2,3,14,1,3,4
gestalten,27,4,14,3,0,6,0
verbinden,27,2,7,16,0,2,0
linkebpt,27,0,0,27,0,0,0
steuer,27,1,3,17,4,0,2
handeln,27,2,9,10,0,3,3
woche,27,1,8,11,1,4,2
lässt,27,1,7,13,0,1,5
leute,27,1,1,16,1,4,4
tun,27,1,3,16,0,7,0
ergebnis,27,4,2,13,0,5,3
nein,27,0,1,19,1,5,1
lang,26,2,5,9,1,4,5
schule,26,2,1,12,0,1,10
erhalten,26,2,4,10,0,7,3
grund,26,1,1,13,0,2,9
haben,26,3,4,13,1,2,3
nutzen,26,2,6,10,0,5,3
können,26,1,4,16,0,3,2
gestern,26,0,4,18,0,3,1
pro,26,0,6,7,0,5,8
platzen,26,3,13,6,1,1,2
system,25,0,6,13,0,4,2
gehören,25,2,8,9,0,3,3
verschärfen,25,0,6,15,0,3,1
man,25,2,0,16,1,2,4
erreichen,25,3,5,8,1,5,3
16,25,0,8,10,0,7,0
meine,25,1,2,18,1,1,2
20,25,0,5,12,2,3,3
wandeln,25,1,6,16,0,2,0
ökonomisch,25,3,5,10,0,2,5
antrag,25,0,9,13,2,1,0
aufbruch,25,1,12,8,0,3,1
mitte,25,7,2,8,0,4,4
schlecht,25,0,1,11,1,5,7
infrastruktur,25,0,4,18,0,2,1
initiative,25,1,5,16,0,3,0
fehlen,24,1,6,7,0,7,3
kapitalismus,24,1,0,16,0,4,3
umverteilung,24,0,1,19,1,3,0
demokratisch,24,1,0,16,0,7,0
veränderung,24,0,16,8,0,0,0
reichtum,24,0,5,18,0,1,0
gefahr,24,0,3,14,1,4,2
garantiesicherung,24,0,22,1,0,0,1
bafög,24,0,13,8,0,2,1
fördern,24,7,2,5,0,4,6
beschließen,24,2,9,11,0,1,1
ziehen,24,0,4,11,0,6,3
merz,24,1,3,17,0,3,0
lösung,24,1,4,12,1,1,5
statt,24,0,4,15,0,0,5
finanzieren,24,1,5,16,0,0,2
digital,24,0,2,5,0,12,5
unternehmen,23,5,2,12,0,1,3
bauen,23,1,0,9,0,3,10
diskussion,23,5,10,5,0,1,2
perspektive,23,1,4,11,0,2,5
fast,23,0,1,13,2,6,1
schutz,23,1,4,10,0,6,2
morgen,23,0,4,17,0,2,0
entwicklung,23,2,2,7,1,6,5
rot,23,4,4,10,1,3,1
merkel,23,0,2,13,6,0,2
ermöglichen,23,2,5,3,0,2,11
kennen,23,3,2,13,0,0,5
durchsetzen,23,2,0,10,0,10,1
egal,23,2,1,15,0,3,2
rassismus,23,0,0,21,0,2,0
richtig,23,2,5,7,0,6,3
interview,22,0,1,17,0,1,3
malen,22,3,2,10,1,5,1
respekt,22,1,1,6,0,12,2
30,22,0,5,6,0,3,8
dank,22,1,5,11,1,4,0
dazu,22,4,5,7,0,1,5
einig,22,2,1,10,0,4,5
prozent,22,2,1,16,0,2,1
teilhabe,22,2,7,2,0,7,4
hand,22,3,2,14,0,3,0
sozialstaat,22,0,0,7,0,12,3
vergessen,22,1,1,12,1,6,1
freiheit,22,2,4,10,1,0,5
kriegen,22,0,3,16,0,3,0
13,22,0,1,19,1,1,0
wohnraum,22,2,1,8,2,4,5
haushalt,22,2,4,15,1,0,0
linksrutsch,22,0,0,22,0,0,0
schwarz,22,1,3,18,0,0,0
betreffen,22,0,3,10,0,8,1
job,22,1,3,13,0,2,3
gewinnen,22,1,3,12,0,4,2
vertrauen,21,2,9,6,1,2,1
toll,21,1,2,13,0,5,0
lernen,21,1,2,9,0,4,5
innovation,21,4,6,1,0,1,9
markt,21,2,3,14,0,0,2
bundesweit,21,1,0,18,0,0,2
wende,21,0,4,14,0,3,0
ander,21,0,2,10,1,7,1
cducsu,21,0,15,5,0,1,0
weltweit,21,0,3,13,1,4,0
gewerkschaft,21,0,9,12,0,0,0
gleichzeitig,21,3,2,10,1,4,1
schwer,21,1,2,9,1,3,5
streiten,21,1,5,13,0,1,1
mittler,21,0,3,15,0,2,1
unteilbar,20,0,0,19,0,1,0
sicherung,20,2,13,1,0,0,4
alternative,20,1,1,16,0,2,0
2020,20,0,3,11,1,1,4
schnellen,20,1,4,5,0,8,2
hart,20,0,5,11,0,3,1
treten,20,1,4,11,2,2,0
projekt,20,2,2,11,0,1,4
weder,20,1,5,9,2,1,2
austausch,20,1,4,9,0,4,2
frei,20,1,7,6,0,2,4
niedrig,20,0,4,12,1,2,1
leiden,20,0,3,7,0,1,9
aus,20,2,2,7,1,6,2
inhalt,20,1,3,8,0,7,1
völlig,20,0,5,5,3,6,1
alle,20,1,3,10,0,5,1
grundlegend,20,0,1,18,0,1,0
verstehen,20,3,3,10,1,2,1
bezahlen,20,0,1,15,0,3,1
erklären,20,0,8,7,1,3,1
energiewende,20,0,1,12,3,4,0
klimakatastrophe,19,0,1,17,0,1,0
eher,19,0,2,13,0,4,0
50,19,1,10,7,0,1,0
seit,19,0,3,10,1,2,3
kälte,19,0,2,12,1,4,0
deutsch,19,0,3,8,2,2,4
nachhaltigkeit,19,11,1,5,0,0,2
bitte,19,1,5,11,0,2,0
gerade,19,1,6,7,0,3,2
bekämpfung,19,1,8,8,0,0,2
sorgen,19,1,3,11,0,4,0
bitten,19,0,4,10,0,4,1
tragen,19,1,2,6,0,7,3
belasten,19,1,2,12,0,0,4
deswegen,19,2,8,8,0,1,0
vor,19,1,4,6,1,5,2
26,19,0,5,9,2,3,0
interesse,19,2,0,11,0,4,2
beim,19,1,5,7,0,4,2
beitrag,19,1,3,7,2,3,3
garantie,19,0,1,18,0,0,0
also,19,0,4,13,0,0,2
stimme,19,0,12,3,0,0,4
scheitern,18,1,2,9,1,2,3
solidarische,18,0,1,16,0,1,0
bevölkerung,18,1,0,11,0,5,1
aufstieg,18,3,0,1,0,0,14
