,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-07-12,63,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.6833333333333333,0.7166666666666667,0.03333333333333333,0.36666666666666664,0.02058691568610467,0.05347222222222222,0.03947318810603604,0.021456809498495443,0.018862926804590344,0.03333333333333333,0.016669046187043342
2021-07-13,58,0.35,0.16666666666666666,0.36666666666666664,0.6833333333333333,0.6833333333333333,0.03333333333333333,0.36666666666666664,0.021161628329782835,0.05347222222222222,0.03898931713829411,0.021456809498495443,0.018087733006140732,0.03333333333333333,0.016669046187043342
2021-07-14,69,0.35,0.18333333333333332,0.35,0.7,0.7,0.016666666666666666,0.36666666666666664,0.021161628329782835,0.059027777777777776,0.042163920312897285,0.02238273542442137,0.018782177450585177,0.016666666666666666,0.016669046187043342
2021-07-15,86,0.35,0.18333333333333332,0.35,0.7,0.6666666666666666,0.016666666666666666,0.38333333333333336,0.021161628329782835,0.059027777777777776,0.042163920312897285,0.02238273542442137,0.016401225069632798,0.016666666666666666,0.018520898038895194
2021-07-16,92,0.38333333333333336,0.18333333333333332,0.4666666666666667,0.7,0.6666666666666666,0.016666666666666666,0.38333333333333336,0.022443679611834116,0.059027777777777776,0.04792651520592696,0.02238273542442137,0.018987083655491385,0.016666666666666666,0.018520898038895194
2021-07-17,57,0.38333333333333336,0.18333333333333332,0.4666666666666667,0.7,0.65,0.016666666666666666,0.4,0.022443679611834116,0.059027777777777776,0.04792651520592696,0.02238273542442137,0.01859948675626658,0.016666666666666666,0.02407645359445075
2021-07-18,48,0.38333333333333336,0.18333333333333332,0.48333333333333334,0.6666666666666666,0.6333333333333333,0.016666666666666666,0.38333333333333336,0.022443679611834116,0.059027777777777776,0.05030746758687934,0.02167351556626534,0.019082366475318375,0.016666666666666666,0.023435427953425108
2021-07-19,84,0.38333333333333336,0.18333333333333332,0.48333333333333334,0.6166666666666667,0.6333333333333333,0.016666666666666666,0.36666666666666664,0.022443679611834116,0.059027777777777776,0.05030746758687934,0.02056240445515423,0.019336738494396277,0.016666666666666666,0.021583576101573253
2021-07-20,72,0.35,0.18333333333333332,0.48333333333333334,0.6166666666666667,0.65,0.016666666666666666,0.38333333333333336,0.021253203421357926,0.059027777777777776,0.05030746758687934,0.02056240445515423,0.020003405161062946,0.016666666666666666,0.023964528482525633
2021-07-21,71,0.35,0.16666666666666666,0.48333333333333334,0.6,0.6666666666666666,0.016666666666666666,0.38333333333333336,0.021253203421357926,0.05694444444444444,0.05030746758687934,0.020155900390113578,0.021855257012914797,0.016666666666666666,0.023964528482525633
