party,Gender Tweets,All tweets,party_gender_proportion,proportion_of_gender_tweets
AFD,128,15596,0.008207232623749679,0.33507853403141363
CDUCSU,77,23603,0.0032622971656145407,0.20157068062827224
FDP,34,28482,0.0011937363949160874,0.08900523560209424
GRUENE,47,29136,0.001613124656781988,0.12303664921465969
LINKE,54,32140,0.0016801493466085875,0.14136125654450263
SPD,42,28304,0.0014838892029395139,0.1099476439790576
