party,Gender Tweets,All tweets,party_gender_proportion,proportion_of_gender_tweets
AFD,443,95817,0.0046233966832608,0.39659803043867503
CDUCSU,134,105660,0.0012682188150671967,0.11996418979409132
FDP,81,127319,0.00063619726827889,0.07251566696508505
GRUENE,184,133917,0.0013739853790034125,0.1647269471799463
LINKE,161,130037,0.0012381091535486053,0.144136078782453
SPD,114,188461,0.0006048996874684948,0.10205908683974933
