,author_id,count,sum,prop,Nachname,Vorname,Fraktion,Twitter-Name,region,"Name, Vorname",Vorname Nachname,handle,party,parltype,person__in_parlperiod,lcasehandle
0,4121053541,234,11,0.04700854700854701,Jongen,Marc,,,Bund,"Jongen, Marc",,Marc_Jongen,afd,Bund,[19],marc_jongen
1,3105025175,976,18,0.018442622950819672,Höchst,Nicole,,,Bund,"Höchst, Nicole",,Nicole_Hoechst,afd,Bund,[19],nicole_hoechst
2,728990858,427,7,0.01639344262295082,Schimke,Jana,,,Bund,"Schimke, Jana",,JanaSchimke,cducsu,Bund,"[18, 19]",janaschimke
3,940532615177752576,397,6,0.015113350125944584,Magnitz,Frank,,,Bund,"Magnitz, Frank",,Frank_Magnitz,afd,Bund,[19],frank_magnitz
4,805308596,2881,42,0.014578271433530025,Storch,Beatrix,,,Bund,"Storch, Beatrix",,Beatrix_vStorch,afd,Bund,[19],beatrix_vstorch
5,17363943,1623,23,0.014171287738755391,Schauws,Ulle,,,Bund,"Schauws, Ulle",,ulle_schauws,gruene,Bund,"[18, 19]",ulle_schauws
6,20840049,1519,18,0.01184990125082291,Strengmann-Kuhn,Wolfgang,,,Bund,"Strengmann-Kuhn, Wolfgang",,W_SK,gruene,Bund,"[16, 17, 18, 19]",w_sk
7,3408940048,435,5,0.011494252873563218,Nolte,Jan Ralf,,,Bund,"Nolte, Jan Ralf",,Jan_Nolte_AfD,afd,Bund,[19],jan_nolte_afd
8,569257486,610,7,0.011475409836065573,Beermann,Maik,,,Bund,"Beermann, Maik",,MaikBeermann,cducsu,Bund,"[18, 19]",maikbeermann
9,2496104640,1401,16,0.011420413990007138,Peterka,Tobias Matthias,,,Bund,"Peterka, Tobias Matthias",,TobiasMPeterka,afd,Bund,[19],tobiasmpeterka
10,21618829,272,3,0.011029411764705883,Ortleb,Josephine,,,Bund,"Ortleb, Josephine",,josephineortleb,spd,Bund,[19],josephineortleb
11,809895794,7059,75,0.010624734381640459,Frömming,Götz,,,Bund,"Frömming, Götz",,GtzFrmming,afd,Bund,[19],gtzfrmming
12,960974630709284864,390,4,0.010256410256410256,König,Jörn,,,Bund,"König, Jörn",,JoernKoenigAfD,afd,Bund,[19],joernkoenigafd
13,4130621842,603,6,0.009950248756218905,Frohnmaier,Markus,,,Bund,"Frohnmaier, Markus",,Frohnmaier_AfD,afd,Bund,[19],frohnmaier_afd
14,2618890032,1265,12,0.009486166007905139,Mrosek,Andreas,,,Bund,"Mrosek, Andreas",,mrosek1958,afd,Bund,[19],mrosek1958
15,741532130,1742,15,0.008610792192881744,Post,Florian,,,Bund,"Post, Florian",,FlorianPost,spd,Bund,"[18, 19]",florianpost
16,146376562,720,6,0.008333333333333333,Koeppen,Jens,,,Bund,"Koeppen, Jens",,JensKoeppen,cducsu,Bund,"[16, 17, 18, 19]",jenskoeppen
17,403735368,1453,12,0.008258774948382657,Hahn,Florian,,,Bund,"Hahn, Florian",,hahnflo,cducsu,Bund,"[17, 18, 19]",hahnflo
18,719975730784956416,1467,12,0.0081799591002045,Schneider,Jörg,,,Bund,"Schneider, Jörg",,Schneider_AfD,afd,Bund,[19],schneider_afd
19,4819478705,1479,12,0.008113590263691683,Achelwilm,Doris,,,Bund,"Achelwilm, Doris",,DorisAchelwilm,linke,Bund,[19],dorisachelwilm
20,17561226,1374,11,0.008005822416302766,Herbst,Torsten,,,Bund,"Herbst, Torsten",,torstenherbst,fdp,Bund,[19],torstenherbst
21,1490376331,2632,19,0.007218844984802432,Pasemann,Frank,,,Bund,"Pasemann, Frank",,Frank_Pasemann,afd,Bund,[19],frank_pasemann
22,917756296555892736,4592,33,0.007186411149825784,Braun,Jürgen,,,Bund,"Braun, Jürgen",,JuergenBraunAfD,afd,Bund,[19],juergenbraunafd
23,193629792,843,6,0.0071174377224199285,Kofler,Bärbel,,,Bund,"Kofler, Bärbel",,BaerbelKofler,spd,Bund,"[15, 16, 17, 18, 19]",baerbelkofler
24,3242322815,286,2,0.006993006993006993,Ehrhorn,Thomas,,,Bund,"Ehrhorn, Thomas",,Thomas_Ehrhorn,afd,Bund,[19],thomas_ehrhorn
25,810537151729373184,2678,18,0.006721433905899925,Spaniel,Dirk,,,Bund,"Spaniel, Dirk",,DirkSpaniel,afd,Bund,[19],dirkspaniel
26,4875914470,161,1,0.006211180124223602,Lucassen,Rüdiger,,,Bund,"Lucassen, Rüdiger",,MdB_Lucassen,afd,Bund,[19],mdb_lucassen
27,925703909825548288,650,4,0.006153846153846154,Freihold,Brigitte,,,Bund,"Freihold, Brigitte",,MdB_Freihold,linke,Bund,[19],mdb_freihold
28,910878654535749632,1801,11,0.006107717934480844,Bleck,Andreas,,,Bund,"Bleck, Andreas",,andreasbleckmdb,afd,Bund,[19],andreasbleckmdb
29,2545743991,4212,25,0.005935422602089269,Reichardt,Martin,,,Bund,"Reichardt, Martin",,M_Reichardt_AfD,afd,Bund,[19],m_reichardt_afd
30,110368456,4287,25,0.005831583858175881,Gehring,Kai,,,Bund,"Gehring, Kai",,KaiGehring,gruene,Bund,"[16, 17, 18, 19]",kaigehring
31,17960911,580,3,0.005172413793103448,Müller,Stefan,,,Bund,"Müller, Stefan",,smuellermdb,cducsu,Bund,"[15, 16, 17, 18, 19]",smuellermdb
32,881480498043916288,392,2,0.00510204081632653,Büttner,Matthias,,,Bund,"Büttner, Matthias",,Buettner_MdB,afd,Bund,[19],buettner_mdb
33,781747720897892352,199,1,0.005025125628140704,Komning,Enrico,,,Bund,"Komning, Enrico",,EnricoKomning,afd,Bund,[19],enricokomning
34,916324637046435840,1477,7,0.004739336492890996,Friesen,Anton,,,Bund,"Friesen, Anton",,DrFriesenMdB,afd,Bund,[19],drfriesenmdb
35,862747349277450240,215,1,0.004651162790697674,Abercron,Michael,,,Bund,"Abercron, Michael",,mvabercron,cducsu,Bund,[19],mvabercron
36,2596171296,1974,9,0.004559270516717325,Möhring,Cornelia,,,Bund,"Möhring, Cornelia",,Conni_Moehring,linke,Bund,"[17, 18, 19]",conni_moehring
37,4097559143,2291,10,0.004364906154517678,Barley,Katarina,,,Bund,"Barley, Katarina",,katarinabarley,spd,Bund,"[18, 19]",katarinabarley
38,1158585210,10790,46,0.004263206672845227,Hauer,Matthias,,,Bund,"Hauer, Matthias",,MatthiasHauer,cducsu,Bund,"[18, 19]",matthiashauer
39,37642893,1414,6,0.004243281471004243,Hirte,Christian,,,Bund,"Hirte, Christian",,ChristianHirte,cducsu,Bund,"[16, 17, 18, 19]",christianhirte
40,569832889,490,2,0.004081632653061225,Gabriel,Sigmar,,,Bund,"Gabriel, Sigmar",,sigmargabriel,spd,Bund,"[16, 17, 18, 19]",sigmargabriel
41,1475734592,2509,10,0.0039856516540454365,Verlinden,Julia,,,Bund,"Verlinden, Julia",,julia_verlinden,gruene,Bund,"[18, 19]",julia_verlinden
42,41548943,507,2,0.0039447731755424065,Andreae,Kerstin,,,Bund,"Andreae, Kerstin",,KerstinAndreae,gruene,Bund,"[15, 16, 17, 18, 19]",kerstinandreae
43,176104376,1294,5,0.0038639876352395673,Barrientos,Simone,,,Bund,"Barrientos, Simone",,SBarrientosK,linke,Bund,[19],sbarrientosk
44,2527808433,1382,5,0.00361794500723589,Nastic,Zaklin,,,Bund,"Nastic, Zaklin",,ZaklinNastic,linke,Bund,[19],zaklinnastic
45,2546790747,3041,11,0.0036172311739559354,Kamann,Uwe,,,Bund,"Kamann, Uwe",,uwe_kamann,afd,Bund,[19],uwe_kamann
46,2758602415,280,1,0.0035714285714285713,Schweiger,Torsten,,,Bund,"Schweiger, Torsten",,cdu_schweiger,cducsu,Bund,[19],cdu_schweiger
