,author_id,count,sum,prop,Nachname,Vorname,Fraktion,Twitter-Name,region,"Name, Vorname",Vorname Nachname,handle,party,parltype,person__in_parlperiod,lcasehandle
20,741532130,1061,15,0.01413760603204524,Post,Florian,,,Bund,"Post, Florian",,FlorianPost,spd,Bund,"[18, 19]",florianpost
21,2496104640,289,4,0.01384083044982699,Peterka,Tobias Matthias,,,Bund,"Peterka, Tobias Matthias",,TobiasMPeterka,afd,Bund,[19],tobiasmpeterka
22,738731811380076544,73,1,0.0136986301369863,Juratovic,Josip,,,Bund,"Juratovic, Josip",,josip_juratovic,spd,Bund,"[16, 17, 18, 19]",josip_juratovic
23,916324637046435840,239,3,0.012552301255230125,Friesen,Anton,,,Bund,"Friesen, Anton",,DrFriesenMdB,afd,Bund,[19],drfriesenmdb
24,454981027,177,2,0.011299435028248588,Lindh,Helge,,,Bund,"Lindh, Helge",,helgelindh,spd,Bund,[19],helgelindh
25,2618890032,177,2,0.011299435028248588,Mrosek,Andreas,,,Bund,"Mrosek, Andreas",,mrosek1958,afd,Bund,[19],mrosek1958
26,193629792,191,2,0.010471204188481676,Kofler,Bärbel,,,Bund,"Kofler, Bärbel",,BaerbelKofler,spd,Bund,"[15, 16, 17, 18, 19]",baerbelkofler
27,930725836482928640,193,2,0.010362694300518135,Schmidt,Stefan,,,Bund,"Schmidt, Stefan",,Schmidt_MdB,gruene,Bund,[19],schmidt_mdb
28,882929865535705088,100,1,0.01,Brunner,Karl-Heinz,,,Bund,"Brunner, Karl-Heinz",,BrunnerGanzOhr,spd,Bund,"[18, 19]",brunnerganzohr
29,3105025175,401,4,0.00997506234413965,Höchst,Nicole,,,Bund,"Höchst, Nicole",,Nicole_Hoechst,afd,Bund,[19],nicole_hoechst
30,944181149424898048,212,2,0.009433962264150943,Jacobi,Fabian,,,Bund,"Jacobi, Fabian",,Jacobi_AfD,afd,Bund,[19],jacobi_afd
31,833398209053605888,223,2,0.008968609865470852,Weidel,Alice,,,Bund,"Weidel, Alice",,Alice_Weidel,afd,Bund,[19],alice_weidel
32,17960911,115,1,0.008695652173913044,Müller,Stefan,,,Bund,"Müller, Stefan",,smuellermdb,cducsu,Bund,"[15, 16, 17, 18, 19]",smuellermdb
33,866924100,355,3,0.008450704225352112,Schielke-Ziesing,Ulrike,,,Bund,"Schielke-Ziesing, Ulrike",,ulschzi,afd,Bund,[19],ulschzi
34,39938182,245,2,0.00816326530612245,Schipanski,Tankred,,,Bund,"Schipanski, Tankred",,TSchipanski,cducsu,Bund,"[17, 18, 19]",tschipanski
35,17752770,1027,8,0.007789678675754625,Notz,Konstantin,,,Bund,"Notz, Konstantin",,KonstantinNotz,gruene,Bund,"[17, 18, 19]",konstantinnotz
36,797137333820784640,132,1,0.007575757575757576,Chrupalla,Tino,,,Bund,"Chrupalla, Tino",,Tino_Chrupalla,afd,Bund,[19],tino_chrupalla
37,587862375,564,4,0.0070921985815602835,Bayram,Canan,,,Bund,"Bayram, Canan",,LieblingXhain,gruene,Bund,[19],lieblingxhain
38,2546790747,577,4,0.006932409012131715,Kamann,Uwe,,,Bund,"Kamann, Uwe",,uwe_kamann,afd,Bund,[19],uwe_kamann
39,1158585210,3480,24,0.006896551724137931,Hauer,Matthias,,,Bund,"Hauer, Matthias",,MatthiasHauer,cducsu,Bund,"[18, 19]",matthiashauer
40,866425075,467,3,0.006423982869379015,Gohlke,Nicole,,,Bund,"Gohlke, Nicole",,NicoleGohlke,linke,Bund,"[17, 18, 19]",nicolegohlke
41,426403057,167,1,0.005988023952095809,Buchholz,Christine,,,Bund,"Buchholz, Christine",,ch_buchholz,linke,Bund,"[17, 18, 19]",ch_buchholz
42,467381196,518,3,0.005791505791505791,Leikert,Katja,,,Bund,"Leikert, Katja",,KLeikert,cducsu,Bund,"[18, 19]",kleikert
43,713361366858481664,2510,14,0.005577689243027889,Brandner,Stephan,,,Bund,"Brandner, Stephan",,StBrandner,afd,Bund,[19],stbrandner
44,47375691,182,1,0.005494505494505495,Wagenknecht,Sahra,,,Bund,"Wagenknecht, Sahra",,SWagenknecht,linke,Bund,"[17, 18, 19]",swagenknecht
45,21144568,1674,9,0.005376344086021506,Luksic,Oliver,,,Bund,"Luksic, Oliver",,OlliLuksic,fdp,Bund,"[17, 19]",olliluksic
46,805823950253150208,186,1,0.005376344086021506,Bernhard,Marc,,,Bund,"Bernhard, Marc",,MarcBernhardAfD,afd,Bund,[19],marcbernhardafd
47,176104376,193,1,0.0051813471502590676,Barrientos,Simone,,,Bund,"Barrientos, Simone",,SBarrientosK,linke,Bund,[19],sbarrientosk
48,20840049,197,1,0.005076142131979695,Strengmann-Kuhn,Wolfgang,,,Bund,"Strengmann-Kuhn, Wolfgang",,W_SK,gruene,Bund,"[16, 17, 18, 19]",w_sk
49,935456332655874048,605,3,0.0049586776859504135,Ullrich,Gerald,,,Bund,"Ullrich, Gerald",,G_UllrichFDP,fdp,Bund,[19],g_ullrichfdp
50,22908417,624,3,0.004807692307692308,Luczak,Jan-Marco,,,Bund,"Luczak, Jan-Marco",,JM_Luczak,cducsu,Bund,"[19, 17, 18]",jm_luczak
51,2527808433,210,1,0.004761904761904762,Nastic,Zaklin,,,Bund,"Nastic, Zaklin",,ZaklinNastic,linke,Bund,[19],zaklinnastic
52,110385973,215,1,0.004651162790697674,Sorge,Tino,,,Bund,"Sorge, Tino",,TinoSorge,cducsu,Bund,"[18, 19]",tinosorge
53,22260144,439,2,0.004555808656036446,Tauber,Peter,,,Bund,"Tauber, Peter",,petertauber,cducsu,Bund,"[17, 18, 19]",petertauber
54,21287514,878,4,0.004555808656036446,Vogler,Kathrin,,,Bund,"Vogler, Kathrin",,voglerk,linke,Bund,"[17, 18, 19]",voglerk
55,122104353,461,2,0.004338394793926247,Lindner,Christian,,,Bund,"Lindner, Christian",,c_lindner,fdp,Bund,"[17, 19]",c_lindner
56,1114675538,990,4,0.00404040404040404,Roth,Michael,,,Bund,"Roth, Michael",,MiRo_SPD,spd,Bund,"[14, 15, 16, 17, 18, 19]",miro_spd
57,42401449,515,2,0.003883495145631068,Annen,Niels,,,Bund,"Annen, Niels",,NielsAnnen,spd,Bund,"[16, 18, 19]",nielsannen
58,849060114388705280,259,1,0.003861003861003861,Hemmelgarn,Udo Theodor,,,Bund,"Hemmelgarn, Udo Theodor",,UdoHemmelgarn,afd,Bund,[19],udohemmelgarn
59,4819478705,271,1,0.0036900369003690036,Achelwilm,Doris,,,Bund,"Achelwilm, Doris",,DorisAchelwilm,linke,Bund,[19],dorisachelwilm
60,17535941,277,1,0.0036101083032490976,Dürr,Christian,,,Bund,"Dürr, Christian",,christianduerr,fdp,Bund,[19],christianduerr
61,1143130812,278,1,0.0035971223021582736,Kühn,Christian,,,Bund,"Kühn, Christian",,ChrisKuehn_mdb,gruene,Bund,"[18, 19]",chriskuehn_mdb
62,3930477322,280,1,0.0035714285714285713,Korkmaz,Elvan,,,Bund,"Korkmaz, Elvan",,KorkmazGT,spd,Bund,[19],korkmazgt
63,494809842,591,2,0.00338409475465313,Gremmels,Timon,,,Bund,"Gremmels, Timon",,Timon_Gremmels,spd,Bund,[19],timon_gremmels
64,136266976,5058,17,0.003361012257809411,Beutin,Lorenz Gösta,,,Bund,"Beutin, Lorenz Gösta",,lgbeutin,linke,Bund,[19],lgbeutin
65,49450039,298,1,0.003355704697986577,Nick,Andreas,,,Bund,"Nick, Andreas",,DrAndreasNick,cducsu,Bund,"[18, 19]",drandreasnick
66,2320519958,617,2,0.0032414910858995136,Bartsch,Dietmar,,,Bund,"Bartsch, Dietmar",,DietmarBartsch,linke,Bund,"[14, 16, 17, 18, 19]",dietmarbartsch
