hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
toll,8,7,0,1,0,0,0,0
können,8,3,0,4,0,0,1,0
alt,8,1,1,5,1,0,0,0
angebot,8,3,0,1,4,0,0,0
2021,8,1,2,4,1,0,0,0
stadt,8,0,0,3,2,2,1,0
ines,8,8,0,0,0,0,0,0
erfolgen,8,3,1,2,2,0,0,0
reden,8,2,0,6,0,0,0,0
enkel,8,0,2,4,1,1,0,0
arbeiten,8,2,0,4,2,0,0,0
unterstützen,8,4,0,3,0,0,0,1
marzahn,8,6,2,0,0,0,0,0
wollen,7,3,1,3,0,0,0,0
chance,7,0,0,7,0,0,0,0
bund,7,1,0,5,1,0,0,0
hoch,7,3,1,2,1,0,0,0
beginnen,7,4,0,3,0,0,0,0
bezirk,7,0,0,3,0,1,3,0
schließen,7,2,1,1,1,2,0,0
junge,7,1,0,5,0,1,0,0
problem,7,3,1,1,1,0,1,0
selbsttests,7,0,0,5,2,0,0,0
30,7,4,0,3,0,0,0,0
freuen,7,3,0,1,1,1,1,0
inzidenz,7,2,0,1,1,0,3,0
mann,7,2,1,3,0,1,0,0
letzt,7,0,0,6,0,1,0,0
hoffentlich,7,1,1,5,0,0,0,0
entscheidung,7,0,0,7,0,0,0,0
mutter,7,0,2,4,0,1,0,0
laufen,7,1,1,3,0,0,2,0
priorität,7,2,0,4,1,0,0,0
schick,7,4,0,0,1,0,2,0
ja,7,3,0,3,0,0,1,0
ermöglichen,7,2,0,4,1,0,0,0
zu,7,1,0,4,0,0,2,0
dringen,7,2,0,2,0,3,0,0
anbieten,7,2,1,4,0,0,0,0
platz,7,6,0,1,0,0,0,0
allesistdrin,7,0,0,7,0,0,0,0
schaffen,7,1,0,4,0,1,1,0
wünschen,7,4,0,2,1,0,0,0
dbdk21,7,0,0,7,0,0,0,0
eine,6,2,0,2,2,0,0,0
stark,6,0,0,4,0,2,0,0
bringen,6,1,1,2,0,1,1,0
starten,6,0,0,3,2,1,0,0
14,6,2,1,2,1,0,0,0
genügen,6,6,0,0,0,0,0,0
50,6,3,0,2,1,0,0,0
lesen,6,2,0,4,0,0,0,0
voll,6,1,0,2,0,0,3,0
beschließen,6,1,0,2,2,0,1,0
treffen,6,1,1,3,0,1,0,0
ausschließen,6,0,0,6,0,0,0,0
bereich,6,0,1,4,1,0,0,0
r2,6,1,0,2,0,1,2,0
fall,6,4,0,0,1,1,0,0
diskriminierung,6,0,0,5,0,1,0,0
distanzunterricht,6,2,1,2,0,0,1,0
bieten,6,0,0,5,1,0,0,0
stunde,6,2,0,3,0,0,1,0
stärken,6,3,0,2,1,0,0,0
klären,6,3,0,2,0,1,0,0
maßnahme,6,1,1,2,0,0,2,0
euro,6,2,4,0,0,0,0,0
ne,6,1,0,5,0,0,0,0
forderung,6,4,0,1,0,1,0,0
verzweifeln,6,4,0,0,0,1,1,0
all,6,1,0,5,0,0,0,0
bestimmen,6,3,1,2,0,0,0,0
regelung,6,3,0,2,0,1,0,0
beschäftigte,6,5,0,0,1,0,0,0
alleinerziehend,6,3,0,2,0,0,1,0
enden,6,0,2,2,1,1,0,0
situation,6,2,0,4,0,0,0,0
gesundheit,6,3,0,2,0,0,1,0
kontakt,6,2,0,4,0,0,0,0
wahlkreis,6,5,0,1,0,0,0,0
grund,6,1,1,3,1,0,0,0
grundschule,6,2,0,2,1,0,1,0
danke,6,3,0,1,0,2,0,0
bedeuten,6,1,0,3,0,2,0,0
kennen,6,0,0,4,0,1,1,0
nein,6,1,1,2,1,0,1,0
ander,6,1,0,3,0,1,1,0
homeschooling,6,2,0,2,0,1,1,0
wohnung,6,3,0,2,0,0,1,0
schreiben,6,2,1,0,0,3,0,0
melden,6,2,0,1,1,0,2,0
tochter,6,0,0,2,0,3,1,0
lang,6,0,2,2,1,1,0,0
vergessen,6,1,2,3,0,0,0,0
unverständlich,6,0,0,5,1,0,0,0
dauern,6,2,0,3,0,1,0,0
sorgen,6,1,2,0,0,1,2,0
sommer,5,4,0,1,0,0,0,0
regel,5,0,0,4,0,1,0,0
man,5,0,1,1,2,1,0,0
normal,5,1,3,0,0,1,0,0
jugendtheater,5,3,0,2,0,0,0,0
essen,5,3,0,2,0,0,0,0
impfangebot,5,2,0,3,0,0,0,0
frei,5,2,0,3,0,0,0,0
15,5,1,1,3,0,0,0,0
handeln,5,1,1,2,1,0,0,0
sofort,5,1,0,3,1,0,0,0
beziehungsweise,5,1,0,3,1,0,0,0
setzen,5,2,1,2,0,0,0,0
lehrerin,5,2,0,1,0,1,1,0
sicherheit,5,0,1,2,0,0,2,0
zumindest,5,2,0,1,1,1,0,0
bauen,5,3,0,1,1,0,0,0
ernst,5,1,1,1,1,0,1,0
polizei,5,1,2,0,2,0,0,0
genauso,5,0,1,2,0,2,0,0
mitte,5,3,0,2,0,0,0,0
lässt,5,0,1,3,1,0,0,0
schuljahr,5,1,1,3,0,0,0,0
klimaschutz,5,0,0,4,1,0,0,0
liegen,5,0,1,3,0,1,0,0
spaßen,5,3,0,1,1,0,0,0
nutzen,5,4,0,1,0,0,0,0
schlecht,5,1,0,3,0,0,1,0
diese,5,0,2,2,0,1,0,0
erklären,5,0,0,4,0,1,0,0
geld,5,2,1,0,1,0,1,0
politiker,5,1,2,1,0,1,0,0
geist,5,1,4,0,0,0,0,0
suchen,5,0,1,2,0,1,1,0
von,5,3,0,2,0,0,0,0
sonnen,5,3,1,1,0,0,0,0
zum,5,2,0,2,1,0,0,0
kindertag,5,4,0,0,0,0,1,0
politisch,5,0,0,3,1,0,1,0
umsetzung,5,0,0,3,0,0,2,0
deutlich,5,1,0,2,1,1,0,0
blicken,5,2,0,3,0,0,0,0
komplett,5,2,0,3,0,0,0,0
flächendeckend,5,0,0,5,0,0,0,0
schützen,5,2,1,0,0,1,1,0
kolleg,5,5,0,0,0,0,0,0
passieren,5,0,0,3,1,1,0,0
stiko,5,1,0,3,1,0,0,0
mobil,5,1,1,3,0,0,0,0
raum,5,3,0,2,0,0,0,0
fast,5,1,0,1,0,0,3,0
fachkräfte,5,1,2,0,1,1,0,0
rücken,5,1,0,2,0,1,1,0
verdienen,5,0,0,4,1,0,0,0
öffentlich,5,2,1,2,0,0,0,0
initiative,5,2,0,0,1,1,0,1
öffnung,5,0,0,4,0,1,0,0
hilfe,5,4,0,0,1,0,0,0
unterstützung,5,2,0,2,1,0,0,0
gt,5,1,1,1,0,2,0,0
klargehtdas,5,0,0,5,0,0,0,0
meinen,5,3,0,2,0,0,0,0
unterwegs,5,4,0,1,0,0,0,0
million,5,1,3,0,1,0,0,0
bundesregierung,5,1,1,3,0,0,0,0
nicht,5,1,1,2,1,0,0,0
zahl,5,1,0,3,0,0,1,0
legen,5,2,0,2,0,1,0,0
natürlich,5,1,0,3,0,1,0,0
schöne,5,3,0,1,0,0,1,0
jung,5,0,0,3,1,1,0,0
dafür,5,2,0,3,0,0,0,0
damit,5,0,1,4,0,0,0,0
testpflicht,5,1,3,1,0,0,0,0
20,5,1,2,1,0,1,0,0
termin,5,2,0,3,0,0,0,0
kaufen,5,1,0,2,1,0,1,0
schutz,5,0,0,2,2,0,1,0
platzen,5,2,0,3,0,0,0,0
wahlkampf,5,0,0,1,1,1,2,0
einzig,4,1,0,3,0,0,0,0
lieb,4,1,0,1,1,0,1,0
eigentlich,4,0,0,3,0,1,0,0
pflegeeinrichtungen,4,0,0,4,0,0,0,0
gefährden,4,0,0,1,0,1,2,0
lichtenberg,4,4,0,0,0,0,0,0
völlig,4,0,0,3,1,0,0,0
coronavirus,4,1,3,0,0,0,0,0
teilen,4,1,0,2,1,0,0,0
bus,4,0,0,0,0,0,4,0
tag,4,1,0,1,0,0,2,0
empfehlen,4,1,1,1,0,1,0,0
fehlen,4,0,0,2,1,0,1,0
dran,4,1,1,1,1,0,0,0
vereinen,4,4,0,0,0,0,0,0
obwohl,4,1,0,2,0,0,1,0
oder,4,1,1,1,0,1,0,0
klar,4,0,0,4,0,0,0,0
ganz,4,2,0,1,0,0,1,0
tollen,4,2,0,0,1,1,0,0
eher,4,2,0,1,0,1,0,0
sonst,4,1,0,1,1,1,0,0
leute,4,1,1,1,0,1,0,0
umsetzen,4,0,0,3,0,0,1,0
jed,4,0,1,2,0,0,0,1
vorschlag,4,2,0,2,0,0,0,0
behaupten,4,2,0,2,0,0,0,0
steigen,4,1,0,1,0,0,2,0
fällen,4,0,0,1,0,0,3,0
theater,4,0,0,4,0,0,0,0
beratung,4,1,0,1,0,1,1,0
studie,4,3,0,1,0,0,0,0
betreuung,4,2,0,1,0,0,1,0
biontech,4,1,1,1,1,0,0,0
einschulung,4,1,0,2,1,0,0,0
einschränken,4,1,0,3,0,0,0,0
freiheit,4,0,1,2,1,0,0,0
freigabe,4,3,0,1,0,0,0,0
leiden,4,1,0,2,1,0,0,0
tatsächlich,4,0,0,3,1,0,0,0
träge,4,3,0,1,0,0,0,0
plenum,4,1,0,3,0,0,0,0
einig,4,3,0,1,0,0,0,0
verteilen,4,2,0,1,1,0,0,0
durchsetzen,4,3,0,0,0,1,0,0
präsenzunterricht,4,1,0,3,0,0,0,0
etc,4,0,1,2,1,0,0,0
eu,4,0,2,2,0,0,0,0
biesdorf,4,4,0,0,0,0,0,0
präsenzpflicht,4,3,0,1,0,0,0,0
regelmäßig,4,0,0,4,0,0,0,0
partei,4,2,0,0,0,1,1,0
kurz,4,1,1,2,0,0,0,0
egal,4,1,1,1,1,0,0,0
vor,4,0,0,2,1,1,0,0
realität,4,0,1,2,1,0,0,0
reichen,4,1,1,2,0,0,0,0
deutsch,4,1,3,0,0,0,0,0
verkleiden,4,0,2,2,0,0,0,0
verlieren,4,0,1,2,0,0,0,1
erkranken,4,3,1,0,0,0,0,0
debatte,4,1,0,3,0,0,0,0
fahren,4,2,2,0,0,0,0,0
besuchen,4,2,0,1,0,1,0,0
beschluss,4,2,0,1,1,0,0,0
brechen,4,0,0,1,0,1,2,0
pro,4,2,2,0,0,0,0,0
besonder,4,2,0,2,0,0,0,0
erwachsen,4,0,0,2,1,1,0,0
