party,Tweets that gendern,All tweets,party_gendern_proportion,proportion_of_gendern_tweets
AFD,240,95817,0.0025047747268230063,0.021549788991649457
CDUCSU,209,105660,0.00197804277872421,0.01876627458022807
FDP,257,127319,0.002018551826514503,0.02307623237855796
GRUENE,4145,133917,0.030952007586788833,0.3721828140432792
LINKE,4241,130037,0.03261379453540146,0.38080272963993894
SPD,2045,188461,0.010851051411167297,0.1836221603663464
