,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-04-21,219,0.15,0.03333333333333333,0.03333333333333333,0.5,0.7666666666666667,0.016666666666666666,0.08333333333333333,0.009545692597163187,0.007499999999999999,0.0025764895330112714,0.008910435757828331,0.01408109140474169,0.016666666666666666,0.008065645613083943
2021-04-22,223,0.15,0.03333333333333333,0.016666666666666666,0.5333333333333333,0.8333333333333334,0.016666666666666666,0.08333333333333333,0.009545692597163187,0.007499999999999999,0.0018518518518518513,0.009448070166430482,0.0146083768376875,0.016666666666666666,0.008065645613083943
2021-04-23,166,0.15,0.05,0.016666666666666666,0.5333333333333333,0.8833333333333333,0.016666666666666666,0.1,0.009545692597163187,0.009351851851851853,0.0018518518518518513,0.009371792515782122,0.015517467746778408,0.016666666666666666,0.009176756724195052
2021-04-24,248,0.16666666666666666,0.05,0.03333333333333333,0.5,0.9,0.016666666666666666,0.1,0.011212359263829854,0.009351851851851853,0.0021250758955676983,0.00829652369857782,0.014737610349273952,0.016666666666666666,0.009176756724195052
2021-04-25,150,0.15,0.03333333333333333,0.03333333333333333,0.5,0.8666666666666667,0.016666666666666666,0.1,0.009930307981778571,0.0060185185185185185,0.0021250758955676983,0.00829652369857782,0.014310259921923524,0.016666666666666666,0.009176756724195052
2021-04-26,157,0.15,0.03333333333333333,0.03333333333333333,0.5,0.8666666666666667,0.016666666666666666,0.1,0.009930307981778571,0.0060185185185185185,0.0021250758955676983,0.00829652369857782,0.014310259921923524,0.016666666666666666,0.009176756724195052
2021-04-27,127,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.5,0.85,0.016666666666666666,0.1,0.009096974648445237,0.0060185185185185185,0.0021250758955676983,0.00829652369857782,0.014363169974833577,0.016666666666666666,0.009176756724195052
2021-04-28,160,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.5166666666666667,0.85,0.016666666666666666,0.1,0.009096974648445237,0.0060185185185185185,0.0021250758955676983,0.008610989107382854,0.01461869909634208,0.016666666666666666,0.009176756724195052
2021-04-29,151,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.5166666666666667,0.8833333333333333,0.016666666666666666,0.1,0.009096974648445237,0.00972222222222222,0.0021250758955676983,0.008610989107382854,0.01535943983708282,0.016666666666666666,0.009176756724195052
2021-04-30,121,0.15,0.06666666666666667,0.03333333333333333,0.5166666666666667,0.8833333333333333,0.016666666666666666,0.1,0.010287450838921427,0.00972222222222222,0.0021250758955676983,0.008610989107382854,0.01533040383243706,0.016666666666666666,0.008665060817762303
2021-05-01,275,0.15,0.06666666666666667,0.03333333333333333,0.5,0.8833333333333333,0.016666666666666666,0.1,0.010287450838921427,0.00972222222222222,0.0021250758955676983,0.008362718859112604,0.01533040383243706,0.016666666666666666,0.008665060817762303
2021-05-02,130,0.15,0.06666666666666667,0.03333333333333333,0.4666666666666667,0.8833333333333333,0.016666666666666666,0.1,0.010287450838921427,0.00972222222222222,0.0021250758955676983,0.00781627077168091,0.01533040383243706,0.016666666666666666,0.008665060817762303
2021-05-03,193,0.15,0.06666666666666667,0.03333333333333333,0.4666666666666667,0.9166666666666666,0.016666666666666666,0.08333333333333333,0.010287450838921427,0.00972222222222222,0.0021250758955676983,0.007739347694757833,0.015741926466181916,0.016666666666666666,0.005887283039984525
2021-05-04,127,0.15,0.06666666666666667,0.03333333333333333,0.4666666666666667,0.9166666666666666,0.016666666666666666,0.08333333333333333,0.010287450838921427,0.00972222222222222,0.0021250758955676983,0.007739347694757833,0.015741926466181916,0.016666666666666666,0.005887283039984525
