,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-03-06,240,0.03333333333333333,0.16666666666666666,0.1,0.36666666666666664,0.23333333333333334,0.0,0.0,0.00196078431372549,0.024722222222222222,0.004714640198511172,0.007891851423001542,0.003475712922873151,0.0,0.0
2021-03-07,108,0.0,0.16666666666666666,0.1,0.3,0.23333333333333334,0.0,0.0,0.0,0.024722222222222222,0.004714640198511172,0.006137465458089261,0.003475712922873151,0.0,0.0
2021-03-08,166,0.0,0.16666666666666666,0.1,0.3,0.2,0.0,0.0,0.0,0.024722222222222222,0.004714640198511172,0.006137465458089261,0.002938078514271,0.0,0.0
2021-03-09,146,0.0,0.16666666666666666,0.1,0.26666666666666666,0.2,0.0,0.0,0.0,0.024722222222222222,0.004714640198511172,0.005157073301226516,0.002938078514271,0.0,0.0
2021-03-10,179,0.0,0.16666666666666666,0.1,0.26666666666666666,0.2,0.0,0.0,0.0,0.024722222222222222,0.004714640198511172,0.005157073301226516,0.002938078514271,0.0,0.0
2021-03-11,250,0.0,0.16666666666666666,0.1,0.23333333333333334,0.2,0.0,0.03333333333333333,0.0,0.024722222222222222,0.004714640198511172,0.004680882825036039,0.002938078514271,0.0,0.0018518518518518517
2021-03-12,133,0.0,0.1,0.03333333333333333,0.26666666666666666,0.16666666666666666,0.0,0.03333333333333333,0.0,0.01638888888888889,0.0025641025641025697,0.0056612749818987845,0.0024252580014504873,0.0,0.0018518518518518517
2021-03-13,148,0.0,0.1,0.03333333333333333,0.26666666666666666,0.16666666666666666,0.0,0.03333333333333333,0.0,0.01638888888888889,0.0025641025641025697,0.0056612749818987845,0.0024252580014504873,0.0,0.0018518518518518517
2021-03-14,110,0.0,0.1,0.03333333333333333,0.3,0.16666666666666666,0.0,0.03333333333333333,0.0,0.01638888888888889,0.0025641025641025697,0.006538467964354925,0.0024252580014504873,0.0,0.0018518518518518517
2021-03-15,85,0.0,0.1,0.03333333333333333,0.3,0.16666666666666666,0.0,0.03333333333333333,0.0,0.01638888888888889,0.0025641025641025697,0.006538467964354925,0.0024252580014504873,0.0,0.0018518518518518517
2021-03-16,167,0.0,0.1,0.03333333333333333,0.3,0.16666666666666666,0.0,0.03333333333333333,0.0,0.01638888888888889,0.0025641025641025697,0.006538467964354925,0.0024252580014504873,0.0,0.0018518518518518517
2021-03-17,168,0.0,0.1,0.03333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.03333333333333333,0.0,0.01638888888888889,0.0025641025641025697,0.0057448171707041315,0.0016845172607097465,0.0,0.0018518518518518517
2021-03-18,169,0.0,0.1,0.03333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.03333333333333333,0.0,0.01638888888888889,0.0025641025641025697,0.0057448171707041315,0.0016845172607097465,0.0,0.0018518518518518517
2021-03-19,143,0.0,0.06666666666666667,0.03333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.03333333333333333,0.0,0.010833333333333335,0.0025641025641025697,0.0057448171707041315,0.0016845172607097465,0.0,0.0018518518518518517
2021-03-20,186,0.0,0.06666666666666667,0.03333333333333333,0.23333333333333334,0.13333333333333333,0.0,0.03333333333333333,0.0,0.010833333333333335,0.0025641025641025697,0.005275333602629014,0.0016845172607097465,0.0,0.0018518518518518517
2021-03-21,143,0.0,0.06666666666666667,0.03333333333333333,0.23333333333333334,0.1,0.0,0.03333333333333333,0.0,0.010833333333333335,0.0025641025641025697,0.005371331239610257,0.001201425473270133,0.0,0.0018518518518518517
2021-03-22,164,0.0,0.06666666666666667,0.03333333333333333,0.3,0.1,0.0,0.03333333333333333,0.0,0.010833333333333335,0.0025641025641025697,0.0064466000568145585,0.001201425473270133,0.0,0.0018518518518518517
2021-03-23,193,0.0,0.1,0.03333333333333333,0.43333333333333335,0.13333333333333333,0.0,0.03333333333333333,0.0,0.014166666666666668,0.0025641025641025697,0.008378967206573013,0.0019950762669209265,0.0,0.0018518518518518517
2021-03-24,203,0.0,0.1,0.0,0.43333333333333335,0.2,0.0,0.03333333333333333,0.0,0.014166666666666668,5.551115123125783e-18,0.008014594736937384,0.0033107959337467527,0.0,0.0018518518518518517
2021-03-25,283,0.0,0.1,0.0,0.43333333333333335,0.2,0.0,0.03333333333333333,0.0,0.014166666666666668,5.551115123125783e-18,0.008014594736937384,0.0033107959337467527,0.0,0.0018518518518518517
2021-03-26,141,0.0,0.1,0.0,0.4,0.16666666666666666,0.0,0.03333333333333333,0.0,0.014166666666666668,5.551115123125783e-18,0.00708866881101146,0.0028834455063963256,0.0,0.0018518518518518517
2021-03-27,132,0.0,0.1,0.0,0.4,0.16666666666666666,0.0,0.03333333333333333,0.0,0.014166666666666668,5.551115123125783e-18,0.00708866881101146,0.0028834455063963256,0.0,0.0018518518518518517
2021-03-28,130,0.0,0.1,0.0,0.4,0.16666666666666666,0.0,0.03333333333333333,0.0,0.014166666666666668,5.551115123125783e-18,0.00708866881101146,0.0028834455063963256,0.0,0.0018518518518518517
2021-03-29,152,0.0,0.1,0.0,0.4,0.16666666666666666,0.0,0.03333333333333333,0.0,0.014166666666666668,5.551115123125783e-18,0.00708866881101146,0.0028834455063963256,0.0,0.0018518518518518517
2021-03-30,78,0.0,0.1,0.0,0.43333333333333335,0.16666666666666666,0.0,0.03333333333333333,0.0,0.014166666666666668,5.551115123125783e-18,0.008069060967874206,0.0028834455063963256,0.0,0.0018518518518518517
2021-03-31,116,0.0,0.1,0.06666666666666667,0.43333333333333335,0.16666666666666666,0.0,0.06666666666666667,0.0,0.014166666666666668,0.005555555555555561,0.008069060967874206,0.0028834455063963256,0.0,0.00324074074074074
2021-04-01,111,0.0,0.1,0.06666666666666667,0.43333333333333335,0.16666666666666666,0.0,0.06666666666666667,0.0,0.014166666666666668,0.005555555555555561,0.008069060967874206,0.0028834455063963256,0.0,0.00324074074074074
2021-04-02,92,0.0,0.1,0.06666666666666667,0.43333333333333335,0.16666666666666666,0.0,0.06666666666666667,0.0,0.014166666666666668,0.005555555555555561,0.008069060967874206,0.0028834455063963256,0.0,0.00324074074074074
2021-04-03,80,0.0,0.06666666666666667,0.06666666666666667,0.4,0.16666666666666666,0.0,0.06666666666666667,0.0,0.010000000000000002,0.005555555555555561,0.007402394301207539,0.0028834455063963256,0.0,0.00324074074074074
2021-04-04,62,0.0,0.06666666666666667,0.06666666666666667,0.4,0.13333333333333333,0.0,0.06666666666666667,0.0,0.010000000000000002,0.005555555555555561,0.007402394301207539,0.002432995055945875,0.0,0.00324074074074074
2021-04-05,135,0.0,0.03333333333333333,0.06666666666666667,0.36666666666666664,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0033333333333333344,0.005555555555555561,0.006904881863396594,0.002432995055945875,0.0,0.00324074074074074
2021-04-06,81,0.0,0.03333333333333333,0.06666666666666667,0.36666666666666664,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0033333333333333344,0.005555555555555561,0.006904881863396594,0.002432995055945875,0.0,0.00324074074074074
2021-04-07,140,0.0,0.03333333333333333,0.06666666666666667,0.36666666666666664,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0033333333333333344,0.005555555555555561,0.006904881863396594,0.002432995055945875,0.0,0.00324074074074074
2021-04-08,134,0.0,0.03333333333333333,0.06666666666666667,0.4,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0033333333333333344,0.005555555555555561,0.00783080778932252,0.002432995055945875,0.0,0.00324074074074074
2021-04-09,86,0.0,0.03333333333333333,0.06666666666666667,0.4,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0033333333333333344,0.005555555555555561,0.00783080778932252,0.002432995055945875,0.0,0.00324074074074074
2021-04-10,118,0.0,0.06666666666666667,0.06666666666666667,0.4,0.13333333333333333,0.0,0.03333333333333333,0.0,0.006666666666666668,0.005555555555555561,0.00783080778932252,0.002432995055945875,0.0,0.0013888888888888885
2021-04-11,94,0.0,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.13333333333333333,0.0,0.03333333333333333,0.0,0.006666666666666668,0.005555555555555561,0.006850415632459774,0.002432995055945875,0.0,0.0013888888888888885
2021-04-12,156,0.0,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.16666666666666666,0.0,0.03333333333333333,0.0,0.006666666666666668,0.005555555555555561,0.006850415632459774,0.0031132671647894124,0.0,0.0013888888888888885
2021-04-13,162,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.005973222650003634,0.0031132671647894124,0.0,0.0013888888888888885
2021-04-14,209,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.005973222650003634,0.0031132671647894124,0.0,0.0013888888888888885
2021-04-15,273,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.005973222650003634,0.0031132671647894124,0.0,0.0013888888888888885
2021-04-16,198,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.005973222650003634,0.0031132671647894124,0.0,0.0013888888888888885
2021-04-17,111,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.005973222650003634,0.0031132671647894124,0.0,0.0013888888888888885
2021-04-18,123,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.005973222650003634,0.0031132671647894124,0.0,0.0013888888888888885
2021-04-19,239,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.2,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.00638474528374849,0.0035827507328645295,0.0,0.0013888888888888885
2021-04-20,151,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.005838297196316796,0.0035827507328645295,0.0,0.0013888888888888885
2021-04-21,219,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.23333333333333334,0.0,0.03333333333333333,0.0015873015873015873,0.006666666666666668,0.005555555555555561,0.004763028379112495,0.003888561130418046,0.0,0.0013888888888888885
2021-04-22,223,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.2,0.0,0.03333333333333333,0.0015873015873015873,0.0033333333333333344,0.005555555555555561,0.0033682956379561912,0.0030949103367672527,0.0,0.0013888888888888885
2021-04-23,166,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.1,0.0,0.03333333333333333,0.0015873015873015873,0.0033333333333333344,0.005555555555555561,0.0035801128062950987,0.0014555660744721708,0.0,0.0013888888888888885
2021-04-24,248,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.1,0.0,0.03333333333333333,0.0015873015873015873,0.0033333333333333344,0.005555555555555561,0.0035801128062950987,0.0014555660744721708,0.0,0.0013888888888888885
2021-04-25,150,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.2,0.1,0.0,0.03333333333333333,0.0015873015873015873,0.0033333333333333344,0.005555555555555561,0.004770588996771289,0.0014555660744721708,0.0,0.0013888888888888885
2021-04-26,157,0.03333333333333333,0.03333333333333333,0.1,0.2,0.1,0.0,0.03333333333333333,0.0015873015873015873,0.0033333333333333344,0.006666666666666671,0.004770588996771289,0.0014555660744721708,0.0,0.0013888888888888885
2021-04-27,127,0.03333333333333333,0.03333333333333333,0.1,0.2,0.1,0.0,0.03333333333333333,0.0015873015873015873,0.0033333333333333344,0.006666666666666671,0.004770588996771289,0.0014555660744721708,0.0,0.0013888888888888885
2021-04-28,160,0.03333333333333333,0.03333333333333333,0.1,0.2,0.13333333333333333,0.0,0.03333333333333333,0.0015873015873015873,0.0033333333333333344,0.006666666666666671,0.004770588996771289,0.0023102669291730255,0.0,0.0013888888888888885
