,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-06-25,102,0.21666666666666667,0.1,0.05,0.21666666666666667,0.43333333333333335,0.016666666666666666,0.06666666666666667,0.011779637964100875,0.008872608872608873,0.00773809523809524,0.004889875572422682,0.006654639807244103,0.008333333333333333,0.005032051282051281
2021-06-26,80,0.21666666666666667,0.1,0.05,0.23333333333333334,0.4166666666666667,0.016666666666666666,0.06666666666666667,0.011779637964100875,0.008872608872608873,0.00773809523809524,0.005584320016867127,0.006284269436873732,0.008333333333333333,0.005032051282051281
2021-06-27,54,0.2,0.1,0.05,0.23333333333333334,0.4166666666666667,0.016666666666666666,0.06666666666666667,0.01118439986886278,0.008872608872608873,0.00773809523809524,0.005584320016867127,0.006284269436873732,0.008333333333333333,0.005032051282051281
2021-06-28,106,0.21666666666666667,0.1,0.05,0.23333333333333334,0.4166666666666667,0.016666666666666666,0.06666666666666667,0.011779637964100875,0.008872608872608873,0.00773809523809524,0.005584320016867127,0.006284269436873732,0.008333333333333333,0.005032051282051281
2021-06-29,89,0.2,0.1,0.05,0.25,0.4166666666666667,0.016666666666666666,0.06666666666666667,0.010589161773624685,0.008872608872608873,0.00773809523809524,0.006179558112105222,0.006284269436873732,0.008333333333333333,0.005032051282051281
2021-06-30,111,0.2,0.08333333333333333,0.05,0.23333333333333334,0.43333333333333335,0.016666666666666666,0.06666666666666667,0.010589161773624685,0.008608058608058607,0.00773809523809524,0.0059150078475549575,0.007474745627349923,0.008333333333333333,0.005032051282051281
2021-07-01,84,0.21666666666666667,0.08333333333333333,0.05,0.23333333333333334,0.43333333333333335,0.016666666666666666,0.06666666666666667,0.011630828440291351,0.008608058608058607,0.00773809523809524,0.0059150078475549575,0.007474745627349923,0.008333333333333333,0.005032051282051281
2021-07-02,91,0.21666666666666667,0.08333333333333333,0.05,0.26666666666666666,0.43333333333333335,0.016666666666666666,0.06666666666666667,0.011630828440291351,0.008608058608058607,0.00773809523809524,0.007998341180888291,0.007474745627349923,0.008333333333333333,0.005032051282051281
2021-07-03,73,0.2,0.08333333333333333,0.05,0.26666666666666666,0.43333333333333335,0.016666666666666666,0.06666666666666667,0.010906190759131932,0.008608058608058607,0.00773809523809524,0.007998341180888291,0.007474745627349923,0.008333333333333333,0.005032051282051281
2021-07-04,133,0.18333333333333332,0.08333333333333333,0.05,0.25,0.43333333333333335,0.016666666666666666,0.06666666666666667,0.010148615001556175,0.008608058608058607,0.00773809523809524,0.0077205634031105135,0.007474745627349923,0.008333333333333333,0.005032051282051281
2021-07-05,113,0.2,0.03333333333333333,0.05,0.18333333333333332,0.2,0.016666666666666666,0.05,0.010873252682715596,0.004761904761904761,0.007829670329670331,0.006462701767890388,0.005445760120103546,0.008333333333333333,0.003990384615384614
2021-07-06,129,0.2,0.03333333333333333,0.05,0.16666666666666666,0.2,0.016666666666666666,0.03333333333333333,0.010873252682715596,0.004761904761904761,0.007829670329670331,0.006193884563589313,0.005445760120103546,0.008333333333333333,0.0023237179487179474
2021-07-07,96,0.2,0.03333333333333333,0.05,0.16666666666666666,0.16666666666666666,0.016666666666666666,0.03333333333333333,0.010873252682715596,0.004761904761904761,0.007829670329670331,0.006193884563589313,0.00440409345343688,0.008333333333333333,0.0023237179487179474
2021-07-08,105,0.21666666666666667,0.0,0.05,0.16666666666666666,0.13333333333333333,0.016666666666666666,0.016666666666666666,0.01156769712716004,0.0,0.007829670329670331,0.006193884563589313,0.0033624267867702127,0.008333333333333333,0.0012820512820512807
