hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
of,3,0,0,0,0,3,0,0
organisieren,3,0,0,2,0,1,0,0
erfolgen,3,1,0,1,0,0,1,0
bedrohen,3,2,1,0,0,0,0,0
verwaltung,3,1,0,1,0,1,0,0
klima,3,0,1,1,0,1,0,0
austritt,3,1,2,0,0,0,0,0
regeln,3,2,0,0,0,1,0,0
einreise,3,0,3,0,0,0,0,0
region,3,1,2,0,0,0,0,0
tragen,3,0,2,1,0,0,0,0
wedding,3,3,0,0,0,0,0,0
einig,3,1,0,1,0,0,1,0
nur,3,0,3,0,0,0,0,0
beispiel,3,2,0,0,0,1,0,0
beitrag,3,0,0,1,0,1,1,0
uhr,3,1,0,2,0,0,0,0
warum,3,0,1,2,0,0,0,0
tier,3,2,0,1,0,0,0,0
partei,3,0,2,1,0,0,0,0
thread,3,0,0,3,0,0,0,0
teilung,3,0,0,3,0,0,0,0
hier,3,1,0,2,0,0,0,0
rassismus,3,1,1,1,0,0,0,0
bezahlen,3,0,2,1,0,0,0,0
autoindustrie,3,0,3,0,0,0,0,0
ribeiro,3,0,0,2,1,0,0,0
nutzen,3,0,2,0,0,1,0,0
einfach,3,1,1,0,0,1,0,0
noch,3,1,1,1,0,0,0,0
besuchen,3,1,0,0,0,1,1,0
klimaschutz,3,0,0,2,1,0,0,0
wert,3,0,2,0,0,1,0,0
abgeben,3,0,3,0,0,0,0,0
geben,3,0,1,1,1,0,0,0
gewinnen,3,1,0,1,0,0,1,0
schuldenunion,3,0,3,0,0,0,0,0
seite,3,1,1,1,0,0,0,0
projekt,3,0,2,0,0,1,0,0
morgen,3,1,0,2,0,0,0,0
dennoch,3,0,1,0,0,2,0,0
fühlen,3,0,2,1,0,0,0,0
global,3,1,0,1,0,0,1,0
schreiben,3,1,0,1,1,0,0,0
aktuelle,3,1,1,1,0,0,0,0
schnelltests,3,0,0,3,0,0,0,0
zum,3,3,0,0,0,0,0,0
junge,3,0,2,1,0,0,0,0
kabul,3,1,2,0,0,0,0,0
schnellen,3,1,0,1,0,1,0,0
politisch,3,1,1,0,0,0,1,0
afghanisch,3,0,2,0,0,1,0,0
brüssel,3,0,2,0,0,1,0,0
freue,3,0,0,3,0,0,0,0
schuman,3,0,0,0,1,0,2,0
mitten,3,0,1,2,0,0,0,0
schwer,3,1,1,1,0,0,0,0
usa,3,1,1,1,0,0,0,0
12,3,1,2,0,0,0,0,0
praktikum,3,0,0,3,0,0,0,0
darum,3,1,1,0,0,0,1,0
15,3,0,2,1,0,0,0,0
de,3,0,0,2,1,0,0,0
it,3,2,0,0,0,1,0,0
menezes,3,0,0,2,1,0,0,0
sehr,3,1,0,2,0,0,0,0
sehen,3,0,1,0,0,2,0,0
gemeinsam,3,0,2,1,0,0,0,0
ja,3,0,2,1,0,0,0,0
2015,3,0,2,0,0,1,0,0
verbinden,3,0,0,0,0,1,2,0
überall,3,0,1,2,0,0,0,0
mitglied,3,0,0,1,0,2,0,0
mehr,3,0,1,1,0,0,1,0
sichern,3,1,0,0,1,0,1,0
da,3,1,0,1,0,1,0,0
öffnen,3,0,1,0,0,0,2,0
grenze,3,0,2,1,0,0,0,0
freuen,3,0,0,0,3,0,0,0
gut,3,0,3,0,0,0,0,0
scheinen,3,0,2,1,0,0,0,0
wort,3,2,0,0,1,0,0,0
arbeiten,3,0,2,0,0,1,0,0
arm,3,2,1,0,0,0,0,0
steuer,3,0,3,0,0,0,0,0
nachricht,3,0,0,3,0,0,0,0
laufen,3,1,1,1,0,0,0,0
guten,3,1,0,2,0,0,0,0
diese,3,0,3,0,0,0,0,0
woche,3,0,1,2,0,0,0,0
handeln,3,0,0,0,2,1,0,0
verletzen,3,2,0,0,0,1,0,0
haben,3,0,3,0,0,0,0,0
insta,3,0,0,3,0,0,0,0
