hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
fahren,165,29,21,38,20,29,28
bekämpfung,165,32,29,33,4,25,42
infektion,165,9,21,21,7,97,10
sozial,165,8,25,73,8,22,29
debatte,164,18,29,32,8,26,51
verhindern,162,11,14,21,15,74,27
2021,162,25,23,36,21,15,42
jugendliche,162,18,46,9,9,43,37
beispiel,162,28,26,24,9,27,48
querdenker,162,13,24,25,35,44,21
nur,161,20,16,40,12,40,33
homeoffice,160,14,69,34,3,28,12
erreichen,160,25,28,19,2,57,29
wirken,157,19,8,20,5,86,19
bevölkerung,157,14,18,44,15,41,25
hart,156,22,16,23,9,64,22
kampf,156,29,16,26,5,37,43
luftfilter,155,5,47,36,0,7,60
hilfe,155,35,26,39,7,24,24
entscheidung,155,27,20,21,15,27,45
hören,154,17,29,43,16,20,29
20,154,19,10,33,10,56,26
europa,154,47,22,10,8,46,21
vertrauen,152,35,23,18,6,24,46
lässt,152,19,21,39,11,33,29
vorschlag,151,14,30,29,1,24,53
herbst,150,32,24,11,3,57,23
fällen,149,8,7,35,10,77,12
nachricht,148,35,21,13,3,48,28
frau,148,8,28,32,23,43,14
neu,147,24,17,30,12,32,32
perspektive,146,16,22,8,4,22,74
milliarde,146,14,9,71,12,24,16
usa,146,14,20,39,5,29,39
grundrechte,145,4,4,16,48,7,66
30,145,26,31,35,8,26,19
zum,145,23,28,26,9,22,37
dringen,145,15,41,25,5,25,34
geld,144,5,16,43,10,38,32
lang,143,12,26,25,12,37,31
digital,143,31,20,15,4,28,45
klar,141,24,24,12,12,31,38
grund,140,15,23,35,12,23,32
demokratie,140,11,21,29,19,16,44
lösung,140,17,11,23,6,40,43
impfschutz,139,115,3,4,0,15,2
man,139,13,15,33,19,24,35
versagen,139,9,4,41,35,11,39
entscheiden,139,27,18,21,12,29,32
unterstützen,139,33,24,36,4,27,15
sterben,139,5,5,31,17,73,8
patent,138,0,6,122,0,5,5
gesundheit,138,23,22,52,3,20,18
fall,137,15,16,21,10,54,21
weil,137,6,12,20,4,70,25
kosten,137,8,13,44,12,36,24
leute,136,9,18,58,9,26,16
wissen,136,10,16,26,9,33,42
verantwortung,135,22,17,21,13,23,39
eltern,135,9,12,17,4,61,32
gerade,135,23,27,27,2,37,19
dass,135,18,27,33,4,23,30
auf,134,19,25,30,12,28,20
fehlen,133,7,22,17,8,37,42
sorgen,132,19,22,39,5,16,31
lockerungen,132,15,15,19,8,48,27
bildung,132,11,42,18,3,17,41
laschet,131,6,40,34,12,29,10
csu,131,2,37,40,9,20,23
lernen,131,15,31,22,3,28,32
zahl,131,28,14,22,16,25,26
datum,131,7,11,16,2,70,25
sommer,131,33,19,25,11,19,24
arm,131,3,13,56,6,52,1
leisten,130,29,19,25,5,33,19
völlig,130,10,18,24,23,19,36
stimmen,130,8,9,35,14,29,35
sagen,130,12,18,37,20,17,26
arbeiten,130,21,20,24,8,40,17
meine,130,16,9,35,21,25,24
impfdosen,129,37,15,22,0,25,30
öffnung,129,17,17,14,0,36,45
verlieren,129,11,9,17,16,44,32
parlament,129,8,13,21,3,10,74
maßnahmen,129,15,13,13,44,5,39
antrag,129,19,25,50,5,4,26
antwort,128,17,20,23,14,18,36
gesellschaft,128,15,15,29,11,25,33
dose,127,45,13,17,5,19,28
app,127,10,10,50,11,28,18
erwarten,127,17,14,17,11,41,27
kita,126,14,32,33,2,28,17
während,126,6,15,50,11,22,22
damit,126,32,12,29,6,36,11
erklären,125,13,15,16,14,34,33
the,125,31,8,26,3,33,24
weltweit,124,11,16,61,0,28,8
dann,124,16,7,19,6,37,39
stufenplan,124,2,30,3,1,2,86
entwicklung,123,15,23,33,9,26,17
daher,123,8,5,10,1,81,18
regel,123,19,27,18,5,28,26
kanzlerin,123,12,19,19,21,7,45
welt,122,17,12,32,7,32,22
regeln,121,9,12,25,10,26,39
teilen,120,12,10,25,17,20,36
situation,120,20,29,23,4,21,23
massiv,120,11,25,22,7,34,21
vor,119,19,17,40,6,15,22
verstehen,119,15,15,20,4,39,26
zielen,119,18,17,16,8,32,28
kritik,119,11,11,23,14,14,46
fragen,119,17,11,30,14,17,30
fehler,118,11,25,10,6,34,32
öffentlich,118,4,18,50,11,14,21
infektionsschutzgesetz,118,17,12,23,16,11,39
söder,118,4,31,13,26,16,28
sogar,118,12,6,16,14,43,27
moderna,117,26,5,16,2,59,9
abstehen,117,13,24,26,8,32,14
impfpflicht,117,5,3,12,56,16,25
tun,116,9,25,33,4,16,29
nein,116,10,15,22,21,18,30
retten,116,17,12,33,12,26,16
15,116,19,12,15,13,29,28
herr,115,9,10,26,27,19,24
gespräch,115,40,8,22,11,25,9
ffp2,115,14,13,26,7,20,35
groß,115,26,22,23,8,13,23
chance,115,27,31,9,0,11,37
produktion,114,12,18,48,0,23,13
politisch,114,11,15,18,17,32,21
gute,114,23,13,15,6,34,23
schulen,114,15,18,21,2,34,24
alt,114,17,12,22,10,37,16
impfzentrum,113,30,24,11,3,24,21
groko,113,1,17,31,9,2,53
ander,113,15,8,23,9,30,28
ja,113,13,15,29,14,12,30
wirksam,112,8,38,17,6,23,20
alle,112,15,19,24,9,29,16
union,112,8,24,40,7,16,17
denn,112,12,27,19,1,15,38
schüler,111,11,19,11,15,30,25
einschränkung,111,8,19,10,16,28,30
80,111,20,5,10,5,61,10
weiterhin,111,13,18,15,12,28,25
leiden,111,3,22,27,13,22,24
idee,111,8,19,23,5,16,40
termin,110,24,31,25,2,6,22
über,110,25,12,15,13,17,28
nrw,110,11,25,11,9,33,21
deutsch,110,9,10,29,23,9,30
pro,110,10,11,24,2,32,31
sinnvoll,109,12,5,30,7,29,26
zukunft,109,29,15,12,8,26,19
wahrscheinlich,109,3,3,9,3,84,7
ergebnis,109,7,12,18,10,38,24
spät,108,3,24,8,4,35,34
wirkung,108,7,3,6,11,80,1
erhöhen,108,14,11,26,3,39,15
führen,108,13,11,25,13,29,17
gruppe,107,15,16,9,2,29,36
spielen,107,15,8,18,10,38,18
to,107,21,16,15,1,34,20
denken,107,17,14,28,11,19,18
us,106,13,2,31,4,53,3
digitalisierung,105,15,26,14,1,11,38
gefährlich,105,9,14,9,8,47,18
notbremse,105,8,21,13,4,35,24
laut,105,13,8,30,14,10,30
