hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
kämpfen,8,1,0,3,2,2,0
geben,8,0,0,3,2,2,1
voll,8,3,3,1,0,1,0
uhr,8,0,1,3,1,2,1
gemeinsam,8,2,1,4,0,1,0
sicherheit,8,3,1,0,1,2,1
judenhass,8,2,0,0,2,2,2
immer,8,2,1,1,3,1,0
woelki,8,0,2,1,5,0,0
schweigen,8,0,2,2,1,3,0
deutsche,8,2,0,1,2,3,0
eine,8,0,1,3,3,1,0
zum,8,1,4,1,0,2,0
rollen,8,4,1,0,0,1,2
straftat,8,0,1,4,3,0,0
unerträglich,8,0,4,1,0,1,2
jed,8,1,2,2,1,1,1
eidmubarak,8,1,3,1,0,2,1
einrichtung,8,0,3,1,0,3,1
osterfest,8,6,1,1,0,0,0
unterstützung,8,3,1,0,1,2,1
weg,8,1,1,0,2,2,2
schustern,8,1,0,0,0,2,5
christin,7,3,1,1,0,1,1
fahren,7,0,2,2,1,1,1
engagieren,7,2,0,1,1,2,1
vergleichen,7,2,0,1,3,0,1
entscheiden,7,0,1,4,1,1,0
josef,7,0,0,0,0,2,5
leiden,7,2,0,1,0,3,1
csu,7,0,3,0,1,0,3
aufgabe,7,1,1,1,1,1,2
thema,7,1,1,2,2,1,0
corona,7,0,1,2,1,1,2
frage,7,1,1,3,0,0,2
verbrennen,7,2,3,1,0,0,1
antimuslimischem,7,0,1,6,0,0,0
nicht,7,1,1,2,2,1,0
kein,7,1,0,2,1,2,1
auschwitz,7,1,0,2,0,3,1
marx,7,2,0,0,3,2,0
verteidigen,7,1,1,3,1,0,1
kloster,7,3,1,0,1,2,0
hoffen,7,3,2,0,0,1,1
zukunft,7,0,0,3,1,3,0
morgen,7,0,1,3,0,2,1
osten,7,2,1,3,0,1,0
deutlich,7,1,3,0,1,2,0
gesetz,7,2,0,3,1,1,0
deshalb,7,3,1,0,1,2,0
glaube,7,3,1,1,1,0,1
eigentlich,7,3,0,0,2,1,1
zerstören,7,1,3,2,0,1,0
laschet,7,1,5,0,1,0,0
treffen,7,3,1,0,0,3,0
platzen,7,1,0,2,0,2,2
jünger,7,0,0,6,0,1,0
lieben,7,2,4,0,0,0,1
alt,7,1,1,2,0,3,0
debatte,7,0,1,3,0,1,2
ulm,7,3,3,0,0,1,0
straße,6,1,0,1,0,4,0
herkunft,6,1,1,2,0,2,0
offenbaren,6,1,0,2,3,0,0
vollkommen,6,0,0,1,0,5,0
mehr,6,1,0,2,0,2,1
offen,6,2,1,0,1,1,1
herr,6,0,0,3,2,1,0
papstfranziskus,6,6,0,0,0,0,0
medium,6,1,0,1,4,0,0
hinnehmen,6,1,3,0,0,2,0
pandemie,6,3,2,1,0,0,0
via,6,0,2,0,4,0,0
weihnachten,6,1,0,0,2,3,0
bekenntnis,6,2,0,3,0,1,0
begehen,6,4,0,0,0,1,1
chatima,6,1,2,1,0,2,0
hier,6,1,2,1,0,1,1
bundesregierung,6,1,1,0,3,0,1
fürsieda,6,6,0,0,0,0,0
befreien,6,1,0,3,0,1,1
ort,6,3,2,0,1,0,0
geburtstag,6,4,0,0,0,2,0
fühlen,6,1,0,2,0,2,1
friede,6,0,1,3,1,1,0
bürgern,6,2,0,0,2,1,1
jesu,6,6,0,0,0,0,0
kind,6,2,1,2,1,0,0
cdurausausderregierung,6,0,0,6,0,0,0
linke,6,0,0,4,2,0,0
bonn,6,0,3,1,0,1,1
wort,6,0,3,0,1,0,2
frei,6,0,2,3,0,0,1
klimaschutz,6,0,3,3,0,0,0
antifa,6,1,0,0,4,0,1
tragen,6,3,0,0,1,2,0
antisemitische,6,1,2,2,0,1,0
demokrat,6,1,2,0,0,0,3
nächst,6,1,1,1,1,1,1
antimuslimischen,6,0,0,5,0,1,0
roshhashanah,6,1,1,1,0,2,1
projekt,6,0,1,0,1,2,2
übernehmen,6,0,2,1,0,3,0
gespräch,6,3,1,0,0,2,0
übergriff,6,0,2,1,0,3,0
muslime,6,0,0,1,1,3,1
kultur,6,2,3,0,0,1,0
überall,6,0,2,2,0,2,0
musliminnen,6,2,0,1,0,3,0
notwendig,6,2,1,2,0,1,0
abendmahl,6,5,0,1,0,0,0
handeln,6,1,0,4,0,0,1
dieser,6,2,1,1,1,1,0
damit,6,4,0,0,0,2,0
trotzen,6,1,3,1,1,0,0
schutz,6,1,3,0,0,1,1
alltag,6,0,1,3,0,1,1
gute,6,4,0,0,0,2,0
mio,6,3,0,1,1,1,0
sichtbar,6,0,2,1,0,3,0
gerne,6,2,1,2,0,1,0
12,6,1,0,5,0,0,0
mitte,6,1,0,0,1,3,1
gott,6,1,0,2,1,2,0
diese,6,0,3,0,2,0,1
direkt,5,1,0,1,2,0,1
flagge,5,2,1,0,1,0,1
ändern,5,1,0,4,0,0,0
erinnerung,5,0,0,3,0,1,1
führen,5,1,1,1,1,0,1
versuchen,5,0,3,1,0,0,1
muslimisch,5,1,0,0,0,1,3
köln,5,0,2,1,2,0,0
mindestens,5,2,0,1,0,2,0
respekt,5,1,3,0,0,1,0
rechtsextremismus,5,0,0,1,1,2,1
dringen,5,2,0,2,0,1,0
im,5,1,1,0,0,3,0
lang,5,1,1,0,3,0,0
gerechtigkeit,5,1,1,1,0,2,0
gmar,5,1,1,1,0,2,0
vertreiben,5,0,3,0,2,0,0
mord,5,0,1,3,0,1,0
gegen,5,0,0,4,0,0,1
tova,5,1,2,0,0,2,0
realität,5,0,2,1,1,0,1
jung,5,1,0,0,2,1,1
enteignen,5,0,3,2,0,0,0
inakzeptabel,5,0,4,0,0,0,1
jesus,5,2,1,1,0,1,0
entgegentreten,5,1,0,4,0,0,0
malen,5,1,2,2,0,0,0
sameach,5,2,1,1,0,1,0
18,5,0,1,2,1,0,1
täter,5,1,1,0,2,1,0
signal,5,2,1,0,0,1,1
maria,5,0,1,1,2,1,0
entscheidung,5,0,0,2,0,3,0
initiative,5,0,2,1,0,2,0
2020,5,0,1,2,1,1,0
nach,5,3,0,2,0,0,0
kennen,5,1,1,1,1,1,0
traurig,5,1,1,0,0,2,1
neu,5,1,1,2,0,0,1
kritik,5,1,0,0,3,0,1
lässt,5,1,1,1,1,1,0
hetze,5,2,2,0,0,0,1
halten,5,0,2,2,0,1,0
vor,5,1,0,3,0,0,1
reisen,5,5,0,0,0,0,0
unfassbar,5,0,1,0,3,1,0
stärken,5,2,2,0,0,1,0
80,5,0,1,2,1,0,1
jüdisches,5,2,1,1,0,1,0
bevölkerung,5,2,0,3,0,0,0
mut,5,2,0,0,1,2,0
schreiten,5,1,1,1,1,1,0
tun,5,0,0,0,2,3,0
regel,5,0,0,3,1,1,0
zielen,5,1,3,1,0,0,0
verbrechen,5,0,0,1,2,1,1
steineke,5,5,0,0,0,0,0
kardinal,5,1,0,0,2,2,0
bekommen,5,3,0,1,0,1,0
merkel,5,0,0,0,3,0,2
heimat,5,1,1,1,1,0,1
chag,5,2,1,1,0,1,0
mitten,5,1,2,2,0,0,0
terror,5,1,2,1,0,1,0
etc,5,0,3,0,1,1,0
bund,5,4,0,0,0,1,0
laufen,5,1,2,1,1,0,0
woche,5,0,0,2,1,1,1
wählen,5,0,0,2,3,0,0
ohne,5,1,0,3,0,0,1
antisemit,5,0,2,2,0,0,1
zentralrats,5,0,3,1,0,0,1
zentralrat,5,1,2,1,1,0,0
verhindern,5,1,0,1,1,1,1
holocaustgedenktag,5,0,1,1,1,1,1
katholik,5,3,1,0,0,0,1
kommen,5,1,1,1,0,2,0
sanierung,5,4,0,0,0,0,1
arbeit,5,1,1,2,0,1,0
verstehen,5,1,1,1,1,0,1
veranstaltung,5,0,1,2,1,1,0
auftrag,5,1,2,0,0,2,0
verantwortlich,5,2,2,0,0,1,0
auferstehung,5,5,0,0,0,0,0
lasst,5,1,1,2,0,1,0
polizei,5,0,0,0,3,1,1
homosexuelle,5,1,0,1,1,2,0
dankbar,5,1,0,0,1,2,1
gottesdienste,5,0,0,0,5,0,0
evangelische,5,0,1,1,1,1,1
christenverfolgung,5,0,0,0,5,0,0
haben,4,3,0,1,0,0,0
fastenmonats,4,0,2,1,0,1,0
besinnlich,4,1,0,1,0,2,0
fastenmonat,4,2,0,1,0,1,0
bätzing,4,1,0,0,1,2,0
verhältnis,4,1,1,0,2,0,0
europa,4,1,0,2,0,0,1
er,4,1,1,0,2,0,0
breg,4,0,1,0,2,0,1
pessachfest,4,0,1,2,0,1,0
evangelisch,4,0,0,0,2,0,2
pfarrer,4,1,1,0,1,0,1
fahnen,4,0,3,1,0,0,0
christlich,4,0,0,0,2,2,0
man,4,0,1,2,1,0,0
vergessen,4,0,0,1,0,1,2
co,4,0,1,0,3,0,0
professor,4,1,0,2,0,1,0
en,4,1,0,0,2,0,1
jahrhundert,4,0,0,4,0,0,0
senden,4,1,0,0,0,3,0
raum,4,0,1,1,0,2,0
chance,4,1,0,0,1,2,0
familie,4,1,0,0,2,1,0
ekd,4,0,0,1,2,0,1
türkisch,4,0,2,0,0,1,1
entschließen,4,0,1,3,0,0,0
einzig,4,0,0,0,3,1,0
euro,4,4,0,0,0,0,0
einsetzen,4,1,1,0,1,1,0
beschämend,4,1,1,0,0,2,0
lebendig,4,1,0,0,0,3,0
betroffene,4,0,2,0,1,1,0
klar,4,0,1,1,0,1,1
doch,4,0,2,1,1,0,0
bleibt,4,2,1,0,0,1,0
diskriminieren,4,2,0,0,2,0,0
shanatova,4,1,0,0,0,2,1
helfen,4,0,0,0,0,3,1
ernsthaft,4,1,1,0,0,0,2
seit,4,0,1,0,2,1,0
samstag,4,1,1,0,1,0,1
feiertage,4,3,0,0,0,1,0
erst,4,1,0,1,0,0,2
bringen,4,1,0,1,0,0,2
bpt21,4,0,0,0,0,0,4
brennen,4,0,0,0,1,0,3
deutschen,4,0,0,0,2,1,1
setzen,4,1,1,2,0,0,0
versöhnung,4,4,0,0,0,0,0
tod,4,2,1,0,0,1,0
gutachten,4,0,1,1,2,0,0
denkmalschutz,4,2,0,0,0,1,1
vatikan,4,1,0,0,0,2,1
protestant,4,1,1,0,0,0,2
denken,4,0,0,2,0,1,1
diskutieren,4,1,0,2,0,0,1
eskalation,4,0,0,2,0,1,1
herzlich,4,1,0,1,0,2,0
tap,4,0,0,0,0,4,0
ereignis,4,2,0,0,1,1,0
volle,4,3,1,0,0,0,0
konzentrationslager,4,0,0,1,0,2,1
segen,4,3,0,0,0,1,0
tief,4,1,1,1,1,0,0
fastenzeit,4,2,1,0,0,1,0
ebene,4,2,0,1,0,0,1
islamistischen,4,1,0,1,2,0,0
verbot,4,0,0,3,1,0,0
planen,4,0,1,1,0,2,0
laut,4,0,0,1,0,2,1
positiv,4,1,1,0,2,0,0
rechtfertigung,4,0,0,2,0,2,0
bild,4,1,2,0,1,0,0
konflikt,4,0,2,2,0,0,0
lieb,4,1,1,0,0,2,0
verbieten,4,1,0,0,2,1,0
erklären,4,0,0,1,0,1,2
erleben,4,0,0,2,0,2,0
punkt,4,0,1,2,0,1,0
bitter,4,0,1,1,0,1,1
toleranz,4,1,2,0,0,1,0
franziskus,4,2,0,0,1,1,0
wohnen,4,1,1,1,0,1,0
bauen,4,0,0,1,0,1,2
altenpflege,4,0,0,1,0,3,0
alternativ,4,0,0,1,3,0,0
staatsleistungen,4,0,0,3,0,0,1
öffentlich,4,0,1,0,3,0,0
schärfste,4,1,2,0,0,0,1
nrw,4,0,3,0,1,0,0
ns,4,2,0,2,0,0,0
retten,4,1,1,2,0,0,0
groß,4,0,0,0,0,2,2
massiv,4,0,2,0,0,0,2
nur,4,0,0,0,2,2,0
opfer,4,0,0,1,1,2,0
gemeinschaft,4,1,1,0,0,2,0
schöne,4,1,0,0,1,2,0
überfallen,4,0,1,2,1,0,0
nächstenliebe,4,1,0,1,0,2,0
aufgrund,4,1,0,2,0,1,0
5782,4,1,2,0,0,0,1
mitglied,4,0,1,1,2,0,0
zahlreich,4,1,0,0,2,1,0
jüd,4,0,1,1,0,2,0
bedeuten,4,1,0,2,0,1,0
widerstand,4,2,1,1,0,0,0
holocaust,4,3,0,1,0,0,0
spielen,4,1,0,1,0,1,1
