,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-05-25,0.7833333333333333,3.7,2.816666666666667,2.6666666666666665,5.15,2.8666666666666667,0.012160244902099172,0.040293685573632554,0.02424830707132623,0.023518743168140167,0.03794844616912612,0.02283272582674942
2021-05-26,0.7833333333333333,3.7,2.8,2.6666666666666665,5.266666666666667,3.0,0.012160244902099172,0.040589981869928855,0.02412917054442271,0.023487005021647918,0.03890732630910863,0.023816305054889787
2021-05-27,0.85,3.7,2.85,2.6666666666666665,5.233333333333333,3.033333333333333,0.012807494093037684,0.04065417306092234,0.024587886140752985,0.023460994617486252,0.03847447392287111,0.02410990262603715
2021-05-28,0.85,3.75,2.8666666666666667,2.6666666666666665,5.266666666666667,3.0166666666666666,0.012807494093037684,0.0411910544801567,0.0250320189130765,0.023478194479887353,0.038853127859693366,0.023834632156797028
2021-05-29,0.8666666666666667,3.7,2.8333333333333335,2.6666666666666665,5.233333333333333,2.95,0.013140827426371017,0.04072563251545902,0.024758794869360654,0.023441628734677467,0.03850948524800952,0.023040981363146234
2021-05-30,0.8666666666666667,3.716666666666667,2.816666666666667,2.65,5.2,2.95,0.013140827426371017,0.04091289843306201,0.024530484367077547,0.023320014583212572,0.038393223621846904,0.023167876092669248
2021-05-31,0.8666666666666667,3.7,2.816666666666667,2.683333333333333,5.316666666666666,2.966666666666667,0.013140827426371017,0.0407392873219509,0.024567245694161455,0.023810210661643943,0.039291774346484586,0.023312803628901133
2021-06-01,0.9833333333333333,3.6666666666666665,2.8,2.683333333333333,5.316666666666666,3.033333333333333,0.014882120958709326,0.04038467739287289,0.02430682902749479,0.023810210661643943,0.03900242249463273,0.023788994105091606
2021-06-02,0.9833333333333333,3.7,2.816666666666667,2.7,5.283333333333333,3.1166666666666667,0.014653899779783921,0.040683288503984,0.02430682902749479,0.023901119752553032,0.03862854028680048,0.024513631786251027
2021-06-03,0.9833333333333333,3.7333333333333334,2.8333333333333335,2.7333333333333334,5.316666666666666,3.1333333333333333,0.014653899779783921,0.04100687006426769,0.024322493187895793,0.024237820089253365,0.03870749521071664,0.024695818021068842
2021-06-04,0.9833333333333333,3.783333333333333,2.9166666666666665,2.7333333333333334,5.4,3.15,0.014653899779783921,0.04175242080981843,0.025430762582610195,0.02379442386283827,0.039372519841258516,0.02486416818941901
2021-06-05,1.0166666666666666,3.716666666666667,2.716666666666667,2.7,5.3,3.316666666666667,0.015116862742746883,0.040701260909238486,0.02349494116649579,0.023378623447037856,0.038528066129832325,0.025925628200154385
2021-06-06,1.0166666666666666,3.6666666666666665,2.7,2.7,5.333333333333333,3.4,0.015116862742746883,0.03979217000014757,0.023345542236609056,0.023441590782732464,0.03841444821066336,0.026547518747418068
2021-06-07,1.0,3.6333333333333333,2.716666666666667,2.7333333333333334,5.2,3.3333333333333335,0.014790065357125967,0.03937568926238169,0.02352670165689891,0.02407884568469325,0.037504386050601204,0.025621143342887325
2021-06-08,1.0166666666666666,3.6166666666666667,2.716666666666667,2.75,5.333333333333333,3.5166666666666666,0.01504259060965122,0.0391171761584416,0.02355002617874621,0.0243128250805375,0.03820778892791712,0.026879845654221215
2021-06-09,1.0333333333333334,3.6333333333333333,2.716666666666667,2.7666666666666666,5.416666666666667,3.55,0.015340209657270268,0.039109678782523166,0.02357301468449334,0.02445527522298764,0.038760865707987764,0.02710973071169248
2021-06-10,1.0166666666666666,3.7,2.716666666666667,2.8,5.416666666666667,3.55,0.014765497013592109,0.039889086317754695,0.023480821844054412,0.024686756704469123,0.03863246303721221,0.027224016425978197
2021-06-11,1.0166666666666666,3.65,2.716666666666667,2.85,5.45,3.683333333333333,0.014765497013592109,0.03935171455419827,0.02346736361838688,0.02489286357469813,0.03859584956776292,0.027711484243636838
2021-06-12,1.0166666666666666,3.683333333333333,2.5833333333333335,2.816666666666667,5.483333333333333,3.566666666666667,0.014765497013592109,0.039952057607371506,0.022954543105566372,0.024329011558965587,0.038867804805208954,0.02705586294186169
2021-06-13,1.0333333333333334,3.5166666666666666,2.566666666666667,2.8,5.466666666666667,3.65,0.01517200107863276,0.03879375644907034,0.02297596211493719,0.02402603000598403,0.0395365172460733,0.02779991056090931
2021-06-14,0.9833333333333333,3.6,2.65,2.75,5.433333333333334,3.6,0.014597288434954598,0.04045168185699575,0.023956354271799936,0.023631263796855585,0.03979071746125674,0.027725764848465725
2021-06-15,1.0,3.566666666666667,2.6666666666666665,2.7666666666666666,5.466666666666667,3.55,0.014894907482573648,0.040153409276114466,0.024109259470576693,0.02376346897929874,0.040396564016353456,0.027454025718030944
2021-06-16,1.0333333333333334,3.6166666666666667,2.6666666666666665,2.8,5.516666666666667,3.533333333333333,0.015399957987624151,0.04088506546060084,0.024109259470576693,0.024083981799811558,0.040989591060993404,0.027260381229451004
2021-06-17,1.0166666666666666,3.6166666666666667,2.6166666666666667,2.816666666666667,5.616666666666666,3.566666666666667,0.014784573372239537,0.04091914088086435,0.023340028701345925,0.024293497133367384,0.04174147076024152,0.027755194798276348
2021-06-18,1.0166666666666666,3.6166666666666667,2.6166666666666667,2.816666666666667,5.616666666666666,3.6,0.014784573372239537,0.04111266490616408,0.023593628529413834,0.02457486092019294,0.04188524807793188,0.028266383069881284
2021-06-19,1.0166666666666666,3.6333333333333333,2.6333333333333333,2.8,5.483333333333333,3.55,0.014784573372239537,0.0413348871283863,0.02379443174226524,0.024437119873360984,0.041225138207295696,0.027953883069881284
