,author_id,count,sum,prop,person__id,screen_name,party,person__surname,person__first_name,person__in_parlperiod,parltype,region,Name
75,944181149424898048,955,2,0.0020942408376963353,80771,Jacobi_AfD,afd,Jacobi,Fabian,[19],Bund,North Rhine-Westphalia,Fabian Jacobi
76,828943222432997376,966,2,0.002070393374741201,80866,WSchinnenburg,fdp,Schinnenburg,Wieland,[19],Bund,Hamburg,Wieland Schinnenburg
77,17752770,3912,8,0.002044989775051125,80332,KonstantinNotz,gruene,Notz,Konstantin,"[17, 18, 19]",Bund,Schleswig-Holstein,Konstantin Notz
78,19177808,491,1,0.002036659877800407,80879,Uwe_Schulz_AfD,afd,Schulz,Uwe,[19],Bund,Hesse,Uwe Schulz
79,800457587510476800,2012,4,0.0019880715705765406,80665,AkbulutGokay,linke,Akbulut,Gökay,[19],Bund,Baden-Württemberg,Gökay Akbulut
80,149299258,3532,7,0.0019818799546998866,80800,Lambsdorff,fdp,Lambsdorff,Alexander,[19],Bund,North Rhine-Westphalia,Alexander Lambsdorff
81,569166756,3039,6,0.0019743336623889436,80336,lisapaus,gruene,Paus,Lisa,"[17, 18, 19]",Bund,Berlin,Lisa Paus
82,368334555,535,1,0.001869158878504673,80355,PSchnieder,cducsu,Schnieder,Patrick,"[17, 18, 19]",Bund,Rheinland-Pfalz,Patrick Schnieder
83,935456332655874048,1617,3,0.0018552875695732839,80909,G_UllrichFDP,fdp,Ullrich,Gerald,[19],Bund,Thuringia,Gerald Ullrich
84,3930477322,541,1,0.0018484288354898336,80793,KorkmazGT,spd,Korkmaz,Elvan,[19],Bund,North Rhine-Westphalia,Elvan Korkmaz
85,18880634,1654,3,0.0018137847642079807,80899,KatjaSuding,fdp,Suding,Katja,[19],Bund,Hamburg,Katja Suding
86,587862375,3323,6,0.0018055973517905506,80675,LieblingXhain,gruene,Bayram,Canan,[19],Bund,Berlin,Canan Bayram
87,21197524,1136,2,0.0017605633802816902,80411,tobiaslindner,gruene,Lindner,Tobias,"[17, 18, 19]",Bund,Rheinland-Pfalz,Tobias Lindner
88,42401449,2877,5,0.001737921445950643,80054,NielsAnnen,spd,Annen,Niels,"[16, 18, 19]",Bund,Hamburg,Niels Annen
89,739531034761498624,593,1,0.0016863406408094434,80765,Leif_Erik_Holm,afd,Holm,Leif-Erik,[19],Bund,Mecklenburg-Vorpommern,Leif-Erik Holm
90,1617177360,1204,2,0.0016611295681063123,80702,annachristmann,gruene,Christmann,Anna,[19],Bund,Baden-Württemberg,Anna Christmann
91,23925041,615,1,0.0016260162601626016,80220,SteffenBilger,cducsu,Bilger,Steffen,"[17, 18, 19]",Bund,Baden-Württemberg,Steffen Bilger
92,937403112,2480,4,0.0016129032258064516,80828,GruenClaudia,gruene,Müller,Claudia,[19],Bund,Mecklenburg-Vorpommern,Claudia Müller
93,810957560723505152,4347,7,0.001610305958132045,80700,PetrBystronAfD,afd,Bystron,Petr,[19],Bund,Bavaria,Petr Bystron
94,81394072,650,1,0.0015384615384615385,80697,Birke_Bull,linke,Bull-Bischoff,Birke,[19],Bund,Saxony-Anhalt,Birke Bull-Bischoff
95,1286011081,651,1,0.0015360983102918587,80737,KayGottschalk1,afd,Gottschalk,Kay,[19],Bund,North Rhine-Westphalia,Kay Gottschalk
96,21404382,2608,4,0.0015337423312883436,80297,CarenLay,linke,Lay,Caren,"[17, 18, 19]",Bund,Saxony,Caren Lay
97,849012308,2622,4,0.0015255530129672007,80859,b_riexinger,linke,Riexinger,Bernd,[19],Bund,Baden-Württemberg,Bernd Riexinger
98,882929865535705088,660,1,0.0015151515151515152,80438,BrunnerGanzOhr,spd,Brunner,Karl-Heinz,"[18, 19]",Bund,Bavaria,Karl-Heinz Brunner
99,976107205849206784,671,1,0.0014903129657228018,80664,aggelidis_fdp,fdp,Aggelidis,Grigorios,[19],Bund,Lower Saxony,Grigorios Aggelidis
100,841412635270762496,2027,3,0.0014800197335964479,80916,h_weyel,afd,Weyel,Harald,[19],Bund,North Rhine-Westphalia,Harald Weyel
101,172269309,1353,2,0.0014781966001478197,80315,agnieszka_mdb,gruene,Brugger,Agnieszka,"[17, 18, 19]",Bund,Baden-Württemberg,Agnieszka Brugger
102,42698498,2776,4,0.001440922190201729,80277,RKiesewetter,cducsu,Kiesewetter,Roderich,"[17, 18, 19]",Bund,Baden-Württemberg,Roderich Kiesewetter
103,224630872,699,1,0.001430615164520744,80397,Katrin_Werner,linke,Werner,Katrin,"[17, 18, 19]",Bund,Rheinland-Pfalz,Katrin Werner
104,22125770,2104,3,0.0014258555133079848,79702,ekindeligoez,gruene,Deligöz,Ekin,"[14, 15, 16, 17, 18, 19]",Bund,Bavaria,Ekin Deligöz
105,475275997,4933,7,0.0014190147982971822,80798,KonstantinKuhle,fdp,Kuhle,Konstantin,[19],Bund,Lower Saxony,Konstantin Kuhle
106,51752254,2200,3,0.0013636363636363637,80274,StefanKaufmann,cducsu,Kaufmann,Stefan,"[17, 18, 19]",Bund,Baden-Württemberg,Stefan Kaufmann
107,857906951707127808,1561,2,0.0012812299807815502,80686,JBrandenburgFDP,fdp,Brandenburg,Jens,[19],Bund,Baden-Württemberg,Jens Brandenburg
108,4110374301,789,1,0.0012674271229404308,80158,SchickGerhard,gruene,Schick,Gerhard,"[16, 17, 18, 19]",Bund,Baden-Württemberg,Gerhard Schick
109,867351565757239296,792,1,0.0012626262626262627,80464,UliGroetsch,spd,Grötsch,Uli,"[18, 19]",Bund,Bavaria,Uli Grötsch
110,16674128,3232,4,0.0012376237623762376,80194,nouripour,gruene,Nouripour,Omid,"[16, 17, 18, 19]",Bund,Hesse,Omid Nouripour
111,808400627084705792,4065,5,0.0012300123001230013,80674,DerDanyal,gruene,Bayaz,Danyal,[19],Bund,Baden-Württemberg,Danyal Bayaz
112,143882918,2441,3,0.0012290045063498567,80886,HESommer,linke,Sommer,Helin Evrim,[19],Bund,Berlin,Helin Evrim Sommer
113,1065899292,6563,8,0.0012189547463050433,80302,berlinliebich,linke,Liebich,Stefan,"[17, 18, 19]",Bund,Berlin,Stefan Liebich
114,22260144,1655,2,0.0012084592145015106,80383,petertauber,cducsu,Tauber,Peter,"[17, 18, 19]",Bund,Hesse,Peter Tauber
115,2430137675,1672,2,0.0011961722488038277,80622,MdbWendt,cducsu,Wendt,Marian,"[18, 19]",Bund,Saxony,Marian Wendt
116,21287514,3380,4,0.001183431952662722,80390,voglerk,linke,Vogler,Kathrin,"[17, 18, 19]",Bund,North Rhine-Westphalia,Kathrin Vogler
117,17870195,4234,5,0.0011809163911195087,80586,K_SA,gruene,Schulz-Asche,Kordula,"[18, 19]",Bund,Hesse,Kordula Schulz-Asche
118,53426644,878,1,0.0011389521640091116,80326,GrueneBeate,gruene,Müller-Gemmeke,Beate,"[17, 18, 19]",Bund,Baden-Württemberg,Beate Müller-Gemmeke
119,111054843,12332,14,0.0011352578657152124,80323,NiemaMovassat,linke,Movassat,Niema,"[17, 18, 19]",Bund,North Rhine-Westphalia,Niema Movassat
120,39938182,1779,2,0.0011242270938729624,80352,TSchipanski,cducsu,Schipanski,Tankred,"[17, 18, 19]",Bund,Thuringia,Tankred Schipanski
121,28066013,3591,4,0.001113895850737956,80107,katjakipping,linke,Kipping,Katja,"[16, 17, 18, 19]",Bund,Saxony,Katja Kipping
122,22908417,2712,3,0.0011061946902654867,80309,JM_Luczak,cducsu,Luczak,Jan-Marco,"[19, 17, 18]",Bund,Berlin,Jan-Marco Luczak
123,426403057,910,1,0.001098901098901099,80231,ch_buchholz,linke,Buchholz,Christine,"[17, 18, 19]",Bund,Hesse,Christine Buchholz
124,21144568,8275,9,0.0010876132930513595,80311,OlliLuksic,fdp,Luksic,Oliver,"[17, 19]",Bund,Saarland,Oliver Luksic
125,47375691,932,1,0.001072961373390558,80392,SWagenknecht,linke,Wagenknecht,Sahra,"[17, 18, 19]",Bund,North Rhine-Westphalia,Sahra Wagenknecht
126,36327895,1884,2,0.0010615711252653928,80151,SoenkeRix,spd,Rix,Sönke,"[16, 17, 18, 19]",Bund,Schleswig-Holstein,Sönke Rix
127,3236928208,966,1,0.0010351966873706005,80892,AndreasSteier,cducsu,Steier,Andreas,[19],Bund,Rheinland-Pfalz,Andreas Steier
128,30050484,2926,3,0.0010252904989747095,80166,FrankSchwabe,spd,Schwabe,Frank,"[16, 17, 18, 19]",Bund,North Rhine-Westphalia,Frank Schwabe
129,53351462,2936,3,0.0010217983651226157,80347,TabeaRoessner,gruene,Rößner,Tabea,"[17, 18, 19]",Bund,Rheinland-Pfalz,Tabea Rößner
130,828623998921629696,4930,5,0.0010141987829614604,80678,nicolabeerfdp,fdp,Beer,Nicola,[19],Bund,Hesse,Nicola Beer
131,19438957,1986,2,0.0010070493454179255,80215,baerbelbas,spd,Bas,Bärbel,"[17, 18, 19]",Bund,North Rhine-Westphalia,Bärbel Bas
132,4265444913,1031,1,0.0009699321047526673,80641,Norbert_MdB,linke,Müller,Norbert,"[18, 19]",Bund,Brandenburg,Norbert Müller
133,1425265488,13424,13,0.0009684147794994041,79941,RenateKuenast,gruene,Künast,Renate,"[15, 16, 17, 18, 19]",Bund,Berlin,Renate Künast
134,1143130812,1044,1,0.0009578544061302681,80514,ChrisKuehn_mdb,gruene,Kühn,Christian,"[18, 19]",Bund,Baden-Württemberg,Christian Kühn
135,932931561015730176,15706,15,0.0009550490258499936,80820,MieruchMario,afd,Mieruch,Mario,[19],Bund,North Rhine-Westphalia,Mario Mieruch
136,913358838736310272,1064,1,0.0009398496240601503,80882,Th_Seitz_AfD,afd,Seitz,Thomas,[19],Bund,Baden-Württemberg,Thomas Seitz
137,50932086,1083,1,0.0009233610341643582,80167,rischwasu,spd,Schwarzelühr-Sutter,Rita,"[16, 17, 18, 19]",Bund,Baden-Württemberg,Rita Schwarzelühr-Sutter
138,15686106,1131,1,0.0008841732979664014,80763,MatthiasHoehn,linke,Höhn,Matthias,[19],Bund,Saxony-Anhalt,Matthias Höhn
139,17535941,1178,1,0.0008488964346349745,80712,christianduerr,fdp,Dürr,Christian,[19],Bund,Lower Saxony,Christian Dürr
140,940585440746328064,1185,1,0.0008438818565400844,80874,MdB_Schreiber,linke,Schreiber,Eva-Maria,[19],Bund,Bavaria,Eva-Maria Schreiber
141,38228691,2416,2,0.0008278145695364238,80891,starkwatzinger,fdp,Stark-Watzinger,Bettina,[19],Bund,Hesse,Bettina Stark-Watzinger
142,28327765,1216,1,0.0008223684210526315,80788,DanielaKluckert,fdp,Kluckert,Daniela,[19],Bund,Berlin,Daniela Kluckert
143,19738866,2526,2,0.000791765637371338,80239,katjadoerner,gruene,Dörner,Katja,"[17, 18, 19]",Bund,North Rhine-Westphalia,Katja Dörner
144,17462171,1295,1,0.0007722007722007722,80176,florian_toncar,fdp,Toncar,Florian,"[16, 17, 19]",Bund,Baden-Württemberg,Florian Toncar
145,32323724,2723,2,0.0007344840249724568,80437,fbrantner,gruene,Brantner,Franziska,"[18, 19]",Bund,Baden-Württemberg,Franziska Brantner
146,328939758,1375,1,0.0007272727272727272,79764,LangeMdB,spd,Lange,Christian,"[14, 15, 16, 17, 18, 19]",Bund,Baden-Württemberg,Christian Lange
147,1131092102,4178,3,0.0007180469123982767,80085,BriHasselmann,gruene,Haßelmann,Britta,"[16, 17, 18, 19]",Bund,North Rhine-Westphalia,Britta Haßelmann
148,46498076,1399,1,0.0007147962830593281,80893,stonie_kiel,spd,Stein,Mathias,[19],Bund,Schleswig-Holstein,Mathias Stein
149,277006619,8481,6,0.0007074637424831977,80598,SteinekeCDU,cducsu,Steineke,Sebastian,"[18, 19]",Bund,Brandenburg,Sebastian Steineke
150,115614153,1414,1,0.0007072135785007072,79953,HildeMattheis,spd,Mattheis,Hilde,"[15, 16, 17, 18, 19]",Bund,Baden-Württemberg,Hilde Mattheis
151,110385973,1421,1,0.0007037297677691766,80590,TinoSorge,cducsu,Sorge,Tino,"[18, 19]",Bund,Saxony-Anhalt,Tino Sorge
152,282195399,1450,1,0.000689655172413793,80669,badulrichmartha,gruene,Badum,Lisa,[19],Bund,Bavaria,Lisa Badum
153,4164673821,1471,1,0.0006798096532970768,80111,jankortemdb,linke,Korte,Jan,"[16, 17, 18, 19]",Bund,Saxony-Anhalt,Jan Korte
154,15722010,1494,1,0.0006693440428380187,80445,katdro,gruene,Dröge,Katharina,"[18, 19]",Bund,North Rhine-Westphalia,Katharina Dröge
155,49450039,1532,1,0.0006527415143603133,80543,DrAndreasNick,cducsu,Nick,Andreas,"[18, 19]",Bund,Rheinland-Pfalz,Andreas Nick
156,39999872,1578,1,0.0006337135614702154,80180,kaiwegner,cducsu,Wegner,Kai,"[16, 17, 18, 19]",Bund,Berlin,Kai Wegner
157,494809842,3185,2,0.0006279434850863422,80738,Timon_Gremmels,spd,Gremmels,Timon,[19],Bund,Hesse,Timon Gremmels
158,943082490482262016,1648,1,0.0006067961165048543,80898,margit_stumpp,gruene,Stumpp,Margit,[19],Bund,Baden-Württemberg,Margit Stumpp
159,60630139,1695,1,0.0005899705014749262,80044,monikalazar,gruene,Lazar,Monika,"[15, 16, 17, 18, 19]",Bund,Saxony,Monika Lazar
160,626287930,3467,2,0.0005768676088837611,79728,GoeringEckardt,gruene,Göring-Eckardt,Katrin,"[14, 15, 16, 17, 18, 19]",Bund,Thuringia,Katrin Göring-Eckardt
161,2320519958,3534,2,0.0005659309564233164,79682,DietmarBartsch,linke,Bartsch,Dietmar,"[14, 16, 17, 18, 19]",Bund,Mecklenburg-Vorpommern,Dietmar Bartsch
162,1294725486,3741,2,0.0005346164127238706,80173,KirstenTackmann,linke,Tackmann,Kirsten,"[16, 17, 18, 19]",Bund,Brandenburg,Kirsten Tackmann
163,52119203,5713,3,0.0005251181515841065,79877,marcobuelow,spd,Bülow,Marco,"[15, 16, 17, 18, 19]",Bund,North Rhine-Westphalia,Marco Bülow
164,16706236,3844,2,0.0005202913631633715,80803,svenlehmann,gruene,Lehmann,Sven,[19],Bund,North Rhine-Westphalia,Sven Lehmann
165,1543429536,2104,1,0.0004752851711026616,80689,michel_brandt_,linke,Brandt,Michel,[19],Bund,Baden-Württemberg,Michel Brandt
166,801803127762669568,2143,1,0.0004666355576294914,80830,mueller_sepp,cducsu,Müller,Sepp,[19],Bund,Saxony-Anhalt,Sepp Müller
167,122104353,4717,2,0.00042399830400678397,80306,c_lindner,fdp,Lindner,Christian,"[17, 19]",Bund,North Rhine-Westphalia,Christian Lindner
168,14784765,14187,6,0.00042292239374074856,80816,FabioDeMasi,linke,De Masi,Fabio,[19],Bund,Hamburg,Fabio De Masi
169,1423622834,19053,8,0.00041988138350915866,80449,EskenSaskia,spd,Esken,Saskia,"[18, 19]",Bund,Baden-Württemberg,Saskia Esken
170,2805274855,7283,3,0.00041191816559110257,80454,fritzfelgentreu,spd,Felgentreu,Fritz,"[18, 19]",Bund,Berlin,Fritz Felgentreu
171,74837812,2436,1,0.00041050903119868636,80844,LINKEPELLI,linke,Pellmann,Sören,[19],Bund,Saxony,Sören Pellmann
172,18103366,4963,2,0.00040298206729800525,80281,MariaKlSchmeink,gruene,Klein-Schmeink,Maria,"[17, 18, 19]",Bund,North Rhine-Westphalia,Maria Klein-Schmeink
173,194535434,2495,1,0.0004008016032064128,80853,filizgreen,gruene,Polat,Filiz,[19],Bund,Lower Saxony,Filiz Polat
174,422569574,5289,2,0.0003781433163168841,80723,DFoest,fdp,Föst,Daniel,[19],Bund,Bavaria,Daniel Föst
175,83342791,2798,1,0.00035739814152966406,80333,oezoguz,spd,Özoğuz,Aydan,"[17, 18, 19]",Bund,Hamburg,Aydan Özoğuz
176,858362895075340288,5698,2,0.000351000351000351,80913,sandra_weeser,fdp,Weeser,Sandra,[19],Bund,Rheinland-Pfalz,Sandra Weeser
177,52024480,8783,3,0.0003415689399977229,80493,DJanecek,gruene,Janecek,Dieter,"[18, 19]",Bund,Bavaria,Dieter Janecek
178,19108766,2967,1,0.0003370407819346141,79573,cem_oezdemir,gruene,Özdemir,Cem,"[13, 14, 18, 19]",Bund,Baden-Württemberg,Cem Özdemir
179,485751594,3040,1,0.0003289473684210526,79818,JTrittin,gruene,Trittin,Jürgen,"[14, 15, 16, 17, 18, 19]",Bund,Lower Saxony,Jürgen Trittin
180,20877217,6185,2,0.00032336297493936947,79851,UlrichKelber,spd,Kelber,Ulrich,"[14, 15, 16, 17, 18, 19]",Bund,North Rhine-Westphalia,Ulrich Kelber
181,68920005,3823,1,0.0002615746795710175,80566,MartinaRenner,linke,Renner,Martina,"[18, 19]",Bund,Thuringia,Martina Renner
182,861992050358616064,4105,1,0.000243605359317905,80818,Meyer_FDP,fdp,Meyer,Christoph,[19],Bund,Berlin,Christoph Meyer
183,382044198,4160,1,0.0002403846153846154,80544,UlliNissen,spd,Nissen,Ulli,"[18, 19]",Bund,Hesse,Ulli Nissen
