,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-05-25,0.95,0.5666666666666667,0.48333333333333334,1.5666666666666667,1.35,,0.6833333333333333,0.05025784078340047,0.07168279089331722,0.028286171790993377,0.037474420695499194,0.026042378235277264,,0.027751000266604983
2021-05-26,0.95,0.55,0.45,1.5666666666666667,1.3666666666666667,,0.6833333333333333,0.049535618561178246,0.06930183851236484,0.02525586876069035,0.037474420695499194,0.026421166114065142,,0.027751000266604983
2021-05-27,0.9666666666666667,0.5333333333333333,0.43333333333333335,1.6,1.3833333333333333,,0.6833333333333333,0.05105077007632976,0.06374628295680927,0.023973817478639067,0.038168865139943636,0.026827670179105794,,0.027751000266604983
2021-05-28,0.9666666666666667,,0.43333333333333335,1.6333333333333333,1.3833333333333333,,0.3,0.05105077007632976,,0.023973817478639067,0.03927997625105475,0.02685665568635217,,0.017102852118456836
2021-05-29,0.9666666666666667,0.5333333333333333,0.43333333333333335,1.6333333333333333,1.3666666666666667,,0.3,0.05051601071804099,0.06374628295680927,0.023973817478639067,0.03927997625105475,0.025876263529489425,,0.017102852118456836
2021-05-30,0.9666666666666667,0.5166666666666667,0.43333333333333335,1.6,1.3666666666666667,,0.26666666666666666,0.05057728522784491,0.0620796162901426,0.023973817478639067,0.03993679070097265,0.025876263529489425,,0.015713963229567945
2021-05-31,0.9666666666666667,0.5166666666666667,0.4166666666666667,1.5666666666666667,1.4333333333333333,,0.26666666666666666,0.05057728522784491,0.0620796162901426,0.02258492858975018,0.03901086477504672,0.027158314811540706,,0.015713963229567945
2021-06-01,0.9833333333333333,0.5166666666666667,0.4,1.4833333333333334,1.45,,0.26666666666666666,0.05113750931748076,0.0620796162901426,0.02139445239927399,0.03632269273203597,0.027445671133379788,,0.015713963229567945
2021-06-02,0.95,0.5166666666666667,0.4,1.4833333333333334,1.5166666666666666,,0.25,0.04974862042859187,0.0620796162901426,0.02139445239927399,0.03632269273203597,0.028595096420736106,,0.013862111377716094
2021-06-03,0.95,0.5333333333333333,0.4,1.55,1.6,,0.25,0.04987933938284025,0.06624628295680927,0.02139445239927399,0.03760474401408726,0.028843112293751978,,0.013862111377716094
2021-06-04,0.9166666666666666,0.5166666666666667,0.4,1.4666666666666666,1.6,,0.25,0.04812495341792797,0.06416294962347593,0.02139445239927399,0.03694998210932535,0.028843112293751978,,0.013862111377716094
2021-06-05,0.9166666666666666,0.5166666666666667,0.4,1.4666666666666666,1.5833333333333333,,0.25,0.04812495341792797,0.06416294962347593,0.02139445239927399,0.03694998210932535,0.027732001182640867,,0.013862111377716094
2021-06-06,0.8666666666666667,0.55,0.4,1.4666666666666666,1.5666666666666667,,0.25,0.04678566770364225,0.0708296162901426,0.02139445239927399,0.03724568103405653,0.027269038219677907,,0.013862111377716094
2021-06-07,0.85,0.55,0.4166666666666667,1.4666666666666666,1.5833333333333333,,0.23333333333333334,0.04470233437030892,0.06934813480866112,0.02324630425112584,0.03724568103405653,0.027561435880496622,,0.01288171922085335
2021-06-08,0.85,0.5333333333333333,0.45,1.45,1.6166666666666667,,0.23333333333333334,0.04470233437030892,0.06749628295680928,0.02520708856485133,0.0365210433528971,0.027825552456088604,,0.01288171922085335
2021-06-09,0.8833333333333333,0.5333333333333333,0.45,1.4166666666666667,1.6333333333333333,,0.21666666666666667,0.04609122325919781,0.0743144647749911,0.02520708856485133,0.036088944587465005,0.028221893919503242,,0.011215052554186682
2021-06-10,0.8666666666666667,0.55,0.45,1.4333333333333333,1.65,,0.21666666666666667,0.04521403027674167,0.07669541715594348,0.02520708856485133,0.03633404262668069,0.02817310391169684,,0.011215052554186682
2021-06-11,0.8666666666666667,0.5166666666666667,0.45,1.45,1.65,,0.23333333333333334,0.04521403027674167,0.07447319493372126,0.02520708856485133,0.03684330188593995,0.02815348067778789,,0.012048385887520018
2021-06-12,0.8666666666666667,0.5,0.45,1.45,1.6666666666666667,,0.21666666666666667,0.04570243076514216,0.07280652826705461,0.02520708856485133,0.03708572612836419,0.028523851048158258,,0.011353941443075574
2021-06-13,0.85,,0.45,1.4333333333333333,1.5666666666666667,,0.21666666666666667,0.04500798632069772,,0.02520708856485133,0.03700488035721991,0.02749969645878628,,0.011353941443075574
2021-06-14,0.85,0.4666666666666667,0.31666666666666665,1.2,1.4333333333333333,,0.2,0.04500798632069772,0.07105214230214232,0.023021296215124557,0.033934704918623416,0.02536769794191568,,0.01089097848011261
2021-06-15,0.8666666666666667,0.4666666666666667,0.3,1.1166666666666667,1.3666666666666667,,0.2,0.045933912246623645,0.07105214230214232,0.019687962881791223,0.03239149504208021,0.024635097209314945,,0.01089097848011261
