,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-04-15,273,0.05,0.06666666666666667,0.05,0.35,0.13333333333333333,0.0,0.0,0.05,0.06666666666666667,0.05,0.26666666666666666,0.1,0.0,0.0
2021-04-16,198,0.03333333333333333,0.06666666666666667,0.05,0.3333333333333333,0.11666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667,0.05,0.25,0.08333333333333333,0.0,0.0
2021-04-17,111,0.03333333333333333,0.05,0.05,0.3,0.11666666666666667,0.0,0.016666666666666666,0.03333333333333333,0.05,0.05,0.23333333333333334,0.08333333333333333,0.0,0.016666666666666666
2021-04-18,123,0.03333333333333333,0.05,0.05,0.3,0.11666666666666667,0.0,0.016666666666666666,0.03333333333333333,0.05,0.05,0.23333333333333334,0.08333333333333333,0.0,0.016666666666666666
2021-04-19,239,0.03333333333333333,0.05,0.05,0.3,0.11666666666666667,0.0,0.016666666666666666,0.03333333333333333,0.05,0.05,0.23333333333333334,0.08333333333333333,0.0,0.016666666666666666
2021-04-20,151,0.03333333333333333,0.05,0.05,0.3,0.08333333333333333,0.0,0.016666666666666666,0.03333333333333333,0.05,0.05,0.23333333333333334,0.06666666666666667,0.0,0.016666666666666666
2021-04-21,219,0.03333333333333333,0.05,0.05,0.2833333333333333,0.08333333333333333,0.0,0.016666666666666666,0.03333333333333333,0.05,0.05,0.21666666666666667,0.06666666666666667,0.0,0.016666666666666666
2021-04-22,223,0.03333333333333333,0.06666666666666667,0.05,0.35,0.1,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.05,0.23333333333333334,0.08333333333333333,0.0,0.03333333333333333
2021-04-23,166,0.03333333333333333,0.06666666666666667,0.05,0.35,0.1,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.05,0.23333333333333334,0.08333333333333333,0.0,0.03333333333333333
2021-04-24,248,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.1,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.25,0.08333333333333333,0.0,0.03333333333333333
2021-04-25,150,0.03333333333333333,0.05,0.06666666666666667,0.36666666666666664,0.11666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.05,0.06666666666666667,0.25,0.1,0.0,0.03333333333333333
2021-04-26,157,0.03333333333333333,0.05,0.06666666666666667,0.36666666666666664,0.11666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.05,0.06666666666666667,0.25,0.1,0.0,0.03333333333333333
2021-04-27,127,0.03333333333333333,0.05,0.06666666666666667,0.36666666666666664,0.11666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.05,0.06666666666666667,0.25,0.1,0.0,0.03333333333333333
2021-04-28,160,0.05,0.05,0.06666666666666667,0.38333333333333336,0.11666666666666667,0.0,0.03333333333333333,0.05,0.05,0.06666666666666667,0.26666666666666666,0.1,0.0,0.03333333333333333
2021-04-29,151,0.05,0.05,0.06666666666666667,0.4166666666666667,0.11666666666666667,0.0,0.03333333333333333,0.05,0.05,0.06666666666666667,0.2833333333333333,0.1,0.0,0.03333333333333333
2021-04-30,121,0.05,0.05,0.06666666666666667,0.4166666666666667,0.11666666666666667,0.0,0.03333333333333333,0.05,0.05,0.06666666666666667,0.2833333333333333,0.1,0.0,0.03333333333333333
2021-05-01,275,0.06666666666666667,0.05,0.06666666666666667,0.4166666666666667,0.11666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.05,0.06666666666666667,0.2833333333333333,0.1,0.0,0.03333333333333333
2021-05-02,130,0.06666666666666667,0.05,0.05,0.4166666666666667,0.11666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.05,0.05,0.2833333333333333,0.1,0.0,0.03333333333333333
2021-05-03,193,0.06666666666666667,0.05,0.05,0.38333333333333336,0.11666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.05,0.05,0.26666666666666666,0.1,0.0,0.03333333333333333
2021-05-04,127,0.06666666666666667,0.05,0.05,0.36666666666666664,0.1,0.0,0.03333333333333333,0.06666666666666667,0.05,0.05,0.25,0.08333333333333333,0.0,0.03333333333333333
2021-05-05,170,0.06666666666666667,0.05,0.05,0.38333333333333336,0.1,0.0,0.03333333333333333,0.06666666666666667,0.05,0.05,0.26666666666666666,0.08333333333333333,0.0,0.03333333333333333
2021-05-06,233,0.06666666666666667,0.05,0.06666666666666667,0.38333333333333336,0.11666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.05,0.06666666666666667,0.26666666666666666,0.1,0.0,0.03333333333333333
2021-05-07,186,0.06666666666666667,0.05,0.06666666666666667,0.38333333333333336,0.1,0.0,0.05,0.06666666666666667,0.05,0.06666666666666667,0.26666666666666666,0.08333333333333333,0.0,0.05
2021-05-08,119,0.06666666666666667,0.05,0.06666666666666667,0.38333333333333336,0.1,0.0,0.05,0.06666666666666667,0.05,0.06666666666666667,0.26666666666666666,0.08333333333333333,0.0,0.05
2021-05-09,96,0.06666666666666667,0.05,0.06666666666666667,0.38333333333333336,0.1,0.0,0.05,0.06666666666666667,0.05,0.06666666666666667,0.26666666666666666,0.08333333333333333,0.0,0.05
2021-05-10,91,0.06666666666666667,0.05,0.06666666666666667,0.36666666666666664,0.11666666666666667,0.0,0.05,0.06666666666666667,0.05,0.06666666666666667,0.25,0.1,0.0,0.05
2021-05-11,145,0.06666666666666667,0.05,0.06666666666666667,0.38333333333333336,0.11666666666666667,0.0,0.05,0.06666666666666667,0.05,0.06666666666666667,0.26666666666666666,0.1,0.0,0.05
2021-05-12,106,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.11666666666666667,0.0,0.05,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.25,0.1,0.0,0.05
2021-05-13,97,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.11666666666666667,0.0,0.05,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.25,0.1,0.0,0.05
2021-05-14,127,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.35,0.11666666666666667,0.0,0.05,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.1,0.0,0.05
2021-05-15,77,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.3333333333333333,0.11666666666666667,0.0,0.05,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.21666666666666667,0.1,0.0,0.05
2021-05-16,91,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.11666666666666667,0.0,0.05,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.21666666666666667,0.1,0.0,0.05
2021-05-17,157,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.35,0.1,0.0,0.05,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.08333333333333333,0.0,0.05
2021-05-18,118,0.05,0.06666666666666667,0.06666666666666667,0.35,0.1,0.0,0.06666666666666667,0.05,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.08333333333333333,0.0,0.06666666666666667
2021-05-19,161,0.05,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.11666666666666667,0.0,0.06666666666666667,0.05,0.06666666666666667,0.06666666666666667,0.25,0.1,0.0,0.06666666666666667
2021-05-20,189,0.05,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.08333333333333333,0.0,0.06666666666666667,0.05,0.06666666666666667,0.06666666666666667,0.25,0.08333333333333333,0.0,0.06666666666666667
2021-05-21,107,0.05,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.08333333333333333,0.0,0.06666666666666667,0.05,0.06666666666666667,0.06666666666666667,0.25,0.08333333333333333,0.0,0.06666666666666667
2021-05-22,165,0.05,0.06666666666666667,0.06666666666666667,0.4,0.08333333333333333,0.0,0.06666666666666667,0.05,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.08333333333333333,0.0,0.06666666666666667
