hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#essen,8,8,0,0,0,0,0
#kohleausstieg,8,0,6,2,0,0,0
#klimaschutzistjetzt,8,0,8,0,0,0,0
#cduentmachten,8,0,0,8,0,0,0
#scheuer,8,0,6,2,0,0,0
#dortmund,8,0,3,0,0,4,1
#gruenen,8,0,3,1,2,1,1
#zeitzuhandeln,8,0,0,8,0,0,0
#hessen,8,2,2,1,1,2,0
#bdk21,8,0,8,0,0,0,0
#zukunftsteam,8,1,3,3,1,0,0
#ausrespekt,8,0,0,0,0,8,0
#covid19,8,2,2,2,2,0,0
#eineunion,7,7,0,0,0,0,0
#maischberger,7,0,2,1,1,0,3
#armut,7,0,2,2,0,3,0
#vermögenssteuer,7,0,0,7,0,0,0
#ltwmv21,7,0,4,3,0,0,0
#ltwlsa,7,1,0,2,4,0,0
#wk61,7,0,0,3,0,1,3
#ltwlsa21,7,1,0,4,2,0,0
#kanzlerinbaerbock,7,0,7,0,0,0,0
#schuldenbremse,7,1,0,3,0,1,2
#dreyer,7,2,0,0,0,5,0
#frieden,7,0,1,6,0,0,0
#bafög,7,0,2,5,0,0,0
#thueringen,7,0,0,1,3,1,2
#klartext,7,1,3,2,0,1,0
#geldwäsche,7,0,2,4,0,1,0
#prenzlauerbergost,7,0,5,2,0,0,0
#lindner,7,0,3,2,0,0,2
#lockdown,7,0,0,0,5,1,1
#klimakanzlerin,7,0,7,0,0,0,0
#politikwechsel,7,0,2,5,0,0,0
#teamcdu,7,7,0,0,0,0,0
#sozialepolitikfuerdich,7,0,0,0,0,7,0
#cdulvv21,7,7,0,0,0,0,0
#badenwürttemberg,7,0,3,3,1,0,0
#sofortprogramm,7,2,2,3,0,0,0
#hamburg,7,4,1,0,0,2,0
#transparenz,6,0,2,0,1,3,0
#schwarzerfilz,6,0,5,0,0,1,0
#weidel,6,0,0,1,4,0,1
#münster,6,0,4,1,1,0,0
#sozialklimagerecht,6,0,0,6,0,0,0
#diegruenen,6,0,0,1,2,0,3
#wahlrechtsreform,6,0,5,1,0,0,0
#hanau,6,5,0,1,0,0,0
#reutlingen,6,0,5,0,1,0,0
#hochwasser,6,1,3,1,1,0,0
#wahlkampfauftakt,6,0,1,0,3,0,2
#wahl2021,6,0,0,0,6,0,0
#klimakatastrophe,6,0,0,5,0,1,0
#pandemie,6,0,2,3,0,0,1
#heimat,6,4,0,0,2,0,0
#wahlomat,6,0,0,4,0,1,1
#wahlplakat,6,1,0,4,1,0,0
#afdbundesparteitag,6,0,1,0,4,0,1
#cdupt21,6,4,0,1,0,0,1
#mieten,6,0,0,6,0,0,0
#cduwahlprogramm,6,3,0,2,0,1,0
#trump,6,1,3,0,0,1,1
#bretten,6,0,0,0,0,0,6
#medien,6,0,0,0,6,0,0
#brandenburgerin,6,0,0,0,0,0,6
#chrupalla,6,0,0,1,5,0,0
#landtagswahl,6,1,0,3,1,0,1
#warburg,6,2,0,3,0,0,1
#bawü,6,0,2,0,3,1,0
#sicherheit,6,0,4,2,0,0,0
#altmark,6,0,0,6,0,0,0
#soeder,6,1,0,2,1,0,2
#spdbpt21,6,0,0,0,0,6,0
#mannheim,6,0,0,5,0,0,1
#linkelvvsn,6,0,0,6,0,0,0
#ldk21,6,0,6,0,0,0,0
#lmvfrankfurt2021,6,0,6,0,0,0,0
#wimmelbild,6,0,0,6,0,0,0
#lobbyismus,6,0,0,4,0,2,0
#niemehrcducsu,6,0,0,6,0,0,0
#olafscholz,6,0,1,1,0,4,0
#arbeit,6,0,1,4,0,1,0
#bayern,6,0,1,2,0,2,1
#mahe,6,0,0,6,0,0,0
#hatespeech,5,0,3,0,0,2,0
#annalenabaerbock,5,0,5,0,0,0,0
#dm2021mdb,5,0,0,0,0,5,0
#afdnrw,5,0,0,0,5,0,0
#co2preis,5,0,4,1,0,0,0
#niedersachsen,5,2,3,0,0,0,0
#offenbach,5,3,2,0,0,0,0
#wirmachendaslandgerecht,5,0,0,5,0,0,0
#innovation,5,0,4,0,0,0,1
#politik,5,0,0,0,0,3,2
#magdeburg,5,5,0,0,0,0,0
#klimaschutzgesetz,5,0,2,1,0,2,0
#mobilität,5,0,2,1,0,1,1
#teamleikert,5,5,0,0,0,0,0
#impfen,5,0,1,0,3,0,1
#erfurt,5,1,1,0,3,0,0
#saarland,5,1,0,0,0,3,1
#deutschlandgemeinsammachen,5,4,0,0,0,1,0
#erneuerung,5,2,3,0,0,0,0
#mitte,5,1,1,2,0,1,0
#kfrage,5,2,3,0,0,0,0
#unserestimmeimbundestag,5,5,0,0,0,0,0
#cdukorruption,5,0,1,4,0,0,0
#missionzuversicht,5,0,0,0,0,5,0
#aufbruch,5,0,2,3,0,0,0
#polizei,5,0,2,2,1,0,0
#rlp,5,2,0,0,0,1,2
