,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-04-22,1.3833333333333333,1.7333333333333334,2.3333333333333335,4.116666666666666,2.716666666666667,1.4833333333333334,0.024501885145196363,0.01663497451864169,0.020066451264970905,0.03096604329491418,0.01898797323614707,0.010927811399170225
2021-04-23,1.3833333333333333,1.7666666666666666,2.3833333333333333,4.116666666666666,2.6666666666666665,1.6833333333333333,0.024501885145196363,0.01705654314609267,0.020385652044698,0.030954052024558993,0.018457045071367435,0.012170047424014946
2021-04-24,1.3666666666666667,1.7833333333333334,2.5166666666666666,4.266666666666667,2.8333333333333335,1.7166666666666666,0.024038922182233403,0.017325360350393743,0.02153507733205432,0.03245858986930303,0.019392397212396394,0.012450159468832874
2021-04-25,1.3333333333333333,1.7833333333333334,2.5166666666666666,4.283333333333333,2.8666666666666667,1.7333333333333334,0.023509821653132874,0.017325360350393743,0.02153507733205432,0.03266371217587461,0.019732533266818165,0.01263742538643587
2021-04-26,1.4,1.8833333333333333,2.533333333333333,4.316666666666666,2.9166666666666665,1.7166666666666666,0.024205294904161682,0.019152611330187096,0.02170073321704983,0.0330779914703359,0.0200974967704678,0.012587822211832696
2021-04-27,1.3666666666666667,1.9,2.45,4.283333333333333,2.933333333333333,1.7333333333333334,0.023658846816729986,0.01948704416874308,0.020964783172446797,0.03286834786446589,0.020370132026940845,0.012832920251048381
2021-04-28,1.3666666666666667,1.9333333333333333,2.4166666666666665,4.366666666666666,2.9166666666666665,1.7,0.023468434630350057,0.019931488613187522,0.020427148763844646,0.033619098615216635,0.02043547976670719,0.01251240743053556
2021-04-29,1.3666666666666667,2.0,2.4166666666666665,4.5,2.95,1.6833333333333333,0.023468434630350057,0.020543109408294558,0.020427148763844646,0.03451395320134639,0.020563801941590534,0.012325141512932564
2021-04-30,1.35,1.95,2.4166666666666665,4.516666666666667,2.95,1.65,0.02311243346789728,0.020287399726355366,0.020495376644967596,0.03485277369723495,0.020554468493383993,0.012060718436009487
2021-05-01,1.3833333333333333,1.9166666666666667,2.3833333333333333,4.5,2.8833333333333333,1.6333333333333333,0.023906084261548076,0.020143760261412378,0.020542995692586646,0.03531232225014589,0.020100187681960324,0.011894932151680294
2021-05-02,1.3833333333333333,1.9166666666666667,2.3833333333333333,4.5,2.8666666666666667,1.6333333333333333,0.023982031705916576,0.020143760261412378,0.020720782529566308,0.03541159678241011,0.020221470937046397,0.011894932151680294
2021-05-03,1.4166666666666667,1.9166666666666667,2.3833333333333333,4.516666666666667,2.8666666666666667,1.6666666666666667,0.024409382133267002,0.020143760261412378,0.020770972723987268,0.03555404692486026,0.020313309629921356,0.012249542080758308
2021-05-04,1.4166666666666667,1.9166666666666667,2.4166666666666665,4.583333333333333,2.85,1.6833333333333333,0.024710870733229317,0.020178905693209147,0.020998968572421072,0.0362348208249417,0.020344805109393717,0.012449631506199847
2021-05-05,1.5,1.9333333333333333,2.433333333333333,4.7,2.8666666666666667,1.7,0.025998749521108106,0.020298789476459266,0.021104453804488586,0.03674133022294776,0.020429839122999158,0.012507117454079255
2021-05-06,1.4666666666666666,1.9666666666666666,2.5,4.683333333333334,2.85,1.7,0.02550492236061428,0.02058368976135955,0.021482457118490242,0.03658687762947078,0.019826684817798815,0.01241777372438465
2021-05-07,1.5166666666666666,1.9666666666666666,2.466666666666667,4.683333333333334,2.966666666666667,1.7166666666666666,0.026320218175910095,0.020515896686682873,0.02102580728684041,0.03658687762947078,0.02038489853390727,0.012452358021137677
2021-05-08,1.55,2.066666666666667,2.5166666666666666,4.783333333333333,2.9833333333333334,1.8333333333333333,0.02772313624549483,0.021114699081892455,0.021641430248353785,0.03742668257799887,0.020603470811303076,0.013291102609882264
2021-05-09,1.5666666666666667,2.0833333333333335,2.5,4.75,3.15,2.0,0.028043397683403328,0.021321670759452366,0.022790498571335152,0.03723516061681398,0.02189862334733152,0.01398845267961727
2021-05-10,1.5833333333333333,2.1,2.533333333333333,4.8,3.3833333333333333,2.0,0.028312078038627043,0.021540969005066402,0.02318265543408025,0.03773443440040149,0.0236948746489629,0.014095688671915777
2021-05-11,1.5833333333333333,2.1,2.55,4.783333333333333,3.466666666666667,2.05,0.028312078038627043,0.021540969005066402,0.02332087010506191,0.03765082718135057,0.024134820172230276,0.014396893491192886
2021-05-12,1.5333333333333334,2.05,2.466666666666667,4.883333333333334,3.35,2.066666666666667,0.027464620411508395,0.021073679285440235,0.022179317593646386,0.037976775742593255,0.02320889424630435,0.01432720708004306
2021-05-13,1.5833333333333333,1.9166666666666667,2.2,4.683333333333334,3.283333333333333,1.85,0.028222196169084154,0.02032461561502825,0.019975460844335092,0.03722811264098898,0.022527092681633734,0.013014075766911748
2021-05-14,1.5666666666666667,1.8333333333333333,2.35,4.7,3.216666666666667,1.85,0.027919165866053853,0.019486011053019437,0.020239648711262683,0.03757943738141146,0.021839807458266036,0.013332411929899863
2021-05-15,1.5666666666666667,1.8666666666666667,2.5166666666666666,4.833333333333333,3.25,1.8666666666666667,0.028022954137979124,0.01996354039652816,0.021085672399925967,0.03893819444355835,0.0224145201019442,0.013567016035471708
2021-05-16,1.6,1.8833333333333333,2.783333333333333,4.816666666666666,3.2666666666666666,1.8666666666666667,0.028310310459818203,0.020191850898811266,0.022343534035146093,0.03887025966094965,0.02273503292245702,0.013567016035471708
2021-05-17,1.6833333333333333,1.9166666666666667,2.8,4.816666666666666,3.2666666666666666,1.8,0.02937868652819427,0.0206247513317117,0.022353430201523482,0.03896766698743716,0.022817856278643463,0.01313966560812128
2021-05-18,1.7166666666666666,1.9,2.8333333333333335,4.383333333333334,3.283333333333333,1.8,0.029720979893743452,0.02054606314001711,0.022533324381417662,0.037122132753843226,0.023018398284063515,0.01313966560812128
2021-05-19,1.7166666666666666,1.9,2.8,4.283333333333333,3.2666666666666666,1.85,0.029405045827809388,0.02054606314001711,0.021305254205979066,0.03623756840178661,0.022815871188288248,0.013408728788949168
2021-05-20,1.7,1.9333333333333333,2.716666666666667,4.2,3.25,1.8666666666666667,0.029127268050031612,0.020830963424917394,0.020202422889678454,0.03587264465450992,0.02263499263531667,0.013559554956163612
2021-05-21,1.7,1.9333333333333333,2.7666666666666666,4.283333333333333,3.283333333333333,1.8833333333333333,0.02919765517924227,0.02075267292109497,0.020533548717493025,0.03651863948655127,0.02292869048336234,0.013659956562589313
2021-05-22,1.6666666666666667,1.9333333333333333,2.783333333333333,4.3,3.3,1.8666666666666667,0.028832731431965578,0.020706640609381977,0.020698565219143192,0.036821355279666644,0.023071140625812486,0.013522215515757358
2021-05-23,1.6166666666666667,1.9166666666666667,2.8,4.333333333333333,3.283333333333333,1.8833333333333333,0.028462203724989272,0.020586736532643368,0.020892590903118624,0.03737986191016695,0.023009866116008564,0.013635778137431593
2021-05-24,1.6333333333333333,1.95,2.816666666666667,4.366666666666666,3.2666666666666666,1.8833333333333333,0.029170372367940525,0.0218190402649471,0.02112090140540173,0.03796465723180438,0.02292214681776295,0.013635778137431593
2021-05-25,1.7833333333333334,1.9833333333333334,2.816666666666667,4.4,3.2666666666666666,1.8666666666666667,0.030377587909106114,0.02248570693161377,0.021080458663809566,0.038339112569495,0.023050013506428182,0.01352163382070107
2021-05-26,1.8166666666666667,2.0,2.783333333333333,4.4,3.216666666666667,1.9166666666666667,0.030703188234706445,0.02290546001803352,0.020778171953755864,0.03827563627651051,0.02277704762716309,0.013909230719925876
2021-05-27,1.9,2.0,2.8333333333333335,4.433333333333334,3.216666666666667,1.9166666666666667,0.030710223551999254,0.023033842400020488,0.02111656870514705,0.03858976192677062,0.022658660649730607,0.013889212703711283
2021-05-28,1.9,2.1,2.9,4.466666666666667,3.2333333333333334,1.95,0.03034309068486639,0.024014234556883233,0.022191837522351352,0.03893375917479263,0.0228722980849027,0.01407966145859253
2021-05-29,1.85,2.2,2.8833333333333333,4.6,3.2333333333333334,2.033333333333333,0.029536639071963165,0.02488472117097197,0.022522742197518323,0.040118489319592984,0.02294202267278058,0.01482370907764015
2021-05-30,1.9166666666666667,2.183333333333333,2.9,4.65,3.25,2.033333333333333,0.030459129280167654,0.02467104595729676,0.02295009262486875,0.04099190004374998,0.023320810551568462,0.01482370907764015
2021-05-31,1.9666666666666666,2.2,2.9833333333333334,4.65,3.25,1.9833333333333334,0.031041483433950377,0.02498052663362526,0.023882911299622906,0.04117345414687271,0.02329762214577136,0.014490375744306816
2021-06-01,2.0,2.25,3.0,4.65,3.316666666666667,2.0166666666666666,0.03143314216158878,0.02551244152724228,0.024049845060306666,0.040982977956396514,0.02350016844206766,0.014728470982402053
2021-06-02,2.05,2.25,3.1,4.633333333333334,3.3666666666666667,2.033333333333333,0.032137367513701456,0.025415219305020057,0.025331896342357947,0.04069509916851773,0.024028228879933833,0.014873398518633936
2021-06-03,2.0833333333333335,2.283333333333333,3.1166666666666667,4.733333333333333,3.4166666666666665,2.033333333333333,0.03273914668690921,0.025738800865303745,0.025629515389976994,0.04116858401700258,0.02441582577915864,0.014873398518633936
2021-06-04,2.1,2.3333333333333335,3.1666666666666665,4.733333333333333,3.5,2.1166666666666667,0.03278408132743208,0.026496376622879503,0.026364809507624053,0.04072518779058747,0.025209476572809433,0.01571514936038478
2021-06-05,2.1666666666666665,2.5,3.216666666666667,4.733333333333333,3.5,2.1666666666666665,0.03371000725335801,0.02760967405452822,0.02737631979712528,0.04078293784833753,0.025282454054043797,0.015970114470422354
2021-06-06,2.2666666666666666,2.7333333333333334,3.4166666666666665,4.75,3.6666666666666665,2.283333333333333,0.03507987026705663,0.029554118498972663,0.02900233605728788,0.04110958090225331,0.026193200866429955,0.016840761236591506
2021-06-07,2.3333333333333335,2.75,3.5166666666666666,4.7,3.7333333333333334,2.3,0.0367465369337233,0.029740047399761,0.030171499374788795,0.04084814299375658,0.026771095194324284,0.01695605249872743
2021-06-08,2.3333333333333335,2.75,3.5833333333333335,4.55,3.716666666666667,2.283333333333333,0.0367465369337233,0.029716276079858463,0.030783120169895827,0.040033580395537616,0.026591926536894753,0.016770867313542246
2021-06-09,2.316666666666667,2.7333333333333334,3.6333333333333333,4.383333333333334,3.6,2.316666666666667,0.036361382872098655,0.028974035863934038,0.031375074192884336,0.039047825409782626,0.025888131354571964,0.01700075237101351
2021-06-10,2.283333333333333,2.6666666666666665,3.683333333333333,4.283333333333333,3.533333333333333,2.35,0.03487534017915941,0.02846641435113565,0.031649404108336755,0.0380671856791429,0.025350980181827572,0.017343609513870654
2021-06-11,2.2666666666666666,2.7,3.6166666666666667,4.5,3.4,2.3666666666666667,0.03439246046010761,0.028847052683654784,0.03111915001703615,0.03901883962316325,0.024409260210256856,0.017310480633058904
2021-06-12,2.35,2.8,3.3333333333333335,4.9,3.3666666666666667,2.3666666666666667,0.03632482760986607,0.030552789295051775,0.03002940642729256,0.04031810625705378,0.024204761232751743,0.017345194637003677
2021-06-13,2.35,2.816666666666667,3.4166666666666665,5.133333333333334,3.3333333333333335,2.4,0.03638410945268449,0.030817339559602037,0.031140517538403672,0.04165605134499887,0.02400274103073154,0.017642813684622723
2021-06-14,2.3333333333333335,2.783333333333333,3.35,5.266666666666667,3.183333333333333,2.4166666666666665,0.036298586737851433,0.030496826739089218,0.031129448594697153,0.043004952137321154,0.023491384783909042,0.017972708376219542
2021-06-15,2.35,2.716666666666667,3.3833333333333333,5.3,3.1666666666666665,2.4,0.03659620578547048,0.029823426065688545,0.03147993908280232,0.04327156592191485,0.023688805634448775,0.017882128666074616
2021-06-16,2.35,2.7333333333333334,3.3666666666666667,5.25,3.1333333333333333,2.3833333333333333,0.03659620578547048,0.03017562732355018,0.03086814820404815,0.043039256241930744,0.023385775331418477,0.017688484177494676
2021-06-17,2.35,2.65,3.4166666666666665,5.25,3.1166666666666667,2.3666666666666667,0.03659620578547048,0.02900191840336239,0.031411626464917713,0.04310600448978923,0.022969735231167847,0.01757354164875904
2021-06-18,2.3333333333333335,2.55,3.35,4.8,3.1,2.316666666666667,0.036313719909764265,0.028164100976759917,0.03151478571701314,0.04154609055400638,0.02303874834365922,0.017448155846289906
2021-06-19,2.316666666666667,2.4,3.3333333333333335,4.666666666666667,3.183333333333333,2.2333333333333334,0.03627598406070766,0.027151755297747573,0.03141315970075297,0.04054451637061402,0.023579240989415027,0.01717037806851213
2021-06-20,2.316666666666667,2.3666666666666667,3.3333333333333335,4.716666666666667,3.316666666666667,2.25,0.03627598406070766,0.027259176716644403,0.031542665420588936,0.04118002057229468,0.025312589058969992,0.01752353982944088
2021-06-21,2.35,2.5833333333333335,3.283333333333333,4.733333333333333,3.45,2.3333333333333335,0.037408462693186297,0.029000841124342966,0.03182462030780698,0.04138184668904104,0.026182525916167994,0.018608815378446573
2021-06-22,2.3666666666666667,2.6,3.283333333333333,4.866666666666666,3.5166666666666666,2.1333333333333333,0.03774859874760806,0.029099891053593015,0.03196350919669587,0.04207052115820331,0.026640832439698538,0.017366579353601856
