,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-03-23,0.2833333333333333,0.0,0.016666666666666666,0.05,0.016666666666666666,,0.03333333333333333,0.017869792291698987,0.0,0.0007246376811594203,0.0008282915586286375,0.0003401360544217687,,0.00196078431372549
2021-03-24,0.2833333333333333,0.0,0.016666666666666666,0.05,0.016666666666666666,,0.03333333333333333,0.017869792291698987,0.0,0.0007246376811594203,0.0008282915586286375,0.0003401360544217687,,0.00196078431372549
2021-03-25,0.2833333333333333,0.0,0.016666666666666666,0.05,0.016666666666666666,,0.03333333333333333,0.017869792291698987,0.0,0.0007246376811594203,0.0008282915586286375,0.0003401360544217687,,0.00196078431372549
2021-03-26,0.2833333333333333,0.0,0.016666666666666666,0.05,0.016666666666666666,,0.03333333333333333,0.017869792291698987,0.0,0.0007246376811594203,0.0008282915586286375,0.0003401360544217687,,0.00196078431372549
2021-03-27,0.3,0.0,0.016666666666666666,0.05,0.016666666666666666,,0.03333333333333333,0.019258681180587874,0.0,0.0007246376811594203,0.0008282915586286375,0.0003401360544217687,,0.00196078431372549
2021-03-28,0.3,0.0,0.016666666666666666,0.05,0.016666666666666666,,0.03333333333333333,0.019258681180587874,0.0,0.0007246376811594203,0.0008282915586286375,0.0003401360544217687,,0.00196078431372549
2021-03-29,0.3,0.0,0.016666666666666666,0.05,0.016666666666666666,,0.03333333333333333,0.019258681180587874,0.0,0.0007246376811594203,0.0008282915586286375,0.0003401360544217687,,0.00196078431372549
2021-03-30,0.3,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.019258681180587874,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-03-31,0.3,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.019258681180587874,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
2021-04-01,0.3,0.0,0.016666666666666666,0.05,0.0,,0.03333333333333333,0.019258681180587874,0.0,0.0007246376811594203,0.0008282915586286375,0.0,,0.00196078431372549
