hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#frauen,75,4,38,17,4,7,5
#capitol,74,15,18,19,6,7,9
#altmaier,74,1,17,14,8,15,19
#schnelltests,74,4,24,8,1,7,30
#ausgangssperre,74,0,4,13,16,4,37
#verkehrswende,73,3,34,31,0,5,0
#kreuzberg,73,2,51,17,0,2,1
#solidarität,72,6,17,22,1,23,3
#transparenz,72,6,21,9,2,30,4
#heimat,71,63,2,1,3,1,1
#kohleausstieg,71,3,41,14,0,8,5
#bitcoin,71,0,2,58,2,0,9
#b117,71,4,18,21,0,28,0
#scholzpacktdasan,71,1,0,1,0,69,0
#ausgangssperren,70,0,4,11,9,3,43
#biontech,70,16,6,21,3,8,16
#lobbyregister,70,1,17,21,0,26,5
#co2preis,70,2,27,35,2,1,3
#erfurt,69,6,3,8,45,5,2
#schulen,69,6,38,6,1,7,11
#staatsfunk,69,0,0,0,69,0,0
#assange,68,1,13,48,2,0,4
#hongkong,68,3,24,3,1,9,28
#impfpflicht,68,3,3,6,40,6,10
#frankfurt,68,5,21,12,2,26,2
#cduvorsitz,68,53,2,5,2,2,4
#uefa,68,5,15,21,1,15,11
#putin,67,18,24,7,2,2,14
#essen,67,46,16,4,1,0,0
#pressefreiheit,67,6,21,14,5,8,13
#coronawarnapp,67,1,5,54,0,4,3
#taliban,66,6,19,20,7,5,9
#brandenburg,66,35,3,7,3,10,8
#iran,66,5,17,25,4,13,2
#altparteienstaat,65,0,0,0,65,0,0
#altparteien,65,0,0,0,65,0,0
#bereitweilihresseid,65,0,64,0,1,0,0
#fürsieda,65,65,0,0,0,0,0
#gruene,65,4,15,12,10,11,13
#bureg,65,1,15,44,4,1,0
#hamburg,65,12,1,35,2,11,4
#spdbpt21,64,4,0,0,0,60,0
#lobbyismus,64,1,5,27,3,28,0
#maassen,63,3,21,20,5,13,1
#karlsruhe,63,1,3,6,6,1,46
#allesdichtmachen,63,2,4,22,18,9,8
#olafscholz,63,6,29,4,0,23,1
#würzburg,63,5,6,7,34,1,10
#longcovid,62,0,11,5,1,45,0
#bundesverfassungsgericht,62,6,10,22,10,5,9
#afdwirkt,61,0,1,0,60,0,0
#weremember,61,7,4,19,0,23,8
#aserbaidschan,60,0,12,23,1,23,1
#mindestlohn,59,1,4,34,1,18,1
#vonovia,58,0,11,39,0,6,2
#brexit,58,14,8,3,4,9,20
#dbdk21,58,0,54,2,1,0,1
#saytheirnames,58,4,9,22,3,19,1
#wahlprogramm,58,7,23,7,3,5,13
#geldwäsche,58,8,33,14,0,1,2
#co2,58,3,9,10,6,3,27
#zukunft,57,21,13,0,9,10,4
#maskenskandal,57,3,12,23,6,12,1
#brandner,57,0,3,3,50,1,0
#neuruppin,56,55,0,0,0,1,0
#3k21,56,0,0,0,1,0,55
#thewsdirekt,56,0,0,0,0,56,0
#altenburg,56,0,0,0,56,0,0
#lindner,55,1,9,16,3,8,18
#gesundheit,55,11,12,23,1,5,3
#wohnen,55,6,30,11,2,5,1
#literaturschneeball,55,9,19,6,0,11,10
#dwenteignen,55,0,3,50,0,0,2
#stufenplan,55,1,7,1,1,0,45
#hochwasserkatastrophe,54,14,16,8,1,3,12
#coronavirus,53,13,2,17,13,6,2
#wirtschaft,53,14,5,6,5,5,18
#frontex,53,0,4,31,0,15,3
#sozialismus,53,6,0,26,12,1,8
#niedersachsen,53,4,35,9,1,0,4
#ostern,52,15,6,6,11,10,4
#maas,51,9,5,21,10,0,6
#maskenaffäre,51,0,24,12,4,10,1
#friedrichshain,51,1,33,17,0,0,0
#mali,50,13,7,18,3,4,5
#badenwürttemberg,50,8,22,8,3,6,3
#bafög,49,1,27,9,0,4,8
#ukraine,49,13,9,8,1,13,5
#politik,49,11,6,5,9,15,3
#mieten,49,0,12,27,0,6,4
#impfungen,49,15,2,8,5,6,13
#rlp,48,10,4,16,3,6,9
#weltfrauentag,47,5,21,8,1,8,4
#zukunftsteam,47,10,7,15,1,13,1
#bawü,47,4,16,4,4,12,7
#mahe,47,0,0,47,0,0,0
#hdp,46,0,4,30,0,12,0
#kinderrechte,46,2,26,5,5,7,1
#deutschewohnen,46,0,8,33,0,4,1
#kassel,46,1,1,17,2,24,1
#masken,45,1,18,12,6,3,5
#amazon,45,0,7,31,2,5,0
#niemehrcdu,45,1,0,40,2,1,1
#ramelow,45,8,1,7,18,2,9
#bundeskanzlerin,45,16,5,6,1,1,16
#kanzlerin,45,1,11,1,12,1,19
#spdbt,45,0,0,0,0,45,0
#meinungsfreiheit,45,4,6,10,18,4,3
#inzidenz,45,5,7,2,10,3,18
#wissenschaft,45,3,21,8,2,9,2
#bundestagswahl2021,45,3,16,8,10,3,5
#gez,44,1,0,0,42,0,1
#gewinnerstadt,44,0,0,0,44,0,0
#ffp2masken,44,2,11,13,3,10,5
#1mai,44,6,3,23,4,3,5
#ausrespekt,44,0,0,1,0,43,0
#bretten,44,0,0,0,0,0,44
#pua,44,0,5,0,1,1,37
#impfstoffe,44,0,5,32,0,2,5
#hessen,44,7,8,4,3,17,5
#köln,44,2,34,3,2,1,2
#notbremse,44,7,5,6,7,7,12
#covid,44,8,5,9,6,11,5
#wk194,43,0,0,0,43,0,0
#altenburgerland,43,0,0,0,43,0,0
#syrien,43,2,6,16,10,7,2
#nsu,43,0,17,15,0,9,2
#niewieder,43,4,5,11,9,10,4
#badenwuerttemberg,43,2,17,6,4,9,5
#kultur,43,10,3,11,1,9,9
#sitzungswoche,43,21,3,9,1,4,5
#fiu,43,6,10,14,1,3,9
#lukaschenko,42,5,12,5,1,5,14
#mietenwahnsinn,42,1,6,32,0,3,0
#fukushima,42,0,15,8,7,11,1
#regierungserklärung,42,6,5,8,0,2,21
#ungarn,42,4,11,9,6,5,7
#ltwsa21,42,11,3,4,6,2,16
#washingtondc,42,11,11,7,3,4,6
#kanzlerkandidatur,42,7,13,5,1,10,6
#landwirtschaft,41,8,21,6,1,3,2
#kubicki,41,2,3,7,2,3,24
#fdpbt,41,0,0,0,0,0,41
#regensburg,41,1,3,35,0,0,2
#flutkatastrophe,41,1,21,8,8,3,0
#homeschooling,41,7,8,21,0,3,2
#ortskräfte,41,1,15,9,7,5,4
#frauentag,40,6,18,7,2,6,1
#inaugurationday,40,8,6,6,0,7,13
#maskendeals,40,1,2,30,1,5,1
#facebook,40,5,8,11,7,6,3
#spdde,40,0,0,0,0,40,0
#grün,40,1,13,1,23,1,1
#lübcke,40,5,10,8,0,10,7
#nurmalso,40,14,1,0,0,21,4
#armut,40,0,9,20,0,9,2
#mobilität,40,9,14,6,0,5,6
#ltwrlp21,40,17,7,1,3,10,2
#umfaller,40,0,0,0,40,0,0
#weimar,39,0,0,4,32,1,2
#nuesslein,39,1,11,21,0,3,3
#eisenmann,39,11,24,0,1,0,3
#zdf,39,7,2,2,15,6,7
#respekt,39,5,4,1,0,25,4
#ua1bt,39,0,12,16,0,5,6
#vermögensabgabe,39,0,1,36,0,1,1
#mitbestimmung,39,23,6,5,1,4,0
#gerhun,39,6,7,9,1,6,10
#rechtsextremismus,39,1,23,6,0,7,2
#bild,38,1,12,17,3,2,3
#dortmund,38,1,9,2,0,24,2
#bielefeld,38,1,21,10,0,3,3
#einzelhandel,38,8,3,5,5,1,16
#podcast,38,3,8,17,0,8,2
#linken,37,11,3,8,6,3,6
#lockerungen,37,5,1,12,4,1,14
#nocovid,37,1,16,15,1,2,2
#eeg,37,6,11,2,2,5,11
#wahlkreis,37,21,3,3,8,1,1
#fakenews,37,4,9,5,15,2,2
#breg,37,0,5,14,0,0,18
#istanbulkonvention,37,3,10,12,0,9,3
#linksrutsch,37,0,3,28,0,5,1
#wissler,36,2,1,28,2,0,3
#gendern,36,10,11,5,6,1,3
#ifsg,36,2,6,7,8,4,9
#zweistellig,36,0,0,36,0,0,0
#osterlockdown,36,1,1,13,9,1,11
#aktienrente,36,0,1,2,0,0,33
#bewegungsradius,36,1,0,6,12,0,17
#osterruhe,36,5,5,8,5,3,10
#dreyer,36,14,0,0,2,20,0
#mittelstand,35,17,3,0,3,0,12
#maskenpflicht,35,3,0,4,18,2,8
#coronagipfel,35,1,5,15,2,1,11
#sommertour,35,15,0,3,1,15,1
#coronahilfen,35,5,6,4,1,2,17
#twitter,35,13,1,2,12,3,4
#verbraucherschutz,35,25,7,1,0,1,1
#münster,34,0,26,6,1,0,1
#polen,34,2,11,5,2,7,7
#kindergrundsicherung,34,1,20,7,0,5,1
#dobrindt,34,0,15,1,1,4,13
#ard,34,5,2,5,16,2,4
#familien,34,6,4,10,3,3,8
#testpflicht,34,2,6,6,9,6,5
#greenpeace,34,11,5,1,9,1,7
#medien,34,0,4,0,28,1,1
#wahlrechtsreform,34,0,22,5,0,1,6
#ffp2,34,1,5,10,4,3,11
#hamas,34,18,2,3,4,3,4
#illner,33,4,8,2,2,1,16
#örr,33,6,9,1,2,2,13
#ramelüringen,33,0,0,0,33,0,0
