hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
weil,11,8,0,2,0,0,1,0
zielen,11,6,0,3,1,1,0,0
fall,11,5,0,3,2,0,1,0
dafür,11,3,0,1,2,3,2,0
landeseigenen,11,2,0,9,0,0,0,0
planen,11,5,0,3,0,2,1,0
giffey,11,10,0,0,1,0,0,0
lässt,11,1,3,7,0,0,0,0
hausen,11,4,1,6,0,0,0,0
sowas,11,5,2,1,0,2,1,0
bauenbauenbauen,11,9,0,2,0,0,0,0
deutschland,11,4,4,2,0,1,0,0
deutlich,11,5,0,4,0,2,0,0
reden,10,5,1,2,1,0,1,0
egal,10,2,1,1,0,6,0,0
innenschutz,10,2,0,8,0,0,0,0
leben,10,3,0,5,1,0,1,0
nutzen,10,3,2,3,0,2,0,0
art,10,2,3,4,1,0,0,0
am,10,8,0,1,0,1,0,0
zeit,10,3,1,3,1,1,1,0
entscheiden,10,1,2,5,1,0,1,0
gelten,10,3,1,2,1,1,2,0
suchen,10,4,0,1,0,0,5,0
lösen,10,0,2,5,0,2,1,0
bundesverfassungsgericht,10,1,2,2,3,1,1,0
politische,10,3,1,2,2,2,0,0
bezahlbare,10,4,0,2,1,1,2,0
klimaschutz,10,3,0,7,0,0,0,0
19,10,7,0,3,0,0,0,0
ermöglichen,10,4,0,5,0,1,0,0
markt,10,4,0,5,1,0,0,0
erreichen,10,4,0,5,1,0,0,0
sagen,10,6,0,2,1,0,1,0
lesen,10,4,2,3,0,0,1,0
partei,10,4,3,1,0,0,2,0
tagen,10,4,0,4,1,1,0,0
zuhause,9,5,0,0,0,3,1,0
verantwortung,9,1,2,4,0,2,0,0
fahren,9,1,2,4,1,0,1,0
treptow,9,7,1,1,0,0,0,0
helfen,9,2,1,2,2,1,1,0
finanziell,9,3,0,0,1,4,1,0
100,9,5,2,1,1,0,0,0
nehmen,9,5,0,1,0,3,0,0
informieren,9,6,0,2,1,0,0,0
mietenschutzschirm,9,0,0,8,1,0,0,0
26,9,8,0,0,1,0,0,0
länderöffnungsklausel,9,1,0,8,0,0,0,0
volksentscheid,9,5,1,0,1,0,2,0
spekulation,9,5,0,4,0,0,0,0
lichtenberg,9,9,0,0,0,0,0,0
initiative,9,4,0,3,0,1,1,0
bezirk,9,5,1,3,0,0,0,0
14,9,3,0,3,2,0,1,0
diskutieren,9,1,0,6,0,1,1,0
zahlen,9,2,3,4,0,0,0,0
zweckentfremdung,9,8,0,1,0,0,0,0
richtig,9,2,1,4,2,0,0,0
private,9,8,0,0,0,0,1,0
zukunft,9,2,1,1,1,3,1,0
angst,9,4,0,5,0,0,0,0
antrag,9,6,0,0,1,0,2,0
2020,9,9,0,0,0,0,0,0
nein,9,6,0,2,1,0,0,0
sogar,9,2,0,3,1,1,2,0
notwendig,8,1,0,7,0,0,0,0
arbeiten,8,4,1,3,0,0,0,0
sache,8,3,0,5,0,0,0,0
antwort,8,2,0,3,1,1,1,0
politiker,8,1,4,2,0,0,1,0
erhalten,8,4,0,1,0,0,3,0
nicht,8,5,0,0,0,1,2,0
scheel,8,8,0,0,0,0,0,0
vorkaufsrecht,8,4,0,4,0,0,0,0
regeln,8,3,0,4,1,0,0,0
scheinen,8,4,0,1,2,1,0,0
lösung,8,3,0,1,1,1,2,0
zb,8,3,0,3,0,2,0,0
vorher,8,4,1,0,1,1,1,0
bestätigen,8,0,1,3,1,0,3,0
beschließen,8,5,0,2,0,0,1,0
fertigen,8,5,0,1,1,1,0,0
kein,8,3,1,2,1,1,0,0
welt,8,2,3,3,0,0,0,0
kennen,8,3,1,0,1,1,2,0
sammeln,8,3,0,3,1,0,1,0
2016,8,3,0,5,0,0,0,0
mahe,8,8,0,0,0,0,0,0
als,8,3,0,1,2,2,0,0
entwickeln,8,0,0,8,0,0,0,0
eher,8,5,0,1,0,2,0,0
ideologie,8,3,0,2,0,1,2,0
hamburg,8,5,1,1,0,0,1,0
idee,8,3,0,2,1,1,1,0
auf,8,2,1,3,1,0,1,0
einkommen,8,3,0,2,1,1,1,0
offenbaren,8,4,2,1,0,0,1,0
haus,8,3,1,3,1,0,0,0
co2,8,8,0,0,0,0,0,0
diese,8,2,2,3,1,0,0,0
ändern,8,4,0,3,0,0,1,0
unterstützen,8,4,0,0,0,0,3,1
eigentum,8,1,1,2,0,3,1,0
eigentumswohnungen,8,7,0,1,0,0,0,0
fast,8,2,0,2,0,0,4,0
deckel,8,4,1,3,0,0,0,0
auto,8,2,2,1,1,1,1,0
herr,8,4,1,1,1,0,1,0
platzen,8,2,3,3,0,0,0,0
mietenstopp,8,7,0,1,0,0,0,0
haben,8,4,1,2,0,1,0,0
dw,8,6,1,0,0,0,1,0
durchsetzen,8,5,1,0,2,0,0,0
seite,8,5,0,3,0,0,0,0
10,8,2,3,3,0,0,0,0
entscheidung,8,4,0,3,0,0,1,0
viel,8,3,0,2,1,1,1,0
wählen,7,2,2,1,1,0,1,0
hellersdorf,7,4,0,0,0,0,3,0
dwenteignen,7,5,2,0,0,0,0,0
neukölln,7,3,0,2,2,0,0,0
denn,7,5,0,1,0,1,0,0
gg,7,2,3,1,1,0,0,0
zusätzlich,7,3,0,2,0,1,1,0
denken,7,1,0,6,0,0,0,0
12,7,5,0,2,0,0,0,0
regierung,7,1,1,2,0,1,1,1
nach,7,2,0,3,2,0,0,0
halten,7,3,0,2,1,0,1,0
verhindern,7,3,0,3,0,0,1,0
frau,7,5,0,2,0,0,0,0
reich,7,0,5,2,0,0,0,0
staat,7,0,6,0,1,0,0,0
fragestunde,7,7,0,0,0,0,0,0
fragen,7,5,0,1,0,0,1,0
handeln,7,3,0,4,0,0,0,0
r2g,7,2,0,3,0,2,0,0
60,7,3,1,1,2,0,0,0
glauben,7,4,2,0,1,0,0,0
grund,7,4,0,3,0,0,0,0
nix,7,3,0,2,1,0,1,0
verdrängung,7,2,0,5,0,0,0,0
erwarten,7,1,2,3,0,0,1,0
mindestens,7,3,0,2,0,2,0,0
ergebnis,7,2,0,2,0,2,1,0
investition,7,2,1,4,0,0,0,0
mehrheit,7,5,0,2,0,0,0,0
wirken,7,1,1,2,1,1,0,1
nächst,7,2,3,0,0,2,0,0
union,7,3,0,1,2,0,1,0
erfolgreich,7,4,0,1,1,0,1,0
bundesregierung,7,2,0,5,0,0,0,0
enden,7,4,1,0,1,0,1,0
ahnung,7,5,1,1,0,0,0,0
also,7,5,0,0,0,0,2,0
infostand,7,7,0,0,0,0,0,0
langfristig,7,0,0,6,1,0,0,0
umwandlung,7,4,0,3,0,0,0,0
ander,7,2,0,0,1,3,1,0
städtisch,7,5,0,2,0,0,0,0
deal,7,2,0,5,0,0,0,0
greifen,7,0,0,2,0,5,0,0
40,7,5,0,0,0,1,1,0
milieuschutz,7,3,0,4,0,0,0,0
letzt,7,3,0,2,1,0,1,0
erlauben,7,3,0,3,0,1,0,0
schön,7,3,0,4,0,0,0,0
hier,7,2,0,2,0,3,0,0
schauen,7,5,0,1,0,0,1,0
per,7,5,0,1,1,0,0,0
daher,7,2,0,1,0,2,2,0
unterschreiben,7,3,0,3,0,0,1,0
bezahlen,7,4,0,1,2,0,0,0
fehlen,6,2,1,2,0,1,0,0
tischen,6,0,1,1,0,2,2,0
ausschuss,6,1,0,2,2,0,1,0
treffen,6,0,2,2,0,2,0,0
tragen,6,3,2,0,0,1,0,0
laufen,6,1,1,3,0,0,1,0
leute,6,0,1,2,0,1,2,0
vielleicht,6,2,0,3,0,0,1,0
klargehtdas,6,0,0,6,0,0,0,0
