,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-03-06,15.766666666666667,12.666666666666666,13.616666666666667,8.716666666666667,13.016666666666667,10.233333333333333,0.2585653413394244,0.0964324119112057,0.09555461346584256,0.06495581369522437,0.08711802688014977,0.08330574992679081
2021-03-07,15.916666666666666,12.583333333333334,13.233333333333333,8.766666666666667,13.25,10.15,0.2614621667362498,0.0964071384988355,0.09614088107147636,0.06617200748981537,0.0919774423444487,0.08347109384213472
2021-03-08,15.95,12.416666666666666,13.266666666666667,8.866666666666667,13.266666666666667,10.216666666666667,0.2638927222918053,0.09606968467672695,0.09752893328031172,0.06713926939457728,0.09263025342891446,0.08433895840636892
2021-03-09,16.033333333333335,12.266666666666667,13.283333333333333,8.933333333333334,13.433333333333334,10.316666666666666,0.2664705348461437,0.09584271866028725,0.09849619518507362,0.06811258179646111,0.09340586670452773,0.08530748140879023
2021-03-10,16.0,12.1,13.383333333333333,9.166666666666666,13.583333333333334,10.383333333333333,0.2697605077458727,0.09482964676486241,0.09863049097154332,0.06969086462474393,0.0942727920240078,0.08525625846090958
2021-03-11,16.383333333333333,12.116666666666667,13.4,9.283333333333333,14.066666666666666,10.616666666666667,0.2747530268418645,0.095213843691287,0.09799815131481342,0.0705930488602615,0.09618458754045449,0.08644726902439522
2021-03-12,16.533333333333335,12.133333333333333,13.266666666666667,9.516666666666667,14.416666666666666,10.8,0.2784079976020984,0.0961667098371793,0.09757598904462957,0.07210250512503692,0.09865436701753323,0.08838480517245768
2021-03-13,16.583333333333332,12.05,13.233333333333333,9.566666666666666,14.633333333333333,10.933333333333334,0.2800571043359509,0.0960534274809063,0.0982530477755381,0.07285080444476481,0.10035900944798211,0.08989780753652389
2021-03-14,16.816666666666666,12.1,13.116666666666667,10.083333333333334,14.816666666666666,11.416666666666666,0.28243805671690325,0.09618602570827735,0.09969772712719419,0.0755036950061521,0.10319978837123527,0.09272934875516188
2021-03-15,16.816666666666666,11.916666666666666,12.966666666666667,10.166666666666666,14.8,11.533333333333333,0.2827256786994405,0.09535860254042865,0.10004786718321661,0.0760772442639119,0.10437375955942615,0.09376916740290483
2021-03-16,16.75,11.5,12.966666666666667,10.116666666666667,14.633333333333333,11.65,0.2832930545859653,0.09555321646847409,0.10033695717818895,0.07601509737125653,0.10354414744139796,0.09469509332883076
2021-03-17,16.416666666666668,10.2,12.866666666666667,10.216666666666667,14.233333333333333,11.233333333333333,0.28313522630313703,0.09290336606096351,0.09966828161498047,0.0765698980958942,0.10229936509196444,0.09167993027845643
2021-03-18,16.4,10.033333333333333,12.883333333333333,10.466666666666667,14.566666666666666,11.333333333333334,0.2842531124819988,0.09206076410612699,0.10002470909229871,0.07738599407968914,0.10313373371725011,0.0919063475920297
2021-03-19,16.516666666666666,10.0,12.9,10.633333333333333,14.883333333333333,11.3,0.2861349561285484,0.09187993068458224,0.10065215029565613,0.07783142532566313,0.1044995873757867,0.09155524543656778
2021-03-20,16.416666666666668,9.216666666666667,12.766666666666667,10.65,14.783333333333333,11.516666666666667,0.28684924184283406,0.08845550423383998,0.1017026553461612,0.07815407290321266,0.10406073555544726,0.09371349459481694
2021-03-21,16.483333333333334,9.2,12.6,10.85,15.016666666666667,11.6,0.2881686862872785,0.08868629435059262,0.10137303896352566,0.07924710380393588,0.10612783512254682,0.09413370680198156
2021-03-22,16.55,9.166666666666666,12.533333333333333,10.85,15.133333333333333,11.583333333333334,0.28869982181841397,0.08822453388883217,0.10077503231900738,0.07915435018074747,0.10640485909360065,0.09374312817577361
2021-03-23,16.6,8.916666666666666,12.25,10.883333333333333,15.183333333333334,11.633333333333333,0.2907360209134366,0.0861975668978508,0.0984629631786992,0.07943081665508964,0.10685344432479457,0.09401192381085345
2021-03-24,17.05,8.766666666666667,12.233333333333333,11.033333333333333,15.65,11.766666666666667,0.292913527430062,0.08520277652325392,0.09665484853138856,0.08015147992039574,0.10793677765812791,0.09469145299420498
2021-03-25,17.233333333333334,8.916666666666666,12.266666666666667,11.2,15.933333333333334,12.066666666666666,0.29409498486151947,0.08609035940450768,0.09597917285571289,0.080968494207526,0.10910118060096889,0.09632894593604574
2021-03-26,17.35,8.866666666666667,12.133333333333333,11.25,16.166666666666668,12.116666666666667,0.2952922699984065,0.08536016854273787,0.09590254450322247,0.08135226613735055,0.10994755196719819,0.09630804729445745
2021-03-27,17.316666666666666,8.9,11.55,11.15,16.033333333333335,11.983333333333333,0.29304960525574175,0.08563550383006358,0.09395420728932272,0.08084597776341512,0.10956788081622659,0.09498296855002386
2021-03-28,17.2,8.9,11.5,11.266666666666667,16.0,12.016666666666667,0.2919503667394067,0.08567392596121112,0.09524569069596006,0.08265196331553071,0.110197609769392,0.09589530233158669
2021-03-29,17.2,8.916666666666666,11.316666666666666,11.333333333333334,15.833333333333334,11.933333333333334,0.29343545572449575,0.08584759542899824,0.094818154464076,0.08350257469245786,0.10998621680098969,0.09606717988928844
2021-03-30,17.2,8.783333333333333,11.133333333333333,11.416666666666666,15.983333333333333,11.733333333333333,0.29480612806291,0.08454862935938996,0.09463892951796882,0.08506562885469124,0.11184925067433285,0.09500897883108737
2021-03-31,17.216666666666665,8.8,11.083333333333334,11.55,16.033333333333335,11.833333333333334,0.29675418001096193,0.08457237104979831,0.09428235468856036,0.08647484294683218,0.1122635855860849,0.09496904528051552
2021-04-01,17.3,8.85,11.1,11.75,16.166666666666668,12.216666666666667,0.29845486028307083,0.0843987599386872,0.09395471936092505,0.08829583060115316,0.11277741957817976,0.09676739918998054
2021-04-02,17.25,8.816666666666666,11.1,11.633333333333333,16.083333333333332,12.1,0.29776609869005394,0.08367382951405304,0.09541981160011079,0.08902451277169579,0.11263951571687164,0.09693546952094981
