,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-05-09,0.15,0.35,0.3,0.4,0.8166666666666667,0.5333333333333333,0.0022261881533234664,0.003971288040796213,0.0032986685049928317,0.004020621883556861,0.006445227833437408,0.004301729650574602
2021-05-10,0.15,0.3333333333333333,0.3,0.38333333333333336,0.8166666666666667,0.5166666666666667,0.0022261881533234664,0.0037774895911838096,0.0032986685049928317,0.003875378601058677,0.006445227833437408,0.00418352634088193
2021-05-11,0.15,0.3333333333333333,0.31666666666666665,0.38333333333333336,0.8,0.55,0.0022261881533234664,0.0037774895911838096,0.0034604808027274597,0.003875378601058677,0.006306740633939328,0.004384329553733335
2021-05-12,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.38333333333333336,0.8,0.55,0.002467734047043273,0.0037774895911838096,0.0036254973043776248,0.003875378601058677,0.006306740633939328,0.004384329553733335
2021-05-13,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.38333333333333336,0.8,0.55,0.002467734047043273,0.003834006782532461,0.0036254973043776248,0.003875378601058677,0.006312224292636411,0.004384329553733335
2021-05-14,0.16666666666666666,0.3333333333333333,0.31666666666666665,0.38333333333333336,0.8,0.55,0.002467734047043273,0.003834006782532461,0.0035064496853300054,0.003875378601058677,0.006312224292636411,0.004384329553733335
2021-05-15,0.16666666666666666,0.3333333333333333,0.31666666666666665,0.38333333333333336,0.7666666666666667,0.55,0.002467734047043273,0.003834006782532461,0.0035064496853300054,0.003875378601058677,0.006075817673251068,0.004384329553733335
2021-05-16,0.16666666666666666,0.3333333333333333,0.35,0.38333333333333336,0.7666666666666667,0.5333333333333333,0.002467734047043273,0.003877132099630381,0.003663682389732521,0.003875378601058677,0.006075817673251068,0.004271716941120723
2021-05-17,0.18333333333333332,0.3333333333333333,0.35,0.38333333333333336,0.7333333333333333,0.5333333333333333,0.0026814092607184868,0.003877132099630381,0.003663682389732521,0.003875378601058677,0.0059178397901547015,0.004271716941120723
2021-05-18,0.2,0.3333333333333333,0.35,0.38333333333333336,0.7333333333333333,0.5833333333333334,0.00287520771033089,0.003877132099630381,0.003663682389732521,0.003875378601058677,0.005947650088257682,0.004710313432348793
2021-05-19,0.2,0.38333333333333336,0.35,0.38333333333333336,0.7166666666666667,0.5833333333333334,0.00287520771033089,0.004304482526980808,0.003663682389732521,0.003875378601058677,0.0058259955870411375,0.004710313432348793
2021-05-20,0.2,0.4166666666666667,0.35,0.38333333333333336,0.6666666666666666,0.5833333333333334,0.00287520771033089,0.004589382811881093,0.003663682389732521,0.003875378601058677,0.005409328920374471,0.004710313432348793
2021-05-21,0.2,0.4,0.38333333333333336,0.4,0.6666666666666666,0.5833333333333334,0.00287520771033089,0.004372932595430877,0.0038844329416089013,0.0040045775674669454,0.005409328920374471,0.004710313432348793
2021-05-22,0.2,0.4,0.4166666666666667,0.4166666666666667,0.6833333333333333,0.5833333333333334,0.00287520771033089,0.004372932595430877,0.00437088783709845,0.004181882532005953,0.005551779062824613,0.004710313432348793
2021-05-23,0.21666666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6833333333333333,0.5666666666666667,0.0031277329628561427,0.00458126592876421,0.00437088783709845,0.004181882532005953,0.005551779062824613,0.004585935322896056
2021-05-24,0.2,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6833333333333333,0.5666666666666667,0.0029383390234622034,0.00458126592876421,0.00437088783709845,0.004181882532005953,0.005551779062824613,0.004585935322896056
2021-05-25,0.18333333333333332,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7166666666666667,0.5666666666666667,0.0027610340589231965,0.00458126592876421,0.00437088783709845,0.004181882532005953,0.005903068728996311,0.004586733534901164
2021-05-26,0.18333333333333332,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7166666666666667,0.55,0.0027610340589231965,0.00458126592876421,0.00437088783709845,0.004181882532005953,0.005903068728996311,0.004407522065367114
