party,time,Average time of first tweet
cducsu,8.971694534757706,8:57
spd,8.998923046798476,8:60
afd,9.09726345551856,9:06
linke,9.188097228026189,9:11
gruene,9.231879237153883,9:14
fdp,9.292045242101326,9:18
