party,Männer,All tweets,party_topic_proportion,proportion_of_topic_tweets
AFD,546,95817,0.0056983625035223395,0.20919540229885059
CDUCSU,266,105660,0.00251750899110354,0.10191570881226053
FDP,216,127319,0.0016965260487437068,0.08275862068965517
GRUENE,540,133917,0.00403234839490132,0.20689655172413793
LINKE,543,130037,0.00417573459861424,0.20804597701149424
SPD,499,188461,0.002647762667077008,0.19118773946360154
