,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-03-02,0.21666666666666667,0.016666666666666666,,0.6333333333333333,0.6666666666666666,,0.03333333333333333,0.009490248787687117,0.0023809523809523807,,0.013816498092809604,0.007843717382404978,,0.0022660818713450288
2021-03-03,0.21666666666666667,0.016666666666666666,,0.6333333333333333,0.6833333333333333,,0.03333333333333333,0.009490248787687117,0.0023809523809523807,,0.013816498092809604,0.008088815421620665,,0.0022660818713450288
2021-03-04,0.25,0.016666666666666666,0.016666666666666666,0.6333333333333333,0.6833333333333333,,0.03333333333333333,0.010879137676576006,0.0023809523809523807,0.0027777777777777775,0.013816498092809604,0.008088815421620665,,0.0022660818713450288
2021-03-05,0.25,0.016666666666666666,0.016666666666666666,0.6333333333333333,0.6833333333333333,,0.03333333333333333,0.010879137676576006,0.0023809523809523807,0.0027777777777777775,0.013816498092809604,0.008088815421620665,,0.0022660818713450288
2021-03-06,0.25,0.016666666666666666,0.016666666666666666,0.6166666666666667,0.7,,0.03333333333333333,0.01094226898970732,0.0023809523809523807,0.0027777777777777775,0.013502032684004572,0.008232493582540206,,0.0022660818713450288
2021-03-07,0.25,0.016666666666666666,0.016666666666666666,0.6,0.7,,0.03333333333333333,0.01094226898970732,0.0023809523809523807,0.0027777777777777775,0.013270551202523092,0.008232493582540206,,0.0022660818713450288
2021-03-08,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.5666666666666667,0.7166666666666667,,0.03333333333333333,0.012794120841559172,0.0023809523809523807,0.0027777777777777775,0.012724103115091397,0.008510271360317984,,0.0022660818713450288
2021-03-09,0.2833333333333333,,0.016666666666666666,0.5833333333333334,0.7333333333333333,,0.03333333333333333,0.012794120841559172,,0.0027777777777777775,0.013298815758769558,0.008732493582540206,,0.0022660818713450288
2021-03-10,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.5833333333333334,0.7333333333333333,,0.03333333333333333,0.013488565286003618,0.0023809523809523807,0.0027777777777777775,0.013298815758769558,0.008732493582540206,,0.0022660818713450288
2021-03-11,0.2833333333333333,0.05,0.016666666666666666,0.5666666666666667,0.7833333333333333,,0.03333333333333333,0.013488565286003618,0.0043417366946778705,0.0027777777777777775,0.012724103115091397,0.009227543087490702,,0.0022660818713450288
2021-03-12,0.26666666666666666,0.05,0.016666666666666666,0.5833333333333334,0.7833333333333333,,0.03333333333333333,0.01282189861933695,0.0043417366946778705,0.0027777777777777775,0.01321429919352277,0.009227543087490702,,0.0022660818713450288
2021-03-13,0.26666666666666666,0.05,0.016666666666666666,0.5833333333333334,0.7833333333333333,,0.03333333333333333,0.01282189861933695,0.0043417366946778705,0.0027777777777777775,0.01321429919352277,0.009227543087490702,,0.0022660818713450288
2021-03-14,0.25,0.05,0.016666666666666666,0.5833333333333334,0.7833333333333333,,0.03333333333333333,0.011988565286003616,0.0043417366946778705,0.0027777777777777775,0.013375117906973061,0.009379270445100413,,0.0022660818713450288
2021-03-15,0.25,0.05,0.016666666666666666,0.5833333333333334,0.7833333333333333,,0.03333333333333333,0.013655231952670283,0.0043417366946778705,0.0027777777777777775,0.013375117906973061,0.009753666580366112,,0.0022660818713450288
2021-03-16,0.25,0.05,0.016666666666666666,0.6,0.7833333333333333,,0.03333333333333333,0.013655231952670283,0.0043417366946778705,0.0027777777777777775,0.013695630727485883,0.009753666580366112,,0.0022660818713450288
2021-03-17,0.23333333333333334,0.06666666666666667,0.016666666666666666,0.6333333333333333,0.7833333333333333,,0.03333333333333333,0.013117597544068132,0.008508403361344537,0.0027777777777777775,0.014362297394152549,0.009753666580366112,,0.0022660818713450288
2021-03-18,0.23333333333333334,0.06666666666666667,0.016666666666666666,0.6,0.7833333333333333,,0.03333333333333333,0.013117597544068132,0.008508403361344537,0.0027777777777777775,0.013127729492917982,0.009753666580366112,,0.0022660818713450288
2021-03-19,0.23333333333333334,0.06666666666666667,0.016666666666666666,0.5833333333333334,0.8333333333333334,,0.03333333333333333,0.013117597544068132,0.008508403361344537,0.0027777777777777775,0.012830110445298934,0.011105017931717465,,0.0022660818713450288
2021-03-20,0.23333333333333334,0.05,0.016666666666666666,0.6166666666666667,0.85,,0.03333333333333333,0.013117597544068132,0.006127450980392157,0.0027777777777777775,0.01322693584212433,0.011431815317338381,,0.0022660818713450288
2021-03-21,0.23333333333333334,0.05,0.03333333333333333,0.5833333333333334,0.9,,0.05,0.013117597544068132,0.006127450980392157,0.004292929292929293,0.012743844054684716,0.01278316666868973,,0.0032464740282077743
2021-03-22,0.23333333333333334,0.05,0.03333333333333333,0.5666666666666667,0.9166666666666666,,0.05,0.013117597544068132,0.006127450980392157,0.004292929292929293,0.01247062001096887,0.013051983872990806,,0.0032464740282077743
2021-03-23,0.23333333333333334,0.05,0.03333333333333333,0.5666666666666667,0.9166666666666666,,0.05,0.013117597544068132,0.006127450980392157,0.004292929292929293,0.01247062001096887,0.013051983872990806,,0.0032464740282077743
2021-03-24,0.23333333333333334,0.05,0.03333333333333333,0.5666666666666667,0.9166666666666666,,0.05,0.013117597544068132,0.006127450980392157,0.004292929292929293,0.01247062001096887,0.013051983872990806,,0.0032464740282077743
2021-03-25,0.25,0.05,0.03333333333333333,0.5333333333333333,0.9166666666666666,,0.05,0.013622648049118637,0.006127450980392157,0.004292929292929293,0.01077276831311717,0.013051983872990806,,0.0032464740282077743
2021-03-26,0.25,0.05,0.03333333333333333,0.55,0.9,,0.05,0.013622648049118637,0.006127450980392157,0.004292929292929293,0.01111290436753894,0.012900468721475655,,0.0032464740282077743
2021-03-27,0.25,0.05,0.03333333333333333,0.55,0.8833333333333333,,0.05,0.013622648049118637,0.006127450980392157,0.004292929292929293,0.01111290436753894,0.012560332667053887,,0.0032464740282077743
2021-03-28,0.25,0.05,0.03333333333333333,0.55,0.8,,0.05,0.013622648049118637,0.006127450980392157,0.004292929292929293,0.01111290436753894,0.011491956598677818,,0.0032464740282077743
2021-03-29,0.25,0.05,0.03333333333333333,0.55,0.75,,0.05,0.013622648049118637,0.006127450980392157,0.004292929292929293,0.01111290436753894,0.011386693440783082,,0.0032464740282077743
2021-03-30,0.25,0.05,0.03333333333333333,0.5833333333333334,0.7666666666666667,,0.05,0.013622648049118637,0.006127450980392157,0.004292929292929293,0.012093296524401685,0.012367085597645827,,0.0032464740282077743
2021-03-31,0.2833333333333333,0.05,0.03333333333333333,0.6,0.7333333333333333,,0.05,0.015583432362844128,0.006127450980392157,0.004292929292929293,0.012668009168079844,0.01168681348880229,,0.0032464740282077743
2021-04-01,0.2833333333333333,0.05,0.03333333333333333,0.6166666666666667,0.7333333333333333,,0.05,0.015583432362844128,0.006127450980392157,0.004292929292929293,0.013130972131042808,0.01168681348880229,,0.0032464740282077743
2021-04-02,0.2833333333333333,0.05,0.03333333333333333,0.6,0.7333333333333333,,0.05,0.016631051410463178,0.006127450980392157,0.004292929292929293,0.012535734035804713,0.01168681348880229,,0.0032464740282077743
2021-04-03,0.2833333333333333,0.05,0.03333333333333333,0.6,0.7166666666666667,,0.05,0.016631051410463178,0.006127450980392157,0.004292929292929293,0.012535734035804713,0.01154313532788275,,0.0032464740282077743
2021-04-04,0.2833333333333333,0.05,0.03333333333333333,0.6166666666666667,0.7166666666666667,,0.05,0.016916999122881474,0.006127450980392157,0.004292929292929293,0.013817785317855994,0.01154313532788275,,0.0032464740282077743
2021-04-05,0.26666666666666666,0.05,0.03333333333333333,0.65,0.7166666666666667,,0.05,0.01608366578954814,0.006127450980392157,0.004292929292929293,0.014234451984522662,0.01154313532788275,,0.0032464740282077743
2021-04-06,0.2833333333333333,0.05,0.03333333333333333,0.6333333333333333,0.7,,0.05,0.017125332456214806,0.006127450980392157,0.004292929292929293,0.013795855493294592,0.011290610075357498,,0.0032464740282077743
2021-04-07,0.2833333333333333,0.05,0.03333333333333333,0.6333333333333333,0.7166666666666667,,0.05,0.017125332456214806,0.006127450980392157,0.004292929292929293,0.013795855493294592,0.01175357303832046,,0.0032464740282077743
2021-04-08,0.3,0.05,0.03333333333333333,0.6333333333333333,0.7666666666666667,,0.05,0.019208665789548142,0.006127450980392157,0.004292929292929293,0.013795855493294592,0.012630766020776599,,0.0032464740282077743
2021-04-09,0.3,0.05,0.03333333333333333,0.6333333333333333,0.7666666666666667,,0.05,0.019208665789548142,0.006127450980392157,0.004292929292929293,0.013795855493294592,0.012630766020776599,,0.0032464740282077743
2021-04-10,0.2833333333333333,0.05,,0.65,0.7666666666666667,,0.05,0.01809755467843703,0.006127450980392157,,0.01421252215996126,0.012630766020776599,,0.0032464740282077743
2021-04-11,0.2833333333333333,0.05,0.03333333333333333,0.6666666666666666,0.7666666666666667,,0.05,0.01809755467843703,0.006127450980392157,0.004292929292929293,0.014937159841120679,0.012630766020776599,,0.0032464740282077743
2021-04-12,0.2833333333333333,0.05,0.03333333333333333,0.65,0.7333333333333333,,0.05,0.01809755467843703,0.006127450980392157,0.004292929292929293,0.014749893923517682,0.012390957867299381,,0.0032464740282077743
2021-04-13,0.3,,0.03333333333333333,0.6666666666666666,0.7333333333333333,,0.05,0.018891205472087825,,0.004292929292929293,0.015002419176042935,0.012390957867299381,,0.0032464740282077743
2021-04-14,0.3,0.05,0.03333333333333333,0.7,0.7333333333333333,,0.05,0.018891205472087825,0.006127450980392157,0.004292929292929293,0.015499931613853879,0.012390957867299381,,0.0032464740282077743
2021-04-15,0.2833333333333333,0.05,0.03333333333333333,0.7,0.7333333333333333,,0.05,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.015499931613853879,0.012390957867299381,,0.0032464740282077743
2021-04-16,0.2833333333333333,0.05,0.03333333333333333,0.7,0.7333333333333333,,0.05,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.015499931613853879,0.012390957867299381,,0.0032464740282077743
2021-04-17,0.2833333333333333,0.05,0.03333333333333333,0.7,0.7166666666666667,,0.05,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.015499931613853879,0.012012169988511503,,0.0032464740282077743
2021-04-18,0.2833333333333333,0.05,0.03333333333333333,0.6666666666666666,0.7166666666666667,,0.05,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.014871000796243816,0.012012169988511503,,0.0032464740282077743
2021-04-19,0.2833333333333333,0.05,0.03333333333333333,0.6166666666666667,0.7333333333333333,,0.05,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.014166775444131141,0.01224691177254906,,0.0032464740282077743
2021-04-20,0.2833333333333333,0.05,0.03333333333333333,0.5166666666666667,0.7,,0.05,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.012815424092779788,0.011763819985109447,,0.0032464740282077743
2021-04-21,0.2833333333333333,0.05,0.03333333333333333,0.5,0.75,,0.05,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.012294590759446455,0.012222535581439724,,0.0032464740282077743
2021-04-22,0.2833333333333333,0.05,0.03333333333333333,0.5,0.75,,0.05,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.012294590759446455,0.012222535581439724,,0.0032464740282077743
2021-04-23,0.2833333333333333,0.05,0.03333333333333333,0.4666666666666667,0.7333333333333333,,0.03333333333333333,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.011417397776990317,0.012060723283705095,,0.002369281045751634
2021-04-24,0.2833333333333333,0.05,0.03333333333333333,0.4666666666666667,0.7333333333333333,,0.03333333333333333,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.011417397776990317,0.012060723283705095,,0.002369281045751634
2021-04-25,0.2833333333333333,0.05,0.03333333333333333,0.45,0.7333333333333333,,0.03333333333333333,0.01791081331522508,0.006127450980392157,0.004292929292929293,0.010954434814027353,0.012060723283705095,,0.002369281045751634
2021-04-26,0.26666666666666666,0.05,0.03333333333333333,0.4,0.48333333333333334,,0.016666666666666666,0.017216368870780634,0.006127450980392157,0.004292929292929293,0.010173184814027353,0.009680875923969122,,0.000980392156862745
2021-04-27,0.2833333333333333,0.05,0.016666666666666666,0.38333333333333336,0.48333333333333334,,0.016666666666666666,0.01819676102764338,0.006127450980392157,0.0015151515151515152,0.009818574884949338,0.009680875923969122,,0.000980392156862745
2021-04-28,0.2833333333333333,0.05,0.016666666666666666,0.36666666666666664,0.48333333333333334,,0.016666666666666666,0.01819676102764338,0.006127450980392157,0.0015151515151515152,0.00906099912737358,0.009680875923969122,,0.000980392156862745
2021-04-29,0.2833333333333333,0.05,0.016666666666666666,0.36666666666666664,0.4666666666666667,,0.016666666666666666,0.01819676102764338,0.006127450980392157,0.0015151515151515152,0.00906099912737358,0.009242279432741052,,0.000980392156862745
2021-04-30,0.2833333333333333,0.05,0.016666666666666666,0.36666666666666664,0.4666666666666667,,0.016666666666666666,0.01819676102764338,0.006127450980392157,0.0015151515151515152,0.00906099912737358,0.009242279432741052,,0.000980392156862745
2021-05-01,0.2833333333333333,0.05,0.016666666666666666,0.36666666666666664,0.5,,0.016666666666666666,0.01819676102764338,0.006127450980392157,0.0015151515151515152,0.00906099912737358,0.009675179865641485,,0.000980392156862745
2021-05-02,0.2833333333333333,0.05,0.016666666666666666,0.36666666666666664,0.48333333333333334,,0.016666666666666666,0.01819676102764338,0.006127450980392157,0.0015151515151515152,0.00906099912737358,0.0094300818264258,,0.000980392156862745
2021-05-03,0.25,0.05,0.016666666666666666,0.36666666666666664,0.48333333333333334,,0.016666666666666666,0.016807872138754492,0.006127450980392157,0.0015151515151515152,0.00906099912737358,0.0094300818264258,,0.000980392156862745
2021-05-04,0.25,0.05,0.016666666666666666,0.36666666666666664,0.48333333333333334,,0.016666666666666666,0.016807872138754492,0.006127450980392157,0.0015151515151515152,0.00906099912737358,0.0094300818264258,,0.000980392156862745
2021-05-05,0.25,0.05,0.016666666666666666,0.38333333333333336,0.48333333333333334,,0.016666666666666666,0.016807872138754492,0.006127450980392157,0.0015151515151515152,0.00933877690515136,0.00972500015673433,,0.000980392156862745
2021-05-06,0.25,0.05,0.016666666666666666,0.4,0.5166666666666667,,0.016666666666666666,0.016807872138754492,0.006127450980392157,0.0015151515151515152,0.009653242313956392,0.010014855229198098,,0.000980392156862745
2021-05-07,0.21666666666666667,0.05,0.016666666666666666,0.4,0.5166666666666667,,0.016666666666666666,0.014956020286902637,0.006127450980392157,0.0015151515151515152,0.009653242313956392,0.010077213505842088,,0.000980392156862745
