,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-04-03,80,0.05,0.05,0.03333333333333333,0.38333333333333336,0.08333333333333333,0.0,0.06666666666666667,0.0037499999999999986,0.01111111111111111,0.002441077441077441,0.0077539333752108495,0.0018358493358493358,0.0,0.004208638583638583
2021-04-04,62,0.05,0.05,0.03333333333333333,0.38333333333333336,0.08333333333333333,0.0,0.06666666666666667,0.0037499999999999986,0.01111111111111111,0.002441077441077441,0.0077539333752108495,0.0018358493358493358,0.0,0.004208638583638583
2021-04-05,135,0.05,0.05,0.03333333333333333,0.38333333333333336,0.08333333333333333,0.0,0.06666666666666667,0.0037499999999999986,0.01111111111111111,0.002441077441077441,0.0077539333752108495,0.0018358493358493358,0.0,0.004208638583638583
2021-04-06,81,0.05,0.05,0.03333333333333333,0.38333333333333336,0.1,0.0,0.06666666666666667,0.0037499999999999986,0.01111111111111111,0.002441077441077441,0.0077539333752108495,0.0029469604469604467,0.0,0.004208638583638583
2021-04-07,140,0.06666666666666667,0.05,0.03333333333333333,0.38333333333333336,0.1,0.0,0.06666666666666667,0.004345238095238094,0.01111111111111111,0.002441077441077441,0.0077539333752108495,0.0029469604469604467,0.0,0.004208638583638583
2021-04-08,134,0.06666666666666667,0.05,0.03333333333333333,0.38333333333333336,0.1,0.0,0.06666666666666667,0.004345238095238094,0.01111111111111111,0.002441077441077441,0.0077539333752108495,0.0029469604469604467,0.0,0.004208638583638583
2021-04-09,86,0.06666666666666667,0.05,0.016666666666666666,0.38333333333333336,0.11666666666666667,0.0,0.06666666666666667,0.004345238095238094,0.01111111111111111,0.0015151515151515152,0.0077539333752108495,0.0035025160025160024,0.0,0.004208638583638583
2021-04-10,118,0.06666666666666667,0.05,0.016666666666666666,0.38333333333333336,0.11666666666666667,0.0,0.06666666666666667,0.004345238095238094,0.01111111111111111,0.0015151515151515152,0.0077539333752108495,0.0035025160025160024,0.0,0.004208638583638583
2021-04-11,94,0.06666666666666667,0.05,0.016666666666666666,0.38333333333333336,0.11666666666666667,0.0,0.06666666666666667,0.004345238095238094,0.01111111111111111,0.0015151515151515152,0.0077539333752108495,0.0035025160025160024,0.0,0.004208638583638583
2021-04-12,156,0.06666666666666667,0.05,0.016666666666666666,0.4,0.13333333333333333,0.0,0.06666666666666667,0.004345238095238094,0.01111111111111111,0.0015151515151515152,0.008170600041877517,0.0038426520569377707,0.0,0.004208638583638583
2021-04-13,162,0.06666666666666667,0.05,0.03333333333333333,0.4,0.13333333333333333,0.0,0.05,0.004345238095238094,0.01111111111111111,0.003367003367003367,0.008102612473889948,0.0038426520569377707,0.0,0.002926587301587301
2021-04-14,209,0.03333333333333333,0.05,0.03333333333333333,0.4,0.13333333333333333,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.003367003367003367,0.008102612473889948,0.0038426520569377707,0.0,0.002926587301587301
2021-04-15,273,0.03333333333333333,0.05,0.03333333333333333,0.4166666666666667,0.13333333333333333,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.003367003367003367,0.008321910719503983,0.0038426520569377707,0.0,0.002926587301587301
2021-04-16,198,0.03333333333333333,0.05,0.03333333333333333,0.4166666666666667,0.11666666666666667,0.0,0.06666666666666667,0.0022619047619047605,0.01111111111111111,0.003367003367003367,0.008321910719503983,0.0034722816865674004,0.0,0.0036210317460317457
2021-04-17,111,0.03333333333333333,0.05,0.03333333333333333,0.4166666666666667,0.11666666666666667,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.003367003367003367,0.008321910719503983,0.0034722816865674004,0.0,0.002430555555555555
2021-04-18,123,0.03333333333333333,0.05,0.03333333333333333,0.4,0.11666666666666667,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.003367003367003367,0.008007445310698951,0.0034722816865674004,0.0,0.002430555555555555
2021-04-19,239,0.03333333333333333,0.05,0.03333333333333333,0.4,0.13333333333333333,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.003367003367003367,0.007978464843533822,0.0037070234706049593,0.0,0.002430555555555555
2021-04-20,151,0.03333333333333333,0.05,0.03333333333333333,0.4,0.16666666666666666,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.003367003367003367,0.007978464843533822,0.00428173611428312,0.0,0.002430555555555555
2021-04-21,219,0.03333333333333333,0.05,0.05,0.43333333333333335,0.2,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.004292929292929293,0.008791472973615122,0.004587546511836637,0.0,0.002430555555555555
2021-04-22,223,0.03333333333333333,0.05,0.05,0.45,0.2,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.004292929292929293,0.009060290177916198,0.004587546511836637,0.0,0.002430555555555555
2021-04-23,166,0.03333333333333333,0.05,0.05,0.43333333333333335,0.2,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.004292929292929293,0.008621693686688128,0.004587546511836637,0.0,0.002430555555555555
2021-04-24,248,0.03333333333333333,0.05,0.06666666666666667,0.45,0.2,0.0,0.05,0.0022619047619047605,0.01111111111111111,0.0045661533366451405,0.008838143903138343,0.004587546511836637,0.0,0.002430555555555555
