,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-03-19,0.07142857142857142,0.14285714285714285,0.0,0.7142857142857143,0.07142857142857142,0.0,0.07142857142857142,0.007142857142857138,0.03571428571428571,0.0,0.01537939464949226,0.0011904761904761904,0.0,0.004464285714285714
2021-03-20,0.07142857142857142,0.14285714285714285,0.0,0.7857142857142857,0.07142857142857142,0.0,0.07142857142857142,0.007142857142857138,0.03571428571428571,0.0,0.016229734785546682,0.0011904761904761904,0.0,0.004464285714285714
2021-03-21,0.07142857142857142,0.21428571428571427,0.0,0.8571428571428571,0.07142857142857142,0.0,0.07142857142857142,0.007142857142857138,0.047619047619047616,0.0,0.017400694972900314,0.0011904761904761904,0.0,0.004464285714285714
2021-03-22,0.07142857142857142,0.21428571428571427,0.0,0.9285714285714286,0.07142857142857142,,0.07142857142857142,0.007142857142857138,0.047619047619047616,0.0,0.018552768705619206,0.0011904761904761904,,0.004464285714285714
2021-03-23,0.07142857142857142,0.21428571428571427,0.0,0.9285714285714286,0.07142857142857142,0.0,0.07142857142857142,0.007142857142857138,0.047619047619047616,0.0,0.017124911205797688,0.0011904761904761904,0.0,0.004464285714285714
2021-03-24,0.07142857142857142,0.21428571428571427,0.0,0.8571428571428571,0.07142857142857142,,0.07142857142857142,0.007142857142857138,0.047619047619047616,0.0,0.015914257452771054,0.0011904761904761904,,0.004464285714285714
2021-03-25,0.07142857142857142,0.21428571428571427,0.0,0.8571428571428571,0.07142857142857142,0.0,0.07142857142857142,0.007142857142857138,0.047619047619047616,0.0,0.016008428278649196,0.0011904761904761904,0.0,0.004464285714285714
2021-03-26,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.7857142857142857,0.14285714285714285,,0.07142857142857142,0.007142857142857138,0.047619047619047616,0.006493506493506494,0.013907587942514742,0.002813852813852814,,0.004464285714285714
2021-03-27,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.7142857142857143,0.14285714285714285,,0.07142857142857142,0.007142857142857138,0.047619047619047616,0.006493506493506494,0.01263207773843311,0.002813852813852814,,0.004464285714285714
2021-03-28,0.0,0.14285714285714285,0.07142857142857142,0.7142857142857143,0.14285714285714285,,0.07142857142857142,0.0,0.023809523809523808,0.006493506493506494,0.01263207773843311,0.002813852813852814,,0.004464285714285714
2021-03-29,0.0,0.14285714285714285,0.07142857142857142,0.6428571428571429,0.14285714285714285,0.0,0.07142857142857142,0.0,0.023809523809523808,0.006493506493506494,0.009385324491679864,0.002813852813852814,0.0,0.004464285714285714
2021-03-30,0.0,0.07142857142857142,0.07142857142857142,0.7142857142857143,0.14285714285714285,,0.0,0.0,0.011904761904761904,0.006493506493506494,0.011486164827814319,0.002813852813852814,,0.0
2021-03-31,0.0,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.21428571428571427,,0.07142857142857142,0.0,0.011904761904761904,0.006493506493506494,0.01005759339924289,0.005364873222016079,,0.002976190476190476
2021-04-01,0.0,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.14285714285714285,0.0,0.07142857142857142,0.0,0.011904761904761904,0.006493506493506494,0.01005759339924289,0.0041743970315398895,0.0,0.002976190476190476
2021-04-02,0.0,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.14285714285714285,,0.07142857142857142,0.0,0.011904761904761904,0.006493506493506494,0.007274662044882965,0.0041743970315398895,,0.002976190476190476
2021-04-03,0.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.14285714285714285,,0.07142857142857142,0.0,0.011904761904761904,0.006493506493506494,0.006424321908828543,0.0041743970315398895,,0.002976190476190476
2021-04-04,0.0,0.0,0.07142857142857142,0.2857142857142857,0.14285714285714285,,0.07142857142857142,0.0,0.0,0.006493506493506494,0.005253361721474913,0.0041743970315398895,,0.002976190476190476
2021-04-05,0.0,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.006493506493506494,0.004101287988756018,0.0041743970315398895,0.0,0.002976190476190476
2021-04-06,0.0,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,,0.07142857142857142,0.0,0.0,0.006493506493506494,0.003066091301385418,0.008936301793444651,,0.002976190476190476
2021-04-07,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,,0.07142857142857142,0.0025510204081632603,0.0,0.006493506493506494,0.003066091301385418,0.008936301793444651,,0.002976190476190476
2021-04-08,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,,0.07142857142857142,0.0025510204081632603,0.0,0.006493506493506494,0.002100840336134453,0.008936301793444651,,0.002976190476190476
2021-04-09,0.07142857142857142,0.0,0.0,0.07142857142857142,0.21428571428571427,,0.07142857142857142,0.0025510204081632603,0.0,0.0,0.002100840336134453,0.009693877551020408,,0.002976190476190476
2021-04-10,0.07142857142857142,0.0,,0.07142857142857142,0.21428571428571427,,0.07142857142857142,0.0025510204081632603,0.0,,0.002100840336134453,0.009693877551020408,,0.002976190476190476
