,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,topic
2017-10-24,,,,,,,Gender
2017-10-25,,,,,,,Gender
2017-10-26,,,,,,,Gender
2017-10-27,,,,,,,Gender
2017-10-28,,,,,,,Gender
2017-10-29,,,,,,,Gender
2017-10-30,,,,,,,Gender
2017-10-31,,,,,,,Gender
2017-11-01,,,,,,,Gender
2017-11-02,,,,,,,Gender
2017-11-03,,,,,,,Gender
2017-11-04,,,,,,,Gender
2017-11-05,,,,,,,Gender
2017-11-06,,,,,,,Gender
2017-11-07,,,,,,,Gender
2017-11-08,,,,,,,Gender
2017-11-09,,,,,,,Gender
2017-11-10,,,,,,,Gender
2017-11-11,,,,,,,Gender
2017-11-12,,,,,,,Gender
2017-11-13,,,,,,,Gender
2017-11-14,,,,,,,Gender
2017-11-15,,,,,,,Gender
2017-11-16,,,,,,,Gender
2017-11-17,,,,,,,Gender
2017-11-18,,,,,,,Gender
2017-11-19,,,,,,,Gender
2017-11-20,,,,,,,Gender
2017-11-21,,,,,,,Gender
2017-11-22,10.0,0.0,0.0,1.0,2.0,1.0,Gender
2017-11-23,10.0,0.0,0.0,1.0,2.0,1.0,Gender
2017-11-24,11.0,0.0,0.0,1.0,2.0,1.0,Gender
2017-11-25,11.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-11-26,12.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-11-27,11.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-11-28,11.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-11-29,11.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-11-30,11.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-12-01,11.0,0.0,0.0,2.0,2.0,2.0,Gender
2017-12-02,11.0,0.0,0.0,2.0,2.0,2.0,Gender
2017-12-03,11.0,0.0,0.0,2.0,2.0,2.0,Gender
2017-12-04,11.0,0.0,0.0,2.0,2.0,2.0,Gender
2017-12-05,11.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-12-06,10.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-12-07,10.0,0.0,0.0,1.0,3.0,2.0,Gender
2017-12-08,9.0,0.0,0.0,1.0,3.0,2.0,Gender
