hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
besuchen,26,8,1,11,1,1,4,0
kultur,26,14,1,9,1,1,0,0
enden,26,13,1,6,4,2,0,0
familie,25,9,1,9,3,1,2,0
laufen,25,13,0,7,2,1,2,0
plenum,25,20,0,4,0,1,0,0
hier,25,5,0,13,1,2,4,0
fordern,25,12,1,9,1,1,1,0
all,24,8,1,11,1,3,0,0
super,24,7,1,11,2,0,3,0
hören,24,10,0,8,5,1,0,0
teilen,24,7,0,12,1,1,3,0
gelten,24,7,1,11,3,0,2,0
wort,24,5,1,10,2,6,0,0
nehmen,24,6,3,10,2,1,2,0
krise,24,5,1,12,1,1,4,0
bundesregierung,23,2,6,8,0,5,2,0
engagement,23,11,0,5,2,2,3,0
morgen,23,10,2,6,2,1,2,0
warum,23,5,6,7,3,1,1,0
direkt,23,4,0,17,1,1,0,0
deshalb,23,11,0,9,3,0,0,0
wissenschaft,23,4,1,17,0,0,1,0
wohnen,23,11,0,10,0,1,1,0
idee,23,6,0,8,1,3,5,0
kampf,23,10,1,9,1,0,2,0
arbeiten,23,8,1,7,2,3,2,0
brandenburg,23,6,1,12,1,1,2,0
klargehtdas,23,0,0,23,0,0,0,0
ja,22,4,0,15,0,0,3,0
hellersdorf,22,16,1,2,1,0,2,0
agh21,22,13,0,7,0,0,2,0
stärken,22,4,0,11,4,2,1,0
spannend,22,7,0,10,1,0,4,0
großartig,22,5,0,12,1,0,4,0
infostand,22,6,10,4,1,1,0,0
erneut,22,16,0,5,1,0,0,0
afghanistan,22,5,7,3,0,1,6,0
alt,22,6,1,12,1,1,1,0
sprechen,21,7,1,10,1,1,0,1
antrag,21,3,3,9,0,3,3,0
am,21,9,2,7,1,2,0,0
eigentlich,21,2,7,4,2,4,2,0
fürs,21,6,0,12,1,2,0,0
gerade,21,5,0,10,1,3,2,0
falsch,21,11,0,1,5,0,4,0
dafür,21,6,1,9,1,0,4,0
kandidieren,21,17,0,3,0,0,1,0
loben,21,3,0,15,1,1,1,0
zum,21,9,3,5,2,1,1,0
uhr,21,11,0,6,3,0,1,0
solidarisch,21,6,0,13,1,1,0,0
weiterhin,20,3,2,9,2,2,1,1
klima,20,5,1,11,2,1,0,0
treffen,20,8,0,7,0,2,3,0
impfung,20,1,4,5,5,1,4,0
diskussion,20,8,1,5,0,4,2,0
kandidatur,20,17,1,1,0,1,0,0
tun,20,2,0,13,1,1,3,0
verstehen,20,5,1,9,3,0,2,0
info,20,4,1,12,2,0,1,0
denn,20,3,4,9,2,1,1,0
mitte,20,5,2,9,1,1,2,0
sagen,20,6,0,8,2,1,3,0
verantwortung,20,5,0,8,1,1,5,0
haben,20,7,1,7,2,2,1,0
herzlich,20,2,6,10,2,0,0,0
zusammenarbeit,20,3,0,11,0,3,3,0
alle,19,8,0,7,2,1,1,0
beteiligte,19,5,0,9,2,2,1,0
jed,19,1,3,9,3,1,1,1
ergebnis,19,7,2,6,1,3,0,0
aktion,19,9,0,5,3,0,1,1
000,19,3,0,6,6,0,4,0
schnelltests,19,5,0,12,0,0,2,0
abend,19,4,0,11,1,1,2,0
fahren,19,3,4,8,1,1,2,0
april,19,13,1,5,0,0,0,0
sehr,19,4,1,9,1,2,2,0
hoffen,19,11,0,4,1,1,2,0
debatte,19,10,0,5,0,2,2,0
vorschlag,19,5,0,7,3,1,3,0
hand,19,4,0,5,5,1,4,0
zeichen,19,2,2,12,3,0,0,0
hausen,19,11,0,6,2,0,0,0
wissen,19,3,4,8,2,1,1,0
kraft,18,9,2,4,1,1,1,0
unternehmen,18,5,0,8,0,2,3,0
kennen,18,4,1,6,3,3,1,0
nachricht,18,2,1,11,1,2,1,0
angebot,18,4,0,6,6,0,2,0
freiheit,18,2,6,5,1,2,2,0
verhindern,18,5,3,6,3,0,1,0
polizei,18,1,3,7,4,0,2,1
problem,18,4,1,4,3,5,1,0
aktiv,18,15,0,1,1,0,1,0
erhalten,18,7,0,3,5,1,2,0
deutlich,18,4,1,7,4,1,1,0
wohnung,18,5,2,4,1,1,5,0
beginnen,18,8,1,6,1,2,0,0
damit,18,6,2,6,4,0,0,0
neu,18,4,1,7,3,0,3,0
politische,18,5,0,8,1,1,3,0
dann,18,3,0,6,1,4,4,0
wahlprogramm,17,6,0,7,1,1,2,0
welt,17,4,3,6,0,3,1,0
richtig,17,3,0,7,1,2,4,0
ziehen,17,2,0,5,6,3,1,0
deutsch,17,2,5,5,0,3,2,0
veranstaltung,17,10,1,5,1,0,0,0
seite,17,4,1,8,1,1,2,0
beschließen,17,9,0,4,4,0,0,0
gedenken,17,6,1,6,3,1,0,0
stimmen,17,7,2,1,0,6,1,0
beispiel,17,7,3,3,0,3,1,0
nutzen,17,8,2,3,2,2,0,0
30,17,5,1,8,1,1,1,0
europa,17,3,5,6,0,2,1,0
maßnahme,17,3,1,4,1,4,3,1
pflege,17,11,0,3,2,0,1,0
personal,17,9,0,5,0,0,3,0
erinnern,17,9,0,2,1,2,3,0
großartige,17,7,0,7,1,1,1,0
hoffentlich,17,1,1,9,3,2,1,0
versuchen,17,3,1,8,0,2,3,0
glauben,17,4,3,6,1,1,2,0
abgeordnete,17,5,3,7,1,1,0,0
nach,16,5,2,6,0,1,1,1
testen,16,5,0,9,0,0,2,0
lieben,16,5,1,4,2,1,3,0
erfolgreich,16,2,2,5,2,2,3,0
monat,16,3,1,5,3,2,2,0
lage,16,2,2,6,2,1,3,0
hoch,16,3,3,5,1,2,2,0
bauen,16,3,1,7,1,0,4,0
tag,16,6,0,5,2,0,3,0
sache,16,4,0,5,3,3,1,0
denken,16,6,2,4,2,0,2,0
gesundheit,16,6,2,6,0,1,1,0
suchen,16,6,1,4,1,2,2,0
nicht,16,6,1,3,2,2,2,0
nochmal,16,5,0,10,0,0,1,0
lernen,15,6,0,6,0,2,1,0
geld,15,3,1,8,2,1,0,0
umsetzen,15,5,0,7,0,1,2,0
nachhaltig,15,3,0,9,1,2,0,0
erreichen,15,3,0,6,3,0,3,0
fraktion,15,2,0,9,0,1,3,0
austausch,15,4,0,7,0,1,3,0
ines,15,15,0,0,0,0,0,0
helfer,15,2,10,2,0,0,1,0
dr,15,0,9,3,0,0,2,1
retten,15,2,3,6,2,0,2,0
stelle,15,13,0,1,1,0,0,0
million,15,7,1,3,1,1,2,0
verdienen,15,3,1,5,1,3,2,0
bürgern,15,0,9,2,0,0,4,0
art,15,3,2,8,2,0,0,0
malen,15,1,2,8,2,1,1,0
bieten,15,2,0,8,3,1,0,1
antwort,15,4,3,5,0,1,2,0
echt,15,3,2,6,2,1,1,0
ermöglichen,15,4,0,9,1,0,1,0
antisemitismus,15,3,0,9,1,1,1,0
fall,15,7,1,3,1,2,1,0
beitrag,15,4,0,8,2,1,0,0
2021,15,4,1,6,1,0,3,0
15,15,7,0,5,0,3,0,0
sorgen,15,3,2,5,0,4,1,0
allesistdrin,15,0,0,15,0,0,0,0
koalition,15,2,0,7,3,0,3,0
gesetz,15,3,0,7,3,1,1,0
mpk,15,4,0,8,1,0,2,0
soziale,15,12,0,3,0,0,0,0
diskutieren,14,5,0,2,5,2,0,0
einsetzen,14,4,2,6,1,1,0,0
lockdown,14,0,2,5,1,4,2,0
lasst,14,4,1,4,4,0,1,0
einladung,14,2,0,9,1,1,1,0
deswegen,14,7,0,3,0,0,4,0
engagieren,14,2,1,6,3,1,0,1
entscheiden,14,5,0,4,4,1,0,0
umsetzung,14,7,0,3,1,1,2,0
organisieren,14,5,0,7,0,2,0,0
treptow,14,5,0,4,2,3,0,0
insbesondere,14,3,2,4,2,1,1,1
sicher,14,4,1,7,2,0,0,0
haltung,14,4,0,3,1,3,3,0
israel,14,1,1,4,1,2,5,0
fragen,14,4,1,6,3,0,0,0
schaden,14,3,0,5,3,3,0,0
schließen,14,4,2,5,2,1,0,0
26,14,7,4,0,1,2,0,0
dass,14,3,1,7,1,2,0,0
10,14,5,0,6,0,1,2,0
schreiben,14,7,2,3,2,0,0,0
hab,14,7,0,5,2,0,0,0
grenze,14,1,12,0,1,0,0,0
demo,14,6,1,6,1,0,0,0
demokratisch,14,4,1,5,0,1,3,0
ökologisch,14,5,0,9,0,0,0,0
vor,13,4,0,7,0,2,0,0
impfstoff,13,4,2,1,0,0,6,0
persönlich,13,7,0,3,0,1,2,0
parlament,13,1,1,6,3,1,1,0
absolut,13,1,0,6,1,2,3,0
gehts,13,3,0,6,4,0,0,0
btw21,13,6,1,4,0,0,2,0
als,13,5,0,4,2,1,1,0
kommend,13,4,0,6,1,0,2,0
rathaus,13,2,1,5,4,1,0,0
stadtgesellschaft,13,13,0,0,0,0,0,0
steglitz,13,1,0,6,0,5,1,0
starke,13,1,0,7,0,4,1,0
bis,13,8,0,2,2,0,1,0
abstehen,13,1,2,4,5,1,0,0
endlich,13,5,2,6,0,0,0,0
groß,13,6,0,5,1,1,0,0
schreiten,13,0,1,9,0,1,2,0
machen,13,4,0,4,1,1,3,0
spende,13,4,0,6,2,0,1,0
liegen,13,2,0,5,1,4,1,0
link,13,4,4,3,1,0,1,0
verkehrswende,13,4,0,9,0,0,0,0
lsbtiq,13,0,0,13,0,0,0,0
informieren,13,2,7,3,1,0,0,0
linkelpt,13,13,0,0,0,0,0,0
weiß,13,4,3,2,1,3,0,0
opfern,13,3,1,4,0,4,1,0
jung,13,4,1,5,1,1,1,0
interesse,13,5,0,1,3,0,4,0
tragen,13,3,2,5,1,0,2,0
kaulsdorf,13,10,0,2,1,0,0,0
notwendig,13,5,0,4,0,2,2,0
werben,13,7,1,3,0,0,1,1
nur,13,3,1,4,1,2,2,0
freue,12,3,0,7,1,0,1,0
man,12,3,1,3,2,3,0,0
bild,12,1,1,4,3,1,2,0
kommen,12,4,0,5,0,2,1,0
bildung,12,3,0,5,0,4,0,0
erklären,12,1,2,4,0,3,2,0
zu,12,4,1,2,3,2,0,0
meinung,12,3,1,2,3,1,2,0
erwarten,12,1,1,5,2,0,3,0
dringen,12,6,0,2,1,2,1,0
staat,12,2,1,3,2,4,0,0
köpenick,12,4,0,2,1,5,0,0
bereich,12,4,1,2,1,3,1,0
