,Gender,Geschlecht,tweet_genders,Feminismus,Frauen,Männer,party
2017-10-24,,,,,,,AFD
2017-10-25,,,,,,,AFD
2017-10-26,,,,,,,AFD
2017-10-27,,,,,,,AFD
2017-10-28,,,,,,,AFD
2017-10-29,,,,,,,AFD
2017-10-30,,,,,,,AFD
2017-10-31,,,,,,,AFD
2017-11-01,,,,,,,AFD
2017-11-02,,,,,,,AFD
2017-11-03,,,,,,,AFD
2017-11-04,,,,,,,AFD
2017-11-05,,,,,,,AFD
2017-11-06,,,,,,,AFD
2017-11-07,,,,,,,AFD
2017-11-08,,,,,,,AFD
2017-11-09,,,,,,,AFD
2017-11-10,,,,,,,AFD
2017-11-11,,,,,,,AFD
2017-11-12,,,,,,,AFD
2017-11-13,,,,,,,AFD
2017-11-14,,,,,,,AFD
2017-11-15,,,,,,,AFD
2017-11-16,,,,,,,AFD
2017-11-17,,,,,,,AFD
2017-11-18,,,,,,,AFD
2017-11-19,,,,,,,AFD
2017-11-20,,,,,,,AFD
2017-11-21,,,,,,,AFD
2017-11-22,10.0,7.0,0.0,0.0,9.0,7.0,AFD
2017-11-23,10.0,7.0,0.0,0.0,9.0,8.0,AFD
2017-11-24,11.0,7.0,0.0,0.0,9.0,8.0,AFD
2017-11-25,11.0,7.0,1.0,0.0,10.0,7.0,AFD
2017-11-26,12.0,7.0,1.0,0.0,10.0,7.0,AFD
2017-11-27,11.0,7.0,1.0,0.0,10.0,7.0,AFD
2017-11-28,11.0,7.0,1.0,0.0,10.0,7.0,AFD
2017-11-29,11.0,7.0,1.0,0.0,11.0,7.0,AFD
2017-11-30,11.0,8.0,1.0,0.0,11.0,7.0,AFD
2017-12-01,11.0,8.0,1.0,0.0,11.0,7.0,AFD
2017-12-02,11.0,8.0,1.0,0.0,10.0,7.0,AFD
2017-12-03,11.0,8.0,1.0,0.0,10.0,7.0,AFD
2017-12-04,11.0,8.0,1.0,0.0,10.0,6.0,AFD
2017-12-05,11.0,8.0,1.0,0.0,10.0,6.0,AFD
2017-12-06,10.0,8.0,1.0,0.0,10.0,6.0,AFD
2017-12-07,10.0,8.0,1.0,0.0,12.0,6.0,AFD
2017-12-08,9.0,5.0,2.0,0.0,12.0,6.0,AFD
2017-12-09,8.0,3.0,2.0,0.0,12.0,6.0,AFD
2017-12-10,9.0,3.0,3.0,0.0,12.0,6.0,AFD
2017-12-11,9.0,3.0,3.0,0.0,11.0,6.0,AFD
2017-12-12,8.0,3.0,3.0,0.0,10.0,6.0,AFD
2017-12-13,8.0,4.0,4.0,0.0,11.0,6.0,AFD
2017-12-14,8.0,4.0,4.0,0.0,12.0,6.0,AFD
2017-12-15,5.0,3.0,4.0,0.0,12.0,5.0,AFD
2017-12-16,4.0,2.0,4.0,0.0,13.0,5.0,AFD
