hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
bundestagswahl,301,45,83,52,37,33,51
10,301,50,51,67,28,71,34
deutlich,298,56,61,45,19,66,51
million,296,54,46,80,32,51,33
familie,293,44,75,49,34,51,40
schwarz,292,15,48,85,28,41,75
herzliche,292,85,48,33,13,50,63
link,292,21,10,97,114,33,17
anhalt,290,52,37,39,46,61,55
gleich,290,35,51,77,37,65,25
gerne,290,71,43,50,27,47,52
leute,289,21,32,96,52,54,34
ja,288,40,43,75,35,39,56
wirtschaft,288,60,61,52,22,26,67
staat,283,41,37,62,32,38,73
mehrheit,282,23,38,96,33,49,43
wirecard,282,69,43,111,6,23,30
deshalb,281,54,46,72,14,65,30
können,279,35,51,72,27,51,43
warum,278,22,49,53,60,35,59
aktuell,276,49,57,74,30,19,47
klar,276,76,57,36,27,42,38
als,275,70,43,66,22,38,36
ergebnis,273,49,58,44,30,40,52
gespräch,272,76,40,63,24,44,25
unternehmen,271,45,50,56,10,52,58
schön,271,37,59,51,31,62,31
euro,271,39,44,74,27,49,38
handeln,270,56,58,56,16,42,42
20,269,46,50,62,26,53,32
fragen,269,34,51,82,37,28,37
verstehen,267,31,45,51,21,55,64
mietendeckel,267,28,11,123,5,12,88
verhindern,267,28,50,60,25,56,48
usa,266,46,35,83,17,51,34
bildung,265,50,56,53,11,23,72
stadt,265,62,64,53,19,31,36
bürgern,265,59,15,16,101,25,49
man,264,40,36,60,41,35,52
erfolgen,264,67,50,40,15,48,44
000,264,52,33,70,25,47,37
debatte,263,36,40,72,15,30,70
völlig,262,41,38,52,46,34,51
schützen,261,39,72,46,23,47,34
fahren,261,45,48,44,29,46,49
gewinnen,260,67,44,62,13,48,26
lockdown,260,17,22,32,65,54,70
vertrauen,256,65,50,32,20,30,59
entscheidung,252,41,47,51,22,52,39
nutzen,252,56,48,56,9,38,45
denken,252,40,36,58,28,46,44
baerbock,251,33,55,45,70,12,36
schnellen,251,41,39,40,20,61,50
unterstützung,250,50,59,37,17,60,27
fall,250,32,50,48,33,52,35
beispiel,248,42,48,58,10,49,41
ganz,247,27,28,25,115,27,25
geld,247,11,52,58,29,50,47
mehr,247,47,58,47,12,28,55
demokrat,246,18,24,9,8,13,174
einsatz,243,65,44,51,9,43,31
solidarität,241,23,55,98,7,49,9
nein,241,22,21,57,48,49,44
30,240,52,51,45,28,28,36
zum,240,37,52,60,17,37,37
leisten,238,52,41,59,10,52,24
morgen,238,51,33,40,52,37,25
vor,237,40,45,58,25,41,28
schreiben,237,38,33,74,15,44,33
dass,237,23,53,65,16,39,41
öffentlich,237,16,44,85,17,33,42
