hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
selbstbestimmung,16,2,4,2,1,0,7
zielen,16,3,3,3,2,2,3
schaffen,16,3,2,2,3,1,5
eingriff,16,2,3,1,2,0,8
3k21,16,0,0,0,0,0,16
handeln,16,3,4,2,1,2,4
china,16,3,0,0,1,2,10
rechtsstaatlichkeit,16,4,5,0,3,2,2
privileg,16,6,0,0,3,0,7
groß,16,5,1,3,1,3,3
niemals,16,1,0,4,2,2,7
vor,16,0,2,0,1,6,7
ausgangssperre,16,1,0,0,7,0,8
wirholendasdirektmandat,15,0,0,0,15,0,0
freie,15,1,2,2,1,1,8
ermöglichen,15,2,2,2,1,3,5
tb,15,0,0,0,0,0,15
hier,15,0,3,0,6,2,4
urteilen,15,2,4,1,2,2,4
grund,15,5,2,1,2,1,4
seit,15,3,4,0,3,3,2
usa,15,3,2,2,1,3,4
gefährden,15,3,1,1,6,3,1
zum,15,0,3,2,3,0,7
alt,15,5,0,1,1,2,6
impfpflicht,15,0,0,0,10,3,2
gleich,15,3,3,1,2,4,2
diktatur,15,7,1,0,1,3,3
deshalb,15,3,1,1,2,4,4
bürger,15,0,2,0,6,2,5
deutsch,15,4,1,0,4,1,5
bürgerin,15,4,1,2,0,3,5
man,15,2,3,1,2,2,5
dank,15,5,0,0,5,1,4
innovation,14,1,2,0,0,0,11
aktuell,14,2,3,0,3,1,5
geschichte,14,4,1,1,1,2,5
toleranz,14,4,2,0,0,2,6
gera,14,0,0,0,14,0,0
monat,14,2,6,0,3,1,2
deutschlandabernormal,14,0,0,0,14,0,0
debatte,14,4,1,1,0,1,7
raus,14,5,2,3,2,1,1
impfstoff,14,5,0,1,2,2,4
damit,14,2,1,1,3,1,6
liberale,14,1,0,0,1,1,11
aus,14,4,0,1,1,4,4
geburtstag,14,2,1,2,1,6,2
politische,14,2,1,2,3,0,6
haft,14,1,5,1,2,3,2
eigentum,14,3,0,1,0,0,10
versuchen,14,1,2,1,2,6,2
künftig,14,0,10,0,1,1,2
nächst,14,2,3,2,1,0,6
sterben,14,0,1,1,3,6,3
angst,14,3,0,0,2,5,4
westandbyyou,14,1,8,0,0,3,2
als,13,0,1,2,7,1,2
regel,13,2,1,3,3,2,2
entscheiden,13,3,4,0,2,1,3
gehören,13,4,2,2,2,1,2
dafür,13,2,0,2,1,1,7
bedeuten,13,0,2,1,4,0,6
dbdk21,13,0,13,0,0,0,0
fraktion,13,0,0,0,10,3,0
voll,13,3,3,0,0,2,5
mitte,13,2,2,0,2,1,6
tragen,13,3,3,0,2,1,4
fest,13,5,1,1,2,1,3
meine,13,2,3,0,3,0,5
feiern,13,3,1,3,2,4,0
deutlich,13,5,2,0,2,2,2
soziale,13,1,2,7,1,0,2
verbieten,13,4,1,3,1,0,4
normalität,13,6,1,0,3,1,2
genau,13,2,0,1,2,1,7
von,13,1,1,1,3,5,2
eigenverantwortung,13,2,0,0,7,0,4
gegen,13,1,1,1,7,2,1
verfassung,13,1,1,0,3,1,7
bauen,12,1,1,0,3,6,1
weiterhin,12,1,0,0,8,2,1
vernunft,12,1,1,0,4,0,6
greiz,12,0,0,0,12,0,0
2021,12,2,1,0,2,2,5
digital,12,2,0,0,1,0,9
maßnahme,12,3,1,0,2,2,4
linke,12,2,0,4,3,0,3
idee,12,3,0,0,1,2,6
lässt,12,2,1,1,2,1,5
gerne,12,0,1,1,5,3,2
fortschreiten,12,0,0,0,0,0,12
konsequent,12,1,4,1,2,1,3
klar,12,2,1,1,4,1,3
weiß,12,1,2,0,1,3,5
million,12,3,1,1,2,4,1
bürgerrechte,12,0,0,0,8,0,4
gefahr,12,0,2,1,1,4,4
demokrat,12,0,1,0,0,1,10
sed,12,5,1,0,2,0,4
sogar,12,4,0,0,3,2,3
