,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-04-04,0.15,0.3,0.38333333333333336,0.65,0.8166666666666667,0.4666666666666667,0.002732617372719323,0.0029462522122752363,0.0030705781531059997,0.005067823448785718,0.005371835631653295,0.0035739894220331555
2021-04-05,0.15,0.3,0.38333333333333336,0.6666666666666666,0.8166666666666667,0.4666666666666667,0.002732617372719323,0.0029462522122752363,0.0030705781531059997,0.005382288857590749,0.005551665071771945,0.0035739894220331555
2021-04-06,0.15,0.31666666666666665,0.38333333333333336,0.6666666666666666,0.7833333333333333,0.4666666666666667,0.002732617372719323,0.0031809939963127953,0.003104204956725467,0.005382288857590749,0.005299139819246693,0.0035739894220331555
2021-04-07,0.15,0.31666666666666665,0.38333333333333336,0.6833333333333333,0.7833333333333333,0.48333333333333334,0.002732617372719323,0.0031809939963127953,0.003104204956725467,0.005520029904422705,0.005299139819246693,0.003765560303259209
2021-04-08,0.11666666666666667,0.3,0.38333333333333336,0.6833333333333333,0.7666666666666667,0.48333333333333334,0.0021036865551092602,0.003022263837582637,0.0030741929519235455,0.005520029904422705,0.0051053413696342895,0.003765560303259209
2021-04-09,0.11666666666666667,0.31666666666666665,0.43333333333333335,0.7,0.75,0.5,0.002292520709460656,0.0032570056216201953,0.003541698816396404,0.005620431510848409,0.004960413833402405,0.003950745488444394
2021-04-10,0.11666666666666667,0.31666666666666665,0.43333333333333335,0.65,0.75,0.5,0.002292520709460656,0.0032570056216201953,0.003541698816396404,0.00529004151820676,0.004960413833402405,0.003950745488444394
2021-04-11,0.11666666666666667,0.3333333333333333,0.43333333333333335,0.6666666666666666,0.75,0.48333333333333334,0.002292520709460656,0.003393617643478119,0.003541698816396404,0.005441556669721912,0.004960413833402405,0.0038686436822046566
2021-04-12,0.11666666666666667,0.3333333333333333,0.45,0.6833333333333333,0.8,0.48333333333333334,0.002292520709460656,0.003393617643478119,0.003670897782804673,0.005602376637129065,0.0052850891580777295,0.0038686436822046566
2021-04-13,0.11666666666666667,0.3333333333333333,0.4666666666666667,0.7,0.7833333333333333,0.4666666666666667,0.002292520709460656,0.003393617643478119,0.0037350003469072365,0.005749869262497796,0.005145792753110479,0.00376884328300306
2021-04-14,0.11666666666666667,0.3333333333333333,0.48333333333333334,0.7333333333333333,0.8166666666666667,0.48333333333333334,0.002292520709460656,0.003393617643478119,0.0038354019533329395,0.0060501695627980965,0.005290092897410624,0.003877068391228168
2021-04-15,0.11666666666666667,0.3333333333333333,0.5,0.7666666666666667,0.8,0.5166666666666667,0.002292520709460656,0.003393617643478119,0.003902606254408208,0.006287405595944314,0.005114654300919396,0.00407908859324837
2021-04-16,0.11666666666666667,0.35,0.5,0.7666666666666667,0.8,0.5,0.002292520709460656,0.0035619678118282874,0.003902606254408208,0.006275208093992713,0.005114654300919396,0.003885290143635967
2021-04-17,0.11666666666666667,0.3333333333333333,0.4666666666666667,0.75,0.8,0.5,0.002292520709460656,0.0033808083915384327,0.0036727211969369436,0.006114951683736302,0.005114654300919396,0.003885290143635967
2021-04-18,0.1,0.31666666666666665,0.4666666666666667,0.75,0.8,0.4666666666666667,0.00204742267024497,0.0032035034269994257,0.0036727211969369436,0.006141079296497579,0.005114654300919396,0.0036142874336088666
2021-04-19,0.1,0.31666666666666665,0.48333333333333334,0.7666666666666667,0.7833333333333333,0.5166666666666667,0.00204742267024497,0.0032035034269994257,0.0037672145172367158,0.006219695648698837,0.0049902761914666595,0.003782298186297039
2021-04-20,0.1,0.31666666666666665,0.5,0.7666666666666667,0.7833333333333333,0.5,0.00204742267024497,0.0032035034269994257,0.0038338545278991175,0.006230210232426466,0.0049902761914666595,0.0036422421638880754
2021-04-21,0.08333333333333333,0.31666666666666665,0.5166666666666667,0.75,0.8,0.5,0.0016409186052043195,0.0032035034269994257,0.003907600840583484,0.006075889244772145,0.005086061632079686,0.0036422421638880754
2021-04-22,0.08333333333333333,0.3,0.5,0.7833333333333333,0.8,0.5,0.0016409186052043195,0.003056010801630694,0.0036430505760332186,0.006282928582246266,0.005086061632079686,0.0036422421638880754
2021-04-23,0.08333333333333333,0.3,0.48333333333333334,0.7666666666666667,0.8166666666666667,0.5166666666666667,0.0016409186052043195,0.003056010801630694,0.003552285468820743,0.006135435956877534,0.005172417417917337,0.0037457618326251357
2021-04-24,0.08333333333333333,0.3,0.5,0.7666666666666667,0.7833333333333333,0.5166666666666667,0.0016409186052043195,0.003056010801630694,0.0036959636297402834,0.006135435956877534,0.0049236611990118645,0.0037457618326251357
2021-04-25,0.08333333333333333,0.3,0.5333333333333333,0.7666666666666667,0.7833333333333333,0.48333333333333334,0.0016409186052043195,0.003056010801630694,0.004117904558010326,0.006135435956877534,0.0049236611990118645,0.003529311616174919
2021-04-26,0.08333333333333333,0.3,0.55,0.75,0.7666666666666667,0.4666666666666667,0.0016409186052043195,0.003056010801630694,0.0042751372624128415,0.006006236990469265,0.00483405546424484,0.0034251449495082526
2021-04-27,0.1,0.3,0.5666666666666667,0.75,0.7166666666666667,0.45,0.0019742519385376528,0.003056010801630694,0.004416380200265949,0.00608660037271944,0.004633252251393435,0.0032874039026762965
2021-04-28,0.1,0.31666666666666665,0.5666666666666667,0.7666666666666667,0.6666666666666666,0.45,0.0019742519385376528,0.0032782330238529164,0.004416380200265949,0.006236750522869591,0.0044402020583432416,0.0032874039026762965
2021-04-29,0.11666666666666667,0.31666666666666665,0.5833333333333334,0.75,0.6666666666666666,0.45,0.002193550184151688,0.0032782330238529164,0.004562579030675305,0.006070083856202923,0.0044402020583432416,0.0032874039026762965
2021-04-30,0.13333333333333333,0.31666666666666665,0.5833333333333334,0.7166666666666667,0.6666666666666666,0.4666666666666667,0.002418775409376913,0.0032782330238529164,0.004562579030675305,0.005895563786394896,0.004430868610136699,0.0034156090308814246
2021-05-01,0.13333333333333333,0.3,0.6,0.7,0.65,0.4666666666666667,0.002418775409376913,0.003160029714160245,0.004895912364008639,0.0057894066738683565,0.004316723853134799,0.0034156090308814246
2021-05-02,0.13333333333333333,0.3,0.5666666666666667,0.7166666666666667,0.65,0.4666666666666667,0.002418775409376913,0.003160029714160245,0.004746435532917457,0.005974591859053541,0.0045162543695667235,0.0034156090308814246
2021-05-03,0.13333333333333333,0.31666666666666665,0.5666666666666667,0.7166666666666667,0.6333333333333333,0.48333333333333334,0.002418775409376913,0.0033373346786992517,0.004746435532917457,0.005974591859053541,0.0045217372766040344,0.0035929139954204315
2021-05-04,0.13333333333333333,0.31666666666666665,0.5833333333333334,0.7333333333333333,0.6166666666666667,0.4666666666666667,0.002418775409376913,0.0033373346786992517,0.004862985649467574,0.0061274970578303,0.004425398162923881,0.0034755431034016525
2021-05-05,0.13333333333333333,0.3,0.5833333333333334,0.7833333333333333,0.6333333333333333,0.48333333333333334,0.002317765308366812,0.0031723181770490863,0.004862985649467574,0.006389277162542342,0.004510432176529323,0.00358519222620867
2021-05-06,0.15,0.3,0.6,0.7666666666666667,0.65,0.48333333333333334,0.002626407283675454,0.0031723181770490863,0.004985534669075416,0.006234824569065359,0.004570818649959275,0.00358519222620867
2021-05-07,0.16666666666666666,0.3,0.5833333333333334,0.7666666666666667,0.65,0.48333333333333334,0.0029294375867057573,0.0031723181770490863,0.004777201335742083,0.006200957573991467,0.004570818649959275,0.00358519222620867
2021-05-08,0.18333333333333332,0.3333333333333333,0.6,0.7833333333333333,0.6166666666666667,0.5333333333333333,0.003434488091756262,0.0033719189754522804,0.005005511838025187,0.006325874797518046,0.0043543684335090585,0.0039639801049965485
2021-05-09,0.18333333333333332,0.3333333333333333,0.5833333333333334,0.7833333333333333,0.6166666666666667,0.5333333333333333,0.003434488091756262,0.0033719189754522804,0.004901992169288128,0.006325874797518046,0.0043543684335090585,0.0039639801049965485
2021-05-10,0.2,0.36666666666666664,0.5833333333333334,0.7833333333333333,0.6,0.5333333333333333,0.003669229875793821,0.00381051546668035,0.004901992169288128,0.006325874797518046,0.004257469208702857,0.0039639801049965485
2021-05-11,0.2,0.36666666666666664,0.5833333333333334,0.7833333333333333,0.6166666666666667,0.5166666666666667,0.003669229875793821,0.00381051546668035,0.004890193355911644,0.006325874797518046,0.004345458313356333,0.0038037236947401384
2021-05-12,0.2,0.35,0.5833333333333334,0.8166666666666667,0.6166666666666667,0.5166666666666667,0.003669229875793821,0.003654752226804961,0.004890193355911644,0.006504127916947636,0.004345458313356333,0.0038037236947401384
2021-05-13,0.2,0.35,0.5833333333333334,0.7833333333333333,0.5833333333333334,0.4666666666666667,0.003669229875793821,0.003654752226804961,0.004890193355911644,0.006325874797518046,0.004001815701672484,0.0035006933917098356
2021-05-14,0.2,0.35,0.5833333333333334,0.75,0.6,0.43333333333333335,0.003669229875793821,0.003654752226804961,0.004890193355911644,0.006106576551904011,0.004195614151284887,0.0032813951460958003
2021-05-15,0.2,0.35,0.5833333333333334,0.7333333333333333,0.6,0.45,0.003669229875793821,0.0036993811374132534,0.004890193355911644,0.0059653336140509045,0.004195614151284887,0.0034606066156298502
2021-05-16,0.2,0.35,0.5833333333333334,0.6833333333333333,0.6166666666666667,0.45,0.003669229875793821,0.0036993811374132534,0.004890193355911644,0.005603014773471194,0.004729802185472922,0.003478202336350571
2021-05-17,0.21666666666666667,0.35,0.5833333333333334,0.6666666666666666,0.65,0.4166666666666667,0.003882905089469035,0.0036993811374132534,0.004890193355911644,0.005519262679668849,0.005053426780942177,0.0033120105034920716
2021-05-18,0.21666666666666667,0.35,0.5833333333333334,0.6333333333333333,0.6166666666666667,0.45,0.003882905089469035,0.0036993811374132534,0.004869029334747623,0.005353425200398534,0.004890825154925917,0.003604408164310785
2021-05-19,0.21666666666666667,0.35,0.6,0.6333333333333333,0.6,0.45,0.003882905089469035,0.0036993811374132534,0.00501522816515698,0.005353425200398534,0.004769170653709372,0.003604408164310785
2021-05-20,0.21666666666666667,0.31666666666666665,0.6166666666666667,0.6666666666666666,0.5833333333333334,0.4666666666666667,0.003882905089469035,0.003316239374961146,0.005105807875301908,0.00557129012414581,0.004630281764820483,0.003729721447518805
2021-05-21,0.2,0.31666666666666665,0.6,0.6833333333333333,0.6,0.4666666666666667,0.0036264948330587783,0.003316239374961146,0.004986760256254289,0.005700489090554079,0.004751054711680386,0.003729721447518805
2021-05-22,0.2,0.31666666666666665,0.5833333333333334,0.6833333333333333,0.6,0.45,0.0036264948330587783,0.003316239374961146,0.004899954700698734,0.005700489090554079,0.0047727319072706255,0.003591980400686849
2021-05-23,0.2,0.31666666666666665,0.5333333333333333,0.6666666666666666,0.5333333333333333,0.45,0.0036264948330587783,0.003316239374961146,0.004648698419291699,0.005626084328649318,0.004527633868054939,0.0035883752380940163
2021-05-24,0.18333333333333332,0.31666666666666665,0.5333333333333333,0.6833333333333333,0.5333333333333333,0.45,0.0034371008936648394,0.003316239374961146,0.004648698419291699,0.005918481989468031,0.004527633868054939,0.0035883752380940163
2021-05-25,0.18333333333333332,0.31666666666666665,0.55,0.6833333333333333,0.5333333333333333,0.4666666666666667,0.0034371008936648394,0.003466422525144296,0.0047721552094151555,0.0059661399415377485,0.004655500556720176,0.003704115978834757
2021-05-26,0.18333333333333332,0.31666666666666665,0.55,0.6666666666666666,0.5333333333333333,0.48333333333333334,0.0034371008936648394,0.003466422525144296,0.0047721552094151555,0.00579778977318758,0.004655500556720176,0.003833314945243026
2021-05-27,0.18333333333333332,0.2833333333333333,0.5333333333333333,0.7,0.5333333333333333,0.48333333333333334,0.0034371008936648394,0.003193198481428449,0.004498931165699309,0.006137925827609349,0.004596307068003934,0.0038233059371357296
2021-05-28,0.18333333333333332,0.26666666666666666,0.5333333333333333,0.7,0.5333333333333333,0.48333333333333334,0.0034371008936648394,0.0030531424590194856,0.004498931165699309,0.006137925827609349,0.004596307068003934,0.0038233059371357296
2021-05-29,0.18333333333333332,0.26666666666666666,0.5333333333333333,0.6833333333333333,0.5666666666666667,0.5,0.0034371008936648394,0.003046436090652084,0.004498931165699309,0.005944127377996946,0.005079398855443548,0.003972115460945253
2021-05-30,0.18333333333333332,0.26666666666666666,0.5166666666666667,0.7,0.5333333333333333,0.5166666666666667,0.0034371008936648394,0.003046436090652084,0.004270620663416203,0.006192883596902418,0.004749365852143218,0.00421721350016094
2021-05-31,0.16666666666666666,0.25,0.5166666666666667,0.6833333333333333,0.5166666666666667,0.48333333333333334,0.0030969648392430707,0.002872824979540973,0.004270620663416203,0.006038562609248097,0.004604438315911333,0.003994991277938718
2021-06-01,0.16666666666666666,0.25,0.5333333333333333,0.6833333333333333,0.5166666666666667,0.4666666666666667,0.0030969648392430707,0.002872824979540973,0.004484295877091417,0.005943324514010002,0.004604438315911333,0.003734574611272051
2021-06-02,0.16666666666666666,0.25,0.5333333333333333,0.7,0.5333333333333333,0.4666666666666667,0.0030969648392430707,0.0028242138684298618,0.004484295877091417,0.006132718453403941,0.004781743280450341,0.003734574611272051
2021-06-03,0.16666666666666666,0.25,0.5333333333333333,0.7,0.55,0.5166666666666667,0.0030969648392430707,0.0028242138684298618,0.004484295877091417,0.006132718453403941,0.00491094224685861,0.004392469348114156
2021-06-04,0.16666666666666666,0.26666666666666666,0.5666666666666667,0.7,0.5333333333333333,0.5166666666666667,0.0030969648392430707,0.003076739120955114,0.0049744919555227895,0.005984919711265577,0.00462358592501953,0.004392469348114156
2021-06-05,0.16666666666666666,0.2833333333333333,0.55,0.7,0.55,0.5166666666666667,0.0030969648392430707,0.0030870953761332415,0.004797186990983782,0.005984919711265577,0.004812979864413469,0.004392469348114156
2021-06-06,0.16666666666666666,0.2833333333333333,0.5666666666666667,0.7,0.55,0.5333333333333333,0.0030969648392430707,0.0030870953761332415,0.0049326883459973325,0.00600590882316378,0.004812979864413469,0.004449654685793575
2021-06-07,0.16666666666666666,0.2833333333333333,0.5666666666666667,0.7333333333333333,0.55,0.5333333333333333,0.0030969648392430707,0.0030870953761332415,0.004973791743878224,0.006561464378719336,0.004812979864413469,0.004449654685793575
2021-06-08,0.16666666666666666,0.26666666666666666,0.5,0.7333333333333333,0.55,0.5333333333333333,0.0028732996155778467,0.0028523535920956826,0.004408819992465794,0.006605990308525517,0.004812979864413469,0.004389782783816409
2021-06-09,0.16666666666666666,0.26666666666666666,0.5,0.75,0.55,0.5333333333333333,0.0028732996155778467,0.0028523535920956826,0.004408819992465794,0.0067797794823146905,0.004812979864413469,0.004389782783816409
2021-06-10,0.16666666666666666,0.26666666666666666,0.5166666666666667,0.75,0.5666666666666667,0.5333333333333333,0.0028732996155778467,0.002891180166728987,0.004561725191242552,0.00674400507154028,0.004907141822982208,0.004389782783816409
2021-06-11,0.16666666666666666,0.26666666666666666,0.5,0.7333333333333333,0.5166666666666667,0.5333333333333333,0.0028732996155778467,0.002891180166728987,0.004432526224834283,0.006572885478664961,0.004582466498306883,0.004389782783816409
2021-06-12,0.16666666666666666,0.26666666666666666,0.48333333333333334,0.7333333333333333,0.5166666666666667,0.5333333333333333,0.0028732996155778467,0.002891180166728987,0.004368423660731719,0.0064832632236665995,0.004595957750295066,0.004389782783816409
2021-06-13,0.16666666666666666,0.26666666666666666,0.4666666666666667,0.7,0.4666666666666667,0.5166666666666667,0.0028732996155778467,0.002891180166728987,0.004268022054306016,0.006182962923366299,0.004292927447264764,0.004281557675591301
2021-06-14,0.16666666666666666,0.26666666666666666,0.45,0.6666666666666666,0.4666666666666667,0.48333333333333334,0.0028732996155778467,0.002891180166728987,0.004200817753230748,0.005913740738342306,0.004292927447264764,0.004079537473571099
2021-06-15,0.16666666666666666,0.25,0.45,0.6833333333333333,0.5,0.5166666666666667,0.0028732996155778467,0.002722829998378819,0.004200817753230748,0.006045945920785458,0.004604453927015542,0.004364437758471384
2021-06-16,0.16666666666666666,0.26666666666666666,0.45,0.7166666666666667,0.5,0.5166666666666667,0.0028732996155778467,0.002945052220601041,0.004200817753230748,0.006366458741298278,0.004604453927015542,0.004364437758471384
2021-06-17,0.16666666666666666,0.26666666666666666,0.45,0.7166666666666667,0.55,0.5166666666666667,0.0028732996155778467,0.002945052220601041,0.004200817753230748,0.006388708157251109,0.004980393776639602,0.004364437758471384
2021-06-18,0.16666666666666666,0.26666666666666666,0.4166666666666667,0.7,0.55,0.4666666666666667,0.0028732996155778467,0.002945052220601041,0.003998797551210545,0.006310091805049851,0.004980393776639602,0.004171536523903483
2021-06-19,0.16666666666666666,0.26666666666666666,0.38333333333333336,0.6833333333333333,0.5666666666666667,0.4666666666666667,0.0028732996155778467,0.002945052220601041,0.00379554551869022,0.006172350758217895,0.005077859663579173,0.004171536523903483
2021-06-20,0.16666666666666666,0.3,0.36666666666666664,0.6833333333333333,0.55,0.4666666666666667,0.0028732996155778467,0.003491500308032735,0.0037217992060058543,0.006172350758217895,0.004982074222966147,0.004171536523903483
2021-06-21,0.16666666666666666,0.3,0.38333333333333336,0.65,0.5666666666666667,0.5,0.0028732996155778467,0.003491500308032735,0.003941097451619889,0.005965311420743774,0.005090299331191255,0.004529959462971583
2021-06-22,0.16666666666666666,0.31666666666666665,0.38333333333333336,0.6666666666666666,0.5666666666666667,0.5166666666666667,0.0028732996155778467,0.003663321613874659,0.003975819673842112,0.006056886512318865,0.005112876007227241,0.004619118021594831
2021-06-23,0.16666666666666666,0.31666666666666665,0.36666666666666664,0.6666666666666666,0.6333333333333333,0.5166666666666667,0.0028732996155778467,0.003663321613874659,0.0038321415129225714,0.006056886512318865,0.005505032869972339,0.004619118021594831
2021-06-24,0.16666666666666666,0.31666666666666665,0.3333333333333333,0.6833333333333333,0.6333333333333333,0.5166666666666667,0.0028732996155778467,0.003663321613874659,0.0034102005846525295,0.006171829041054498,0.005505032869972339,0.004619118021594831
2021-06-25,0.18333333333333332,0.31666666666666665,0.3333333333333333,0.7,0.6333333333333333,0.5333333333333333,0.003104781097059328,0.003663321613874659,0.0033510070959362885,0.0063107179299433875,0.005505032869972339,0.004718918420796428
2021-06-26,0.16666666666666666,0.31666666666666665,0.31666666666666665,0.6833333333333333,0.6333333333333333,0.5333333333333333,0.002771447763725995,0.003663321613874659,0.003209764158083181,0.006125532744758202,0.005505032869972339,0.004718918420796428
2021-06-27,0.16666666666666666,0.31666666666666665,0.31666666666666665,0.6666666666666666,0.6333333333333333,0.5666666666666667,0.002771447763725995,0.003847603456693087,0.003209764158083181,0.005975382594608051,0.005505032869972339,0.00514085934906647
2021-06-28,0.15,0.31666666666666665,0.31666666666666665,0.6833333333333333,0.6333333333333333,0.5666666666666667,0.0025521495181119597,0.003847603456693087,0.0032619780260865227,0.006124192118417576,0.005505032869972339,0.00514085934906647
2021-06-29,0.15,0.31666666666666665,0.3333333333333333,0.6833333333333333,0.6166666666666667,0.55,0.002493590959553401,0.003847603456693087,0.0034355891371976336,0.006124192118417576,0.005400211067037328,0.005012654220861342
2021-06-30,0.15,0.31666666666666665,0.31666666666666665,0.7,0.6,0.5666666666666667,0.002493590959553401,0.003847603456693087,0.0031022558038643006,0.006254400451750909,0.005287598454424716,0.005160146846230074
2021-07-01,0.15,0.31666666666666665,0.3333333333333333,0.6833333333333333,0.6166666666666667,0.5666666666666667,0.002493590959553401,0.003847603456693087,0.0032640681015989282,0.006069215266565723,0.005266230933057195,0.005160146846230074
2021-07-02,0.15,0.3,0.3333333333333333,0.6833333333333333,0.5833333333333334,0.55,0.002493590959553401,0.0036702984921540807,0.0032640681015989282,0.006069215266565723,0.00500168066850693,0.0049828418816910665
2021-07-03,0.15,0.3,0.3333333333333333,0.6833333333333333,0.5833333333333334,0.5666666666666667,0.002493590959553401,0.0036702984921540807,0.003980851318382145,0.006157855961508771,0.00500168066850693,0.005239252138101323
2021-07-04,0.13333333333333333,0.3,0.3333333333333333,0.6333333333333333,0.5833333333333334,0.55,0.0022158131817756237,0.0036702984921540807,0.003980851318382145,0.00589607585679673,0.005271256583979502,0.005129603015294305
2021-07-05,0.11666666666666667,0.2833333333333333,0.31666666666666665,0.6166666666666667,0.5666666666666667,0.55,0.0019071712064669816,0.003527848349703938,0.0038583022987743023,0.005779525740246613,0.00521087011054955,0.005129603015294305
2021-07-06,0.1,0.2833333333333333,0.31666666666666665,0.6,0.5666666666666667,0.55,0.0016041409034366785,0.003527848349703938,0.0038583022987743023,0.0056645832115109805,0.00521087011054955,0.005129603015294305
2021-07-07,0.08333333333333333,0.2833333333333333,0.3,0.5833333333333334,0.5666666666666667,0.5,0.0010990903983861733,0.0038573480804012733,0.003629991796491197,0.005531410258508146,0.00521087011054955,0.004750815136506426
2021-07-08,0.08333333333333333,0.3,0.3,0.6333333333333333,0.5833333333333334,0.5,0.0010990903983861733,0.004184145466022189,0.003629991796491197,0.005981860708958596,0.005398136028152547,0.004750815136506426
2021-07-09,0.06666666666666667,0.26666666666666666,0.3,0.6333333333333333,0.6,0.5166666666666667,0.0008643486143486146,0.0037455489747941187,0.003629991796491197,0.005981860708958596,0.0056203582503747684,0.004954067169026752
2021-07-10,0.06666666666666667,0.26666666666666666,0.2833333333333333,0.6333333333333333,0.5666666666666667,0.5333333333333333,0.0008643486143486146,0.0037455489747941187,0.0034681794987565695,0.005981860708958596,0.005410714644504748,0.005125888474868677
2021-07-11,0.06666666666666667,0.26666666666666666,0.2833333333333333,0.6,0.5666666666666667,0.55,0.0008643486143486146,0.0037455489747941187,0.0034681794987565695,0.005803607589529007,0.005410714644504748,0.005295956502079561
2021-07-12,0.1,0.26666666666666666,0.2833333333333333,0.6166666666666667,0.5666666666666667,0.55,0.00145958670958671,0.0037455489747941187,0.0034681794987565695,0.006006859622049332,0.005410714644504748,0.005295956502079561
2021-07-13,0.1,0.26666666666666666,0.2833333333333333,0.6166666666666667,0.5666666666666667,0.55,0.00145958670958671,0.0037455489747941187,0.0034681794987565695,0.006006859622049332,0.005348149790692869,0.005295956502079561
2021-07-14,0.1,0.26666666666666666,0.2833333333333333,0.6166666666666667,0.5666666666666667,0.55,0.00145958670958671,0.0037184926977378414,0.0034681794987565695,0.006006859622049332,0.005348149790692869,0.005299895215695695
2021-07-15,0.1,0.26666666666666666,0.3,0.6333333333333333,0.5333333333333333,0.5333333333333333,0.00145958670958671,0.0037184926977378414,0.003668982711607975,0.006117234897987521,0.004707124149667228,0.005169686882362361
2021-07-16,0.08333333333333333,0.26666666666666666,0.3,0.65,0.5,0.5166666666666667,0.0012459114959114963,0.0037184926977378414,0.003668982711607975,0.006287302925198406,0.004383499554197973,0.00501536589470804
2021-07-17,0.08333333333333333,0.26666666666666666,0.2833333333333333,0.65,0.5,0.48333333333333334,0.0012459114959114963,0.0037184926977378414,0.0035578716004968642,0.006287302925198406,0.004383499554197973,0.004722968233889327
2021-07-18,0.08333333333333333,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.5,0.48333333333333334,0.0012459114959114963,0.0037184926977378414,0.0034116727700875074,0.006543713181608663,0.004383499554197973,0.004722968233889327
2021-07-19,0.08333333333333333,0.26666666666666666,0.25,0.65,0.5,0.4666666666666667,0.0012459114959114963,0.0037184926977378414,0.00332109305994258,0.006519646707473789,0.004383499554197973,0.004597654950681307
2021-07-20,0.08333333333333333,0.26666666666666666,0.25,0.6333333333333333,0.48333333333333334,0.4666666666666667,0.0012459114959114963,0.0037184926977378414,0.00332109305994258,0.00639044774106552,0.004262726607338069,0.004597654950681307
2021-07-21,0.08333333333333333,0.26666666666666666,0.25,0.6333333333333333,0.48333333333333334,0.4666666666666667,0.0012459114959114963,0.0037184926977378414,0.00332109305994258,0.00639044774106552,0.00430342664803811,0.004597654950681307
2021-07-22,0.1,0.26666666666666666,0.26666666666666666,0.6333333333333333,0.48333333333333334,0.45,0.001480653279949055,0.0037184926977378414,0.0035899102642436556,0.00639044774106552,0.00430342664803811,0.004476882003821404
2021-07-23,0.11666666666666667,0.2833333333333333,0.26666666666666666,0.6166666666666667,0.5,0.45,0.0020014866132823882,0.003971017950263094,0.0035899102642436556,0.006098050080246806,0.004522724893652145,0.004476882003821404
2021-07-24,0.11666666666666667,0.26666666666666666,0.25,0.6166666666666667,0.4666666666666667,0.43333333333333335,0.0020014866132823882,0.0036376846169297607,0.0034664534741201984,0.00624329336274499,0.0042353685718130646,0.004361141263080664
2021-07-25,0.11666666666666667,0.26666666666666666,0.25,0.6166666666666667,0.4666666666666667,0.4166666666666667,0.0020014866132823882,0.0036376846169297607,0.0034664534741201984,0.00624329336274499,0.0042353685718130646,0.004231942296672395
2021-07-26,0.11666666666666667,0.26666666666666666,0.25,0.5833333333333334,0.45,0.4,0.0020014866132823882,0.0036376846169297607,0.0034664534741201984,0.005903157308323221,0.004137329356126791,0.004070129998937767
2021-07-27,0.11666666666666667,0.26666666666666666,0.25,0.5833333333333334,0.45,0.4,0.0020014866132823882,0.0036376846169297607,0.0034664534741201984,0.005903157308323221,0.004137329356126791,0.004070129998937767
2021-07-28,0.11666666666666667,0.25,0.26666666666666666,0.6,0.4166666666666667,0.38333333333333336,0.0020014866132823882,0.0034914857865204043,0.0036267098843766085,0.006020528200342001,0.003654237568687177,0.003921320475128243
2021-07-29,0.11666666666666667,0.26666666666666666,0.26666666666666666,0.6,0.4166666666666667,0.36666666666666664,0.0020014866132823882,0.0037478960429306605,0.0036267098843766085,0.005965570431048932,0.003654237568687177,0.0036762224359125567
2021-07-30,0.11666666666666667,0.2833333333333333,0.2833333333333333,0.6,0.43333333333333335,0.36666666666666664,0.0020014866132823882,0.003996652261836133,0.003966845938798378,0.005965570431048932,0.003831542533226184,0.0036762224359125567
2021-07-31,0.11666666666666667,0.2833333333333333,0.26666666666666666,0.5833333333333334,0.4666666666666667,0.36666666666666664,0.0020014866132823882,0.003996652261836133,0.0037531707251231635,0.005727475192953693,0.00418241972620864,0.0036762224359125567
2021-08-01,0.11666666666666667,0.26666666666666666,0.26666666666666666,0.5666666666666667,0.45,0.36666666666666664,0.0020014866132823882,0.003823041150725022,0.0037531707251231635,0.005538081253559754,0.0040051147616696325,0.0036762224359125567
2021-08-02,0.11666666666666667,0.2833333333333333,0.26666666666666666,0.5666666666666667,0.45,0.31666666666666665,0.0020014866132823882,0.0040191195820975705,0.0037531707251231635,0.005538081253559754,0.004049526906372475,0.0030183276990704516
2021-08-03,0.13333333333333333,0.26666666666666666,0.23333333333333334,0.55,0.45,0.31666666666666665,0.002328283998903303,0.0037665943295723185,0.003262974646691791,0.005371414586893087,0.004049526906372475,0.0030183276990704516
2021-08-04,0.15,0.23333333333333334,0.23333333333333334,0.55,0.43333333333333335,0.31666666666666665,0.0026206816597220167,0.0035214962903566322,0.003262974646691791,0.005371414586893087,0.0038601329669785355,0.0030183276990704516
2021-08-05,0.16666666666666666,0.23333333333333334,0.21666666666666667,0.5333333333333333,0.43333333333333335,0.2833333333333333,0.0028058668449072017,0.0035214962903566322,0.003127473291678241,0.005212684428162928,0.0038601329669785355,0.0027695714801649796
2021-08-06,0.18333333333333332,0.23333333333333334,0.2,0.5,0.43333333333333335,0.2833333333333333,0.003016837309042223,0.0035214962903566322,0.002946313871388386,0.004657128872607373,0.0038601329669785355,0.0027695714801649796
2021-08-07,0.16666666666666666,0.23333333333333334,0.2,0.48333333333333334,0.43333333333333335,0.26666666666666666,0.00276431205651697,0.0035214962903566322,0.002946313871388386,0.004512201336375489,0.0038601329669785355,0.0026442581969569594
2021-08-08,0.16666666666666666,0.23333333333333334,0.2,0.45,0.43333333333333335,0.26666666666666666,0.00276431205651697,0.0035214962903566322,0.002946313871388386,0.004227301051475204,0.0038601329669785355,0.0026442581969569594
2021-08-09,0.16666666666666666,0.21666666666666667,0.21666666666666667,0.43333333333333335,0.4166666666666667,0.26666666666666666,0.00276431205651697,0.003346057693865404,0.003159709038911994,0.004111560310734463,0.0037659710084097975,0.0026442581969569594
