,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-06-01,0.2833333333333333,0.26666666666666666,0.4,1.1,2.0166666666666666,0.9666666666666667,0.004566450761221021,0.0028955163527104367,0.003221668888168841,0.01035495567671824,0.016111865083352654,0.00783457410275558
2021-06-02,0.2833333333333333,0.26666666666666666,0.43333333333333335,1.1333333333333333,1.9666666666666666,0.9666666666666667,0.004566450761221021,0.0028955163527104367,0.003649019315519268,0.010733743555506119,0.015568386822483089,0.00783457410275558
2021-06-03,0.2833333333333333,0.2833333333333333,0.43333333333333335,1.15,1.9833333333333334,1.0333333333333334,0.004566450761221021,0.0030728213172494436,0.003649019315519268,0.010902093723856286,0.01569758578889136,0.00871176708521172
2021-06-04,0.31666666666666665,0.2833333333333333,0.43333333333333335,1.15,2.0,1.0666666666666667,0.0049586076239661195,0.0030728213172494436,0.003649019315519268,0.010902093723856286,0.015856315947621515,0.009048467421912058
2021-06-05,0.3333333333333333,0.2833333333333333,0.43333333333333335,1.1833333333333333,2.0,1.0833333333333333,0.005190089105447601,0.0030728213172494436,0.003649019315519268,0.011352544174306737,0.015892804688238695,0.009171924212035516
2021-06-06,0.3333333333333333,0.2833333333333333,0.43333333333333335,1.1833333333333333,2.0,1.1166666666666667,0.005190089105447601,0.0030728213172494436,0.003649019315519268,0.011415511510001345,0.015597037406592499,0.009353487659167669
2021-06-07,0.31666666666666665,0.2833333333333333,0.4166666666666667,1.15,1.9166666666666667,1.0666666666666667,0.004863291719826687,0.003067863213228421,0.0035089632931103046,0.011105053993661478,0.015036625596180688,0.008635445587970258
2021-06-08,0.2833333333333333,0.2833333333333333,0.4166666666666667,1.15,1.9333333333333333,1.05,0.0036872455437805102,0.003067863213228421,0.0035089632931103046,0.01119410585327384,0.015128200687755779,0.008450260402785074
2021-06-09,0.2833333333333333,0.2833333333333333,0.43333333333333335,1.15,1.9,1.0833333333333333,0.0036872455437805102,0.003067863213228421,0.0036756299597769716,0.01119410585327384,0.014947604188140874,0.008680145460256338
2021-06-10,0.2833333333333333,0.2833333333333333,0.4166666666666667,1.1833333333333333,1.9166666666666667,1.05,0.0036872455437805102,0.003067863213228421,0.0034305319205612853,0.01142558733475532,0.015009665479015725,0.008527764507875386
