,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-06-19,0.15,0.25,0.21666666666666667,0.8333333333333334,1.5333333333333334,0.016666666666666666,0.15,0.008014122315592901,0.04047697672697672,0.01687041954285788,0.021520849587069568,0.02823781266711404,0.016666666666666666,0.008468273529748941
2021-06-20,0.15,0.25,0.2,0.8333333333333334,1.5166666666666666,,0.15,0.008014122315592901,0.04047697672697672,0.015944493616931954,0.021520849587069568,0.02808490746833728,,0.008468273529748941
2021-06-21,0.13333333333333333,0.25,0.2,0.8666666666666667,1.4833333333333334,0.016666666666666666,0.15,0.006972455648926234,0.04047697672697672,0.015944493616931954,0.022562516253736235,0.027748207131636945,0.016666666666666666,0.008468273529748941
2021-06-22,0.13333333333333333,0.25,0.2,0.85,1.4666666666666666,,0.15,0.006972455648926234,0.04047697672697672,0.015944493616931954,0.022200197413156524,0.027697702081131894,,0.008468273529748941
2021-06-23,0.13333333333333333,0.25,0.21666666666666667,0.8666666666666667,1.5,0.016666666666666666,0.15,0.006972455648926234,0.04047697672697672,0.017134969807408144,0.02275575296871208,0.02823385404191621,0.016666666666666666,0.008468273529748941
2021-06-24,0.13333333333333333,0.25,0.21666666666666667,0.8833333333333333,1.55,,0.15,0.006972455648926234,0.04047697672697672,0.017134969807408144,0.023373036919329362,0.030294609378533618,,0.008468273529748941
2021-06-25,0.16666666666666666,0.23333333333333334,0.21666666666666667,0.8666666666666667,1.5,,0.15,0.008305788982259567,0.038625124875124865,0.017134969807408144,0.022678592474884917,0.029513359378533617,,0.008468273529748941
2021-06-26,0.16666666666666666,0.23333333333333334,0.21666666666666667,0.8833333333333333,1.4333333333333333,,0.15,0.008305788982259567,0.038625124875124865,0.017134969807408144,0.023373036919329362,0.028031877897052138,,0.008468273529748941
2021-06-27,0.13333333333333333,0.23333333333333334,0.21666666666666667,0.9,1.4166666666666667,,0.15,0.007115312791783377,0.038625124875124865,0.017134969807408144,0.024655088201380643,0.027604527469701712,,0.008468273529748941
2021-06-28,0.13333333333333333,0.23333333333333334,0.21666666666666667,0.8666666666666667,1.4333333333333333,,0.15,0.007115312791783377,0.038625124875124865,0.017134969807408144,0.024059850106142547,0.02830942591653564,,0.008468273529748941
2021-06-29,0.13333333333333333,0.21666666666666667,0.23333333333333334,0.8666666666666667,1.4333333333333333,,0.15,0.007115312791783377,0.03654179154179153,0.019912747585185922,0.024059850106142547,0.028789793502166386,,0.008468273529748941
2021-06-30,0.13333333333333333,0.21666666666666667,0.23333333333333334,0.8666666666666667,1.4,0.016666666666666666,0.15,0.007115312791783377,0.03654179154179153,0.019912747585185922,0.024059850106142547,0.028356893069265955,0.016666666666666666,0.008468273529748941
2021-07-01,0.13333333333333333,,0.2,0.8666666666666667,1.3833333333333333,,0.15,0.007115312791783377,,0.01857941425185259,0.024059850106142547,0.02796006767244056,,0.008468273529748941
2021-07-02,0.13333333333333333,,0.2,0.8166666666666667,1.3,,0.15,0.007115312791783377,,0.01857941425185259,0.023290619336911778,0.026931261088078418,,0.008468273529748941
2021-07-03,0.13333333333333333,0.21666666666666667,0.2,0.8166666666666667,1.2666666666666666,,0.15,0.007115312791783377,0.03654179154179153,0.01857941425185259,0.023290619336911778,0.026190520347337674,,0.008468273529748941
2021-07-04,0.15,0.21666666666666667,0.18333333333333332,0.8,1.2833333333333334,,0.15,0.007553909283011447,0.03654179154179153,0.017537747585185923,0.023012841559134002,0.027418590522776273,,0.008468273529748941
2021-07-05,0.15,0.21666666666666667,0.2,0.7666666666666667,1.35,,0.13333333333333333,0.007553909283011447,0.03654179154179153,0.018819798867237204,0.02238391074152394,0.02943879254297829,,0.007426606863082275
2021-07-06,0.16666666666666666,0.21666666666666667,0.2,0.7666666666666667,1.45,,0.13333333333333333,0.008278546964170868,0.03654179154179153,0.018819798867237204,0.022553690028450934,0.0314796088695089,,0.007426606863082275
2021-07-07,0.16666666666666666,0.21666666666666667,0.2,0.7666666666666667,1.4666666666666666,,0.13333333333333333,0.008278546964170868,0.03654179154179153,0.018819798867237204,0.022553690028450934,0.03200044220284223,,0.007426606863082275
2021-07-08,0.16666666666666666,,0.2,0.7666666666666667,1.4666666666666666,,0.13333333333333333,0.008278546964170868,,0.018819798867237204,0.022553690028450934,0.03200044220284223,,0.007426606863082275
2021-07-09,0.15,,,0.75,1.4666666666666666,,0.13333333333333333,0.007088070773694677,,,0.021958451933212837,0.03200044220284223,,0.007426606863082275
2021-07-10,0.13333333333333333,,0.21666666666666667,0.7333333333333333,1.45,,0.13333333333333333,0.0063936263292502325,,0.03548646553390387,0.021519855441984766,0.031702823155223187,,0.007426606863082275
2021-07-11,0.13333333333333333,,0.2,0.7333333333333333,1.4833333333333334,,0.13333333333333333,0.0063936263292502325,,0.03397131401875235,0.021519855441984766,0.03269279809256655,,0.007426606863082275
2021-07-12,0.11666666666666667,,0.2,0.7333333333333333,1.4833333333333334,,0.13333333333333333,0.0054132341723874865,,0.03397131401875235,0.021519855441984766,0.03269279809256655,,0.007426606863082275
2021-07-13,0.11666666666666667,0.21666666666666667,0.18333333333333332,0.7333333333333333,1.45,,0.13333333333333333,0.0054132341723874865,0.03654179154179153,0.03317766322510156,0.021519855441984766,0.03191760429411693,,0.007426606863082275
2021-07-14,0.11666666666666667,0.21666666666666667,0.16666666666666666,0.7333333333333333,1.4333333333333333,,0.13333333333333333,0.0054132341723874865,0.03654179154179153,0.032640028816499404,0.021519855441984766,0.031160028536541172,,0.007426606863082275
2021-07-15,0.11666666666666667,,0.16666666666666666,0.7166666666666667,1.45,,0.13333333333333333,0.0054132341723874865,,0.032640028816499404,0.020945142798306605,0.03185447298098562,,0.007426606863082275
2021-07-16,0.11666666666666667,,0.16666666666666666,0.6666666666666666,1.4,,0.13333333333333333,0.0054132341723874865,,0.032640028816499404,0.019629353324622394,0.03377366490017753,,0.007426606863082275
2021-07-17,0.11666666666666667,0.2,0.16666666666666666,0.65,1.3666666666666667,,0.13333333333333333,0.0054132341723874865,0.03525974025974025,0.032640028816499404,0.01898832768359675,0.03299847110172792,,0.007426606863082275
2021-07-18,0.1,,0.16666666666666666,0.6166666666666667,1.3666666666666667,,0.11666666666666667,0.004302123061276376,,0.032640028816499404,0.018279107825440722,0.03299847110172792,,0.006785581222056634
