hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
verstehen,35,9,4,16,0,4,2,0
kämpfen,35,17,5,9,2,0,2,0
erklären,35,10,14,5,4,2,0,0
aktuell,35,17,5,4,3,2,4,0
warum,35,6,12,6,4,4,2,1
idee,34,7,3,12,2,1,7,2
also,34,15,9,6,1,3,0,0
helfen,34,5,8,9,3,4,5,0
unterstützen,34,10,8,5,4,2,3,2
uhr,34,13,8,3,1,4,1,4
beginnen,34,23,7,0,0,0,3,1
man,34,11,9,5,6,2,1,0
bezirk,33,7,6,7,4,4,5,0
mitte,33,8,3,9,1,5,7,0
freiheit,33,7,17,3,1,4,0,1
falsch,33,8,10,7,1,3,4,0
parlament,33,6,15,6,3,1,2,0
hier,33,12,9,8,1,2,0,1
leben,33,5,16,7,1,1,3,0
klar,33,4,8,10,2,4,5,0
können,33,13,4,5,6,3,2,0
einzig,33,13,9,6,3,0,1,1
viel,33,13,8,7,1,1,3,0
gelten,32,7,8,8,3,1,4,1
beschließen,32,17,2,5,2,4,2,0
kein,32,11,10,4,3,1,3,0
kind,32,1,14,7,1,1,7,1
dann,32,9,10,3,1,4,5,0
fahren,32,14,9,2,3,3,1,0
sogar,32,5,10,6,5,4,2,0
wahlkreis,32,4,19,5,0,2,2,0
schön,32,6,10,8,5,1,2,0
tun,32,9,10,6,2,1,3,1
nein,31,9,5,6,2,3,6,0
pandemie,31,15,3,6,2,1,4,0
afghanistan,31,7,21,3,0,0,0,0
scholz,31,5,7,8,7,1,3,0
sachsen,31,3,21,2,2,3,0,0
nutzen,31,16,3,5,1,2,3,1
zukunft,31,3,6,12,2,2,6,0
altparteien,30,0,30,0,0,0,0,0
nur,30,4,8,8,5,3,2,0
platzen,30,7,9,7,3,1,1,2
ja,30,14,1,10,1,1,3,0
deutlich,30,10,11,3,2,2,2,0
handeln,30,9,5,11,1,1,2,1
auf,30,10,5,10,1,2,1,1
nicht,30,10,8,1,2,3,6,0
mann,30,4,12,7,3,2,0,2
malen,30,8,7,6,1,4,4,0
abgeordnete,29,4,9,8,1,3,2,2
deutsch,29,0,15,4,0,3,4,3
2021,29,6,9,3,6,3,2,0
helfer,29,1,27,1,0,0,0,0
scheinen,29,11,7,3,1,6,1,0
mieter,29,12,2,9,1,1,4,0
medium,29,2,23,2,1,1,0,0
darum,29,2,27,0,0,0,0,0
bündnis,29,7,1,5,16,0,0,0
sitzen,29,3,12,7,1,4,1,1
klima,29,5,4,16,1,1,2,0
kandidat,29,3,10,3,0,6,7,0
lässt,28,11,3,6,6,2,0,0
gestern,28,6,7,10,1,1,2,1
halt,28,7,7,6,5,1,2,0
programm,28,5,12,7,3,0,1,0
bundesregierung,28,8,8,6,1,4,1,0
nach,28,5,11,7,1,0,3,1
zum,28,16,3,6,1,1,1,0
versuchen,28,8,9,4,2,0,5,0
sache,28,7,7,8,1,2,3,0
lockdown,28,0,22,0,0,1,1,4
wohnen,28,12,5,6,1,3,1,0
gerne,28,3,4,8,2,2,7,2
woche,28,5,2,6,4,6,5,0
einig,28,5,5,10,4,1,3,0
lang,27,2,3,4,15,0,3,0
völlig,27,2,15,3,0,3,4,0
schnellen,27,5,7,8,2,3,2,0
auto,27,5,6,7,2,4,2,1
sorgen,27,7,9,4,0,2,5,0
mda,27,15,0,2,6,0,0,4
öpnv,27,13,2,5,2,1,4,0
15,27,14,8,2,1,1,1,0
wo,27,5,8,7,2,1,4,0
20,27,7,11,6,2,1,0,0
dass,27,6,7,5,1,8,0,0
schaffen,26,10,8,3,1,3,1,0
de,26,1,5,5,15,0,0,0
ziehen,26,9,1,5,2,5,3,1
kritik,26,5,4,5,4,4,4,0
leider,26,10,5,7,0,0,4,0
links,26,5,11,4,0,5,1,0
stimme,26,17,1,4,2,1,0,1
offenbaren,26,4,7,8,1,1,4,1
arbeit,26,7,6,5,0,3,3,2
ander,26,4,6,8,2,5,0,1
enden,26,5,5,6,4,5,1,0
straße,25,4,7,3,5,2,3,1
hoch,25,9,6,3,3,3,0,1
antifa,25,1,19,4,0,0,0,1
spitzenkandidatin,25,6,6,8,3,0,2,0
wort,25,3,2,10,3,4,2,1
wk7,25,0,0,0,0,0,25,0
kosten,25,5,5,10,2,1,2,0
demokratisch,25,8,4,8,0,1,4,0
geld,25,6,7,7,1,0,4,0
vertrauen,25,11,4,5,2,0,3,0
wild,25,4,0,2,0,0,0,19
beispiel,25,10,3,5,1,4,0,2
beschluss,24,3,0,5,15,0,1,0
aufgeben,24,4,3,0,15,0,2,0
soziale,24,12,3,9,0,0,0,0
all,24,5,8,6,2,2,1,0
vs,24,3,18,1,2,0,0,0
staat,24,5,10,2,1,2,4,0
entscheidung,24,8,5,5,4,2,0,0
familie,24,3,5,6,0,2,8,0
führen,24,2,6,6,1,1,5,3
sollen,24,5,4,8,1,4,2,0
lesen,24,7,3,7,2,2,3,0
polizei,23,7,7,7,1,0,1,0
morgen,23,5,8,5,3,0,2,0
plakat,23,4,7,8,2,2,0,0
weder,23,2,11,4,2,2,1,1
90,23,1,1,4,17,0,0,0
dafür,23,4,7,5,1,5,1,0
gesellschaft,23,5,4,7,0,1,5,1
gesundheit,23,2,2,0,17,0,2,0
groß,23,7,9,3,1,1,2,0
nächst,23,6,4,6,3,2,2,0
lösung,23,3,6,7,5,0,2,0
wahlprogramm,23,8,5,4,5,0,1,0
schule,23,3,7,2,0,0,11,0
bundestagswahl,22,10,7,2,3,0,0,0
verlieren,22,5,6,1,4,3,1,2
erreichen,22,10,2,5,4,1,0,0
fast,22,5,5,5,1,3,3,0
forderung,22,6,2,8,3,2,0,1
opposition,22,2,9,6,0,2,2,1
nord,22,10,8,1,0,1,2,0
ausschuss,22,9,3,8,0,0,2,0
offensichtlich,22,2,10,5,0,1,4,0
welt,22,1,11,4,3,1,2,0
dr,22,1,12,4,1,0,1,3
zahlen,22,6,12,3,0,1,0,0
gewinnen,22,6,7,1,4,3,1,0
bitte,22,6,2,8,4,2,0,0
echt,22,3,10,6,1,1,1,0
erinnern,22,10,3,2,1,0,6,0
klargehtdas,21,0,0,21,0,0,0,0
spielen,21,5,10,2,2,1,0,1
hand,21,1,6,5,4,2,3,0
als,21,5,5,4,1,4,2,0
hellersdorf,21,13,5,0,0,0,3,0
seite,21,5,9,3,2,0,1,1
16,21,8,6,5,1,0,1,0
monat,21,2,1,8,6,0,4,0
angst,21,6,4,6,3,0,2,0
zuständig,21,8,1,8,2,1,1,0
pop,20,3,0,1,16,0,0,0
schützen,20,3,6,4,4,1,2,0
rechts,20,6,7,5,1,0,0,1
passt,20,2,8,5,2,1,2,0
million,20,3,12,2,0,1,1,1
längst,20,3,8,7,0,1,1,0
blockadehaltung,20,1,3,1,15,0,0,0
schreiben,20,7,3,7,0,1,1,1
damit,20,6,7,4,2,0,1,0
via,20,7,2,6,3,0,1,1
ergebnis,20,5,7,4,1,2,0,1
deswegen,20,8,2,4,0,2,4,0
umsetzen,20,6,0,8,2,2,2,0
30,20,6,2,2,3,3,3,1
hab,20,4,2,10,3,0,1,0
weil,20,5,6,4,2,2,1,0
fehlen,20,4,4,3,1,2,6,0
vertreten,20,4,7,4,0,2,3,0
abgeordnetenhauswahl,20,18,1,1,0,0,0,0
erfolgreich,20,5,5,4,0,5,1,0
erfolgen,20,4,6,4,2,1,3,0
kollege,20,5,2,7,1,2,3,0
voll,20,4,6,5,4,1,0,0
von,20,6,4,4,1,2,1,2
top,20,18,1,0,1,0,0,0
richtung,19,8,4,5,2,0,0,0
schaden,19,3,7,4,1,2,2,0
bild,19,5,4,5,2,0,2,1
tragen,19,2,4,4,3,0,5,1
hass,19,2,7,7,1,1,1,0
zehlendorf,19,0,0,2,0,0,16,1
ne,19,9,1,7,1,0,1,0
kraft,19,5,4,5,2,1,2,0
werten,19,7,0,1,0,0,11,0
gewalt,19,4,7,3,1,3,1,0
geisel,19,0,18,0,1,0,0,0
stunde,19,7,1,6,2,1,2,0
euro,19,7,8,1,2,0,1,0
online,19,9,4,2,1,2,1,0
vorschlag,19,9,0,5,2,0,3,0
ort,19,2,5,2,0,4,4,2
söder,19,1,6,1,7,2,1,1
wannsee,19,1,0,0,0,0,18,0
jung,19,6,5,2,1,2,1,2
zielen,19,4,4,7,0,2,2,0
seit,19,8,5,3,3,0,0,0
sehr,19,5,4,2,3,1,4,0
fallen,18,4,7,2,2,1,2,0
bahn,18,9,0,5,0,1,3,0
steglitz,18,0,0,6,0,5,6,1
erwarten,18,4,6,6,0,1,1,0
kampf,18,7,6,4,0,1,0,0
umfrage,18,1,5,5,4,2,1,0
denn,18,3,5,4,2,3,1,0
laufen,18,3,3,6,1,3,2,0
miete,18,7,0,7,1,2,1,0
position,18,4,4,3,1,5,1,0
nix,18,6,10,1,0,0,1,0
deshalb,18,4,1,7,5,0,1,0
gute,18,5,8,3,1,0,1,0
noafd,18,10,0,6,1,0,1,0
anhalt,18,2,10,2,1,3,0,0
starke,18,8,1,5,0,1,3,0
vorbei,18,5,0,6,4,2,0,1
berichten,18,3,3,7,0,3,1,1
initiative,18,4,0,8,1,1,3,1
dregger,18,13,1,2,2,0,0,0
alle,18,5,5,4,1,2,1,0
geht,18,7,9,2,0,0,0,0
unterschied,18,7,3,3,2,2,0,1
diskutieren,18,3,4,4,2,3,2,0
werfen,18,8,5,2,2,0,1,0
alt,18,4,3,9,1,1,0,0
herzlich,18,2,16,0,0,0,0,0
genauso,18,4,3,7,0,3,1,0
linie,18,5,2,6,2,2,1,0
ablehnen,18,6,1,5,1,3,2,0
fehler,17,1,4,3,4,3,2,0
dieser,17,4,6,2,4,1,0,0
mehr,17,3,4,3,2,2,3,0
wollen,17,2,6,3,4,2,0,0
änderung,17,11,1,4,0,1,0,0
beweisen,17,3,9,1,0,1,3,0
meine,17,3,3,11,0,0,0,0
neukölln,17,1,4,11,0,1,0,0
meinung,17,2,3,3,3,3,3,0
19,17,3,0,5,4,1,2,2
bestimmen,17,5,4,2,1,2,3,0
gerade,17,5,2,3,0,3,4,0
frei,17,4,7,4,1,1,0,0
milliarde,17,3,9,1,0,0,4,0
müller,17,2,9,3,1,0,1,1
politiker,17,3,6,5,2,1,0,0
zumindest,17,7,1,5,1,1,2,0
covid19,17,0,16,0,1,0,0,0
lieben,17,4,6,3,2,0,1,1
antwort,17,8,4,2,0,1,2,0
linkelpt,17,17,0,0,0,0,0,0
zustimmen,17,7,1,7,0,2,0,0
toll,17,6,4,4,0,1,2,0
person,17,0,6,4,1,1,5,0
nun,17,4,6,2,1,1,3,0
kaufen,17,5,3,5,1,2,1,0
oder,17,5,5,4,0,2,1,0
facto,17,0,0,2,15,0,0,0
vorsitzende,17,3,8,1,1,0,4,0
triell,17,4,5,7,1,0,0,0
egal,17,3,4,3,3,3,1,0
legen,17,6,3,1,3,1,2,1
pankow,17,4,4,2,5,2,0,0
nochmal,17,5,5,1,0,0,6,0
senatorin,17,3,2,6,1,2,3,0
planen,17,4,3,5,2,1,1,1
kriegen,16,5,6,2,0,0,0,3
übernehmen,16,5,1,3,0,1,6,0
arbeiten,16,4,5,3,0,1,3,0
koa,16,7,0,7,2,0,0,0
pro,16,4,5,4,1,0,2,0
drucken,16,2,3,6,1,2,2,0
verkehrswende,16,2,2,10,1,0,1,0
fest,16,5,1,5,1,2,2,0
dürfen,16,9,0,4,2,0,1,0
rassismus,16,5,3,7,1,0,0,0
wünschen,16,4,1,7,2,2,0,0
grund,16,5,2,3,0,4,1,1
funktionieren,16,6,4,3,0,0,3,0
riskieren,16,1,0,0,15,0,0,0
blicken,16,4,2,3,0,3,4,0
lustig,16,3,5,3,3,2,0,0
lieb,16,5,5,3,1,0,1,1
transparenz,16,3,2,10,0,1,0,0
haltung,16,6,2,4,2,0,2,0
interesse,16,5,6,1,0,2,2,0
maaßen,16,2,4,2,1,0,7,0
blockieren,16,2,1,8,3,2,0,0
bisschen,16,8,0,6,1,1,0,0
senator,16,1,2,9,2,0,2,0
thüringen,16,4,2,3,2,1,3,1
12,16,6,5,1,1,0,2,1
deutsche,16,3,10,0,0,1,0,2
gibt,16,7,4,3,0,1,1,0
leisten,16,0,10,3,0,0,3,0
innensenator,16,4,7,4,1,0,0,0
aktuelleviertelstunde,16,16,0,0,0,0,0,0
inhalt,16,4,2,5,1,3,1,0
art,16,3,5,3,1,0,4,0
kampagne,16,5,2,4,0,2,3,0
typisch,16,2,11,0,2,1,0,0
beziehungsweise,16,4,2,8,1,0,1,0
krise,15,5,4,3,0,0,3,0
einsetzen,15,7,4,3,0,1,0,0
konkret,15,2,0,8,1,3,1,0
holen,15,6,3,2,3,0,1,0
enteignung,15,6,0,1,2,3,3,0
demokrat,15,0,9,2,0,1,3,0
kritisieren,15,2,4,4,1,3,1,0
bawü,15,4,2,4,4,0,0,1
hetze,15,2,9,3,0,0,1,0
europa,15,3,4,3,4,0,1,0
cdurausausderregierung,15,15,0,0,0,0,0,0
hart,15,6,3,1,1,1,3,0
anscheinen,15,10,1,4,0,0,0,0
einbringen,15,3,1,1,2,1,7,0
nachholen,15,0,0,0,15,0,0,0
hanau,15,6,4,4,1,0,0,0
lösen,15,6,4,4,0,1,0,0
interview,15,1,8,3,2,0,1,0
macht,15,2,9,2,2,0,0,0
grünen,15,0,11,0,2,0,2,0
danke,15,0,8,4,1,0,2,0
andrea,15,0,1,0,0,0,0,14
durchsetzen,15,5,3,4,2,1,0,0
bvv,15,7,0,1,3,4,0,0
mobilität,15,7,1,6,0,1,0,0
interessant,15,2,1,8,1,1,2,0
lage,15,4,2,2,1,2,2,2
wirtschaft,15,2,3,7,2,1,0,0
2016,15,2,2,8,2,1,0,0
super,15,1,4,8,1,0,1,0
unterstützung,15,9,1,4,0,1,0,0
verhalten,15,3,5,3,1,1,2,0
reich,15,2,5,4,2,0,1,1
