hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
gemeinsam,91,26,25,14,6,13,7
warburg,91,33,13,39,2,1,3
entscheidung,90,13,24,17,9,11,16
maaßen,90,2,35,12,5,36,0
linke,90,14,8,46,11,1,10
verhindern,89,8,24,22,18,7,10
handeln,89,14,24,23,12,8,8
deutsch,89,6,10,18,43,4,8
völlig,89,7,22,15,24,9,12
leute,88,14,13,30,14,12,5
geld,88,11,31,21,6,13,6
schaffen,88,6,38,22,7,11,4
altmaier,87,6,26,26,7,8,14
mann,87,8,24,29,11,9,6
weiß,87,12,21,18,9,17,10
einzig,86,14,18,22,15,11,6
maut,86,0,36,6,1,1,42
finanzminister,85,17,23,24,3,8,10
monat,85,2,25,23,16,7,12
amt,84,5,32,16,15,8,8
lindner,84,1,8,48,2,4,21
recht,84,3,20,24,14,10,13
planen,84,6,25,12,14,18,9
hier,83,15,21,11,25,7,4
setzen,83,10,23,20,10,11,9
kritik,83,9,16,16,11,9,22
folge,82,2,10,11,52,2,5
wort,82,14,21,15,11,10,11
sogar,82,8,24,15,10,13,12
auf,82,6,18,13,25,9,11
groß,82,7,23,15,13,16,8
nein,81,4,14,16,26,11,10
uhr,81,12,9,2,49,5,4
herrn,81,8,21,25,9,12,6
bitte,80,3,18,11,33,9,6
cducsu,79,3,52,6,3,13,2
wo,79,8,15,16,17,12,11
kohleausstieg,78,3,64,7,2,2,0
oder,78,0,18,20,14,22,4
teilen,78,5,17,25,13,12,6
freiheit,78,1,8,3,49,1,16
diese,78,7,27,16,15,5,8
2020,78,8,30,13,18,2,7
versuchen,78,7,26,18,5,13,9
falsch,78,14,13,23,9,11,8
echt,77,8,18,29,8,9,5
sichern,77,8,13,17,12,18,9
man,77,13,15,18,12,12,7
bund,76,8,30,11,10,5,12
vorschlag,76,6,33,15,3,11,8
viel,76,7,20,7,28,9,5
ändern,76,1,32,17,9,9,8
danken,74,13,13,16,19,7,6
klimakrise,74,0,53,14,1,5,1
bürgern,74,8,1,6,43,6,10
soeder,74,6,4,9,4,38,13
anfrage,74,0,4,8,62,0,0
mpk,73,6,16,13,5,6,27
erst,73,8,6,10,24,21,4
gelten,72,9,10,11,19,20,3
vertrauen,72,9,15,17,5,10,16
neu,72,3,21,17,13,7,11
arbeit,72,3,14,17,18,9,11
ja,72,3,16,22,16,10,5
debatte,71,2,17,15,7,8,22
übernehmen,71,2,16,14,12,15,12
laut,70,2,19,13,19,8,9
kritisieren,70,8,11,18,8,11,14
schreiben,70,12,11,19,12,9,7
führen,70,6,17,24,13,5,5
tragen,70,10,20,24,9,6,1
glauben,69,4,19,19,9,7,11
fahren,69,8,13,18,12,6,12
maßnahme,69,3,24,14,13,8,7
verlieren,69,7,5,10,10,16,21
jed,68,6,15,17,14,6,10
offenbaren,68,12,13,20,7,8,8
schön,68,6,18,10,17,9,8
000,68,7,20,9,23,0,9
schnellen,68,11,14,15,5,7,16
kennen,68,12,16,13,9,8,10
kanzlerkandidaten,68,13,13,5,5,27,5
klima,67,5,37,9,7,7,2
kanzleramt,67,9,16,10,18,10,4
wirtschaft,67,7,19,16,12,4,9
denken,66,5,13,18,9,9,12
ander,66,10,16,11,8,14,7
ziehen,66,12,18,18,7,6,5
rot,65,11,4,12,9,12,17
sache,65,5,18,11,6,6,19
unternehmen,65,9,17,23,5,4,7
brandnerimgespräch,65,0,0,0,65,0,0
12,65,3,34,9,7,9,3
fall,65,5,16,20,10,5,9
sorgen,64,10,19,10,10,10,5
während,64,4,16,17,8,13,6
opposition,64,10,13,12,10,7,12
wegenmorgen,64,25,4,14,5,16,0
malen,64,10,18,15,10,5,6
leben,64,1,12,12,23,7,9
parlament,64,1,13,13,5,3,29
versprechen,64,2,21,14,2,4,21
als,63,7,16,16,8,7,9
spielen,63,10,10,17,13,6,7
aktuell,63,3,8,23,10,9,10
verstehen,62,9,24,12,5,8,4
kanzlerkandidatin,62,3,30,3,16,2,8
politiker,62,7,4,25,14,8,4
politische,62,8,16,11,10,6,11
schwarz,61,2,19,15,12,4,9
fast,61,5,18,15,10,6,7
zielen,61,5,22,9,4,8,13
fiu,61,13,19,16,0,3,10
weiter,61,0,21,21,14,2,3
zum,60,5,14,14,13,4,10
voll,60,7,13,9,15,6,10
korruption,60,0,4,28,19,9,0
helfen,60,8,13,10,7,15,7
all,60,5,11,18,11,10,5
idee,60,4,15,12,7,10,12
gerne,60,5,13,13,15,4,10
bundestagswahl,60,9,19,8,11,8,5
ausbau,59,2,41,7,0,9,0
weder,59,4,16,19,10,5,5
chef,59,11,7,17,12,2,10
konkret,59,9,30,11,3,3,3
untersuchungsausschuss,59,14,17,9,1,4,14
nennen,59,6,15,14,11,5,8
scheinen,59,3,25,10,7,7,7
richtig,59,13,21,5,8,8,4
dann,59,8,10,11,9,9,12
nix,58,11,14,9,2,17,5
reichen,58,5,17,13,13,8,2
aussage,58,5,23,4,11,2,13
europa,58,15,23,5,4,4,7
morgen,58,0,9,7,37,4,1
staat,58,6,9,18,15,3,7
behaupten,58,8,16,20,5,7,2
eher,57,11,8,14,7,9,8
offensichtlich,57,6,16,12,11,6,6
schweigen,57,4,21,7,8,11,6
15,56,1,12,5,24,8,6
alle,56,7,16,12,12,5,4
interview,56,3,12,7,17,4,13
20,56,3,14,10,18,3,8
kandidat,56,12,19,8,3,12,2
